role,n_checkpoints,n,gain,repeated_nll,unrepeated_nll
C,3,2000.0,3.333465226227728,1.5524978067645139,4.885963032992242
R,3,2000.0,5.1189866163524975,1.1346803068266043,6.253666923179101
RS,3,2000.0,3.5851371392654214,1.5659830745641947,5.151120213829615
