overlap_bin,token_class,contrast,estimand,n_pairs,mean_difference,se_pair_difference,fraction_positive
ALL,ALL,RminusC,gain_T_vs_U,1200,-0.267045849176878,0.030199670873892234,0.39416666666666667
ALL,ALL,RminusC,gain_T_vs_N,1200,-0.2469735620757476,0.029910858971361764,0.4066666666666667
ALL,ALL,RminusC,gain_U_vs_N,1200,0.02007228710113041,0.019326675726916348,0.5116666666666667
ALL,ALL,RSminusC,gain_T_vs_U,1200,-0.25578394748207456,0.02649100617500942,0.39916666666666667
ALL,ALL,RSminusC,gain_T_vs_N,1200,-0.2041636725995179,0.026943316532586747,0.42333333333333334
ALL,ALL,RSminusC,gain_U_vs_N,1200,0.051620274882556653,0.019490163491253203,0.5408333333333334
ALL,ALL,RminusRS,gain_T_vs_U,1200,-0.011261901694803471,0.028677012589341317,0.5025
ALL,ALL,RminusRS,gain_T_vs_N,1200,-0.04280988947622972,0.02859790247108066,0.49
ALL,ALL,RminusRS,gain_U_vs_N,1200,-0.03154798778142625,0.018284892395606298,0.4725
ALL,nonoverlap,RminusC,gain_T_vs_U,1200,-0.573830277708346,0.03484197535581363,0.33416666666666667
ALL,nonoverlap,RminusC,gain_T_vs_N,1200,-0.5355385957634362,0.035117406226731075,0.3408333333333333
ALL,nonoverlap,RminusC,gain_U_vs_N,1200,0.038291681944910026,0.02113581855556956,0.5275
ALL,nonoverlap,RSminusC,gain_T_vs_U,1200,-0.23894185426315137,0.026682182509100445,0.3975
ALL,nonoverlap,RSminusC,gain_T_vs_N,1200,-0.17944737987909723,0.02738810638866181,0.43166666666666664
ALL,nonoverlap,RSminusC,gain_U_vs_N,1200,0.05949447438405412,0.020391936044724314,0.5433333333333333
ALL,nonoverlap,RminusRS,gain_T_vs_U,1200,-0.33488842344519476,0.032171056211753715,0.41
ALL,nonoverlap,RminusRS,gain_T_vs_N,1200,-0.3560912158843389,0.032886917488387464,0.3925
ALL,nonoverlap,RminusRS,gain_U_vs_N,1200,-0.0212027924391441,0.01928725806388155,0.49
ALL,overlap,RminusC,gain_T_vs_U,1200,0.03973857935459009,0.049658543218789646,0.5241666666666667
ALL,overlap,RminusC,gain_T_vs_N,1200,0.04159147161194092,0.04995449958440653,0.5391666666666667
ALL,overlap,RminusC,gain_U_vs_N,1200,0.0018528922573508104,0.03206037971196874,0.5058333333333334
ALL,overlap,RSminusC,gain_T_vs_U,1200,-0.2726260407009977,0.047438274478394354,0.4425
ALL,overlap,RSminusC,gain_T_vs_N,1200,-0.22887996531993848,0.04746168837023032,0.4608333333333333
ALL,overlap,RSminusC,gain_U_vs_N,1200,0.0437460753810592,0.031829947373611854,0.5216666666666666
ALL,overlap,RminusRS,gain_T_vs_U,1200,0.31236462005558785,0.048424714060356755,0.585
ALL,overlap,RminusRS,gain_T_vs_N,1200,0.2704714369318794,0.04836211702787801,0.5916666666666667
