checkpoint,device,elapsed_sec,records,role
chck_80M,cuda:1,10.7,32476,C
chck_90M,cuda:1,9.41,32476,C
chck_100M,cuda:1,9.67,32476,C
chck_80M,cuda:1,9.49,32476,R
chck_90M,cuda:1,9.71,32476,R
chck_100M,cuda:1,9.51,32476,R
chck_80M,cuda:1,9.88,32476,RS
chck_90M,cuda:1,9.89,32476,RS
chck_100M,cuda:1,9.59,32476,RS
