role,token_class,n_checkpoints,n,T,U,N,A_T,A_U,G
C,nonoverlap,3,2732.0,7.355260090722484,8.852953342137823,9.37398928850167,2.018729197779187,0.5210359463638471,1.4976932514153398
C,overlap,3,3160.0,3.529422489378009,8.421713540402289,8.825032716732817,5.295610227354808,0.4033191763305292,4.892291051024279
R,nonoverlap,3,2732.0,8.11801577418319,8.381931467731338,8.983558395883843,0.8655426217006551,0.6016269281525061,0.26391569354814914
R,overlap,3,3160.0,3.614902711240141,7.747394494469121,8.263455151567364,4.648552440327225,0.5160606570982438,4.132491783228981
RS,nonoverlap,3,2732.0,6.913327714661477,8.339376630302901,9.038809157995118,2.125481443333641,0.6994325276922159,1.4260489156414249
RS,overlap,3,3160.0,4.060392287707985,7.631573248592577,8.268779926709046,4.208387639001061,0.6372066781164688,3.571180960884593
