contrast,role_a,role_b,n,delta_gain,gain_a,gain_b,delta_repeated_nll,delta_unrepeated_nll
RminusC,R,C,2000,1.7855213901247695,5.1189866163524975,3.333465226227728,-0.4178174999379096,1.367703890186859
RSminusC,RS,C,2000,0.25167191303769343,3.5851371392654214,3.333465226227728,0.013485267799680845,0.26515718083737294
RminusRS,R,RS,2000,1.533849477087076,5.1189866163524975,3.5851371392654214,-0.43130276773759046,1.102546709349486
