regime,fields,transition_sentences,control_sentences,words_each_arm,exact_word_parity,source_label_l1,origin_source_l1,length_bin_l1,quote_bin_l1,proper_bin_l1,pronoun_bin_l1,digit_bin_l1,comma_bin_l1,mean_transition_markers_transition,mean_transition_markers_control
coarse_source_style,source_label;origin_source;length_bin;required_capability,430,431,19400,True,0.0,0.0,0.0,0.1532989690721649,0.04412371134020619,0.13,0.08721649484536084,0.11999999999999997,1.7023255813953488,0.22505800464037123
source_origin_len_cap_digit,source_label;origin_source;length_bin;required_capability;digit_bin,403,403,18360,True,0.0,0.0,0.0,0.12843137254901965,0.020152505446623108,0.12930283224400874,0.0,0.10904139433551192,1.684863523573201,0.21588089330024815
source_origin_len_cap_quote,source_label;origin_source;length_bin;required_capability;quote_bin,357,354,16340,True,0.0,0.0,0.0,0.0,0.06964504283965725,0.1485924112607099,0.10391676866585066,0.1467564259485924,1.6666666666666667,0.2655367231638418
source_origin_len_cap_proper,source_label;origin_source;length_bin;required_capability;proper_bin,369,367,16764,True,0.0,0.0,0.0,0.1747792889525173,0.0,0.1194225721784777,0.06764495347172514,0.12001908852302555,1.7235772357723578,0.24795640326975477
source_origin_len_cap_pronoun,source_label;origin_source;length_bin;required_capability;pronoun_bin,342,344,15972,True,0.0,0.0,0.0,0.19834710743801648,0.06523916854495364,0.0,0.07024793388429758,0.1270974204858502,1.695906432748538,0.2238372093023256
source_origin_len_cap_comma,source_label;origin_source;length_bin;required_capability;comma_bin,362,361,16810,True,0.0,0.0,0.0,0.21415823914336707,0.03581201665675187,0.12766210588935153,0.061867935752528275,0.0,1.7099447513812154,0.2188365650969529
medium_style,source_label;origin_source;length_bin;required_capability;quote_bin;proper_bin;digit_bin,266,266,12418,True,0.0,0.0,0.0,0.0,0.0,0.16814301819938798,0.0,0.10516991464003866,1.6917293233082706,0.2669172932330827
surface_no_comma,source_label;origin_source;length_bin;required_capability;quote_bin;proper_bin;pronoun_bin;digit_bin,178,178,8357,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08328347493119545,1.6348314606741574,0.2752808988764045
surface_no_quote,source_label;origin_source;length_bin;required_capability;proper_bin;pronoun_bin;digit_bin;comma_bin,178,178,8536,True,0.0,0.0,0.0,0.24742268041237114,0.0,0.0,0.0,0.0,1.6629213483146068,0.20786516853932585
strict_style,source_label;origin_source;length_bin;required_capability;quote_bin;proper_bin;pronoun_bin;digit_bin;comma_bin,101,101,4926,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.683168316831683,0.2376237623762376
