rule,content_floor,include_pronoun,include_surface,removed_rows,removed_pair_words,removed_fraction,unused_passing_pair_words,available_to_needed_ratio,can_refill,mean_content_removed,mean_content_unused_passing,domain_bottleneck_count
force_only,,False,False,3018,113387,0.26773094441466694,156174,1.3773536648822176,True,0.6364530444992024,0.599916455620716,2
force_plus_pronoun,,True,False,3357,124339,0.2935909574957911,148447,1.193889286547262,True,0.6374688627198952,0.6030912408321564,3
force_content_ge_0.45,0.45,False,False,3018,113387,0.26773094441466694,106242,0.9369857214671876,False,0.6364530444992024,0.706797145857159,5
force_content_ge_0.50,0.5,False,False,3373,128019,0.3022802241264099,102361,0.7995766253446754,False,0.6181577679733892,0.7140252054838101,8
force_content_ge_0.55,0.55,False,False,4699,173452,0.40955724880817734,89865,0.5180972257454511,False,0.5886449736349741,0.7414754116337946,8
force_content_ge_0.60,0.6,False,False,5721,209463,0.49458691745905065,78950,0.37691620954536126,False,0.585255852073671,0.7650061760192536,8
force_content_ge_0.65,0.65,False,False,7263,263879,0.6230747253318095,62850,0.238177346435298,False,0.5927106708360803,0.7992487794026251,8
force_content_ge_0.70,0.7,False,False,8402,301649,0.7122577689835683,51915,0.17210400167081608,False,0.6032839705872705,0.8252688839416585,8
force_pronoun_content_ge_0.45,0.45,True,False,3357,124339,0.2935909574957911,102029,0.8205711804019656,False,0.6374688627198952,0.7080850680638929,8
force_pronoun_content_ge_0.50,0.5,True,False,3692,138151,0.3262040419257115,98289,0.7114606481313924,False,0.6216071959230443,0.7153319592959592,8
force_pronoun_content_ge_0.55,0.55,True,False,4964,181896,0.4294953377834342,86366,0.474809781413555,False,0.5939608497641773,0.7425482426664786,8
force_pronoun_content_ge_0.60,0.6,True,False,5942,216287,0.5106998401458286,76060,0.3516623745301382,False,0.5899525037281994,0.7658477311488904,8
force_pronoun_content_ge_0.65,0.65,True,False,7424,268734,0.6345384181284548,60910,0.22665535436528314,False,0.596052874051574,0.7992682360475021,8
force_surface_content_ge_none,,False,True,3196,121567,0.2870456729577272,152042,1.2506848075546817,True,0.6366105656458126,0.5997336115680147,3
force_surface_content_ge_0.55,0.55,False,True,4838,179802,0.4245509561735114,87085,0.4843383277160432,False,0.5912282600840288,0.742103753808062,8
force_surface_content_ge_0.60,0.6,False,True,5833,214459,0.506383541395619,76367,0.35609137410880404,False,0.5875223853614193,0.7658515288897678,8
force_surface_content_ge_0.65,0.65,False,True,7340,267357,0.6312870267832477,60999,0.22815561215902333,False,0.5942569059973678,0.7998691879950781,8
