dose_name,rho,pair_words,pair_words_multiple_vs_1x,unique_docs,unique_docs_multiple_vs_1x,content_types_pair,content_types_multiple_vs_1x,hapax_content_types_pair,content_entropy_pair,oldclean_V_minus_C_exEntity5_mean,oldclean_R_minus_C_exEntity5_mean,oldclean_V_minus_R_exEntity5_mean
dose1,0.042352,423511,1.0,4529,1.0,26909,1.0,4551,12.958055960447416,0.48887500000000017,0.6756250000000006,-0.18675000000000044
dose1p82,0.07712,771199,1.8209656892028778,5089,1.1236476043276662,36016,1.3384369541788992,5944,13.06296147631134,0.30999999999999994,0.3536250000000004,-0.04362500000000047
dose2p64,0.111872,1118587,2.6412230142782596,5261,1.161625082799735,43540,1.6180460069121856,7519,13.11707856579063,0.5981250000000005,0.5345000000000002,0.06362500000000026
