label,dose_rho,pair_words,records,unique_docs,content_types_pair,new_content_types_vs_previous_dose,content_type_gain_per_added_100k_pair_words,unique_doc_gain_vs_previous_dose,pair_word_gain_vs_previous_dose,domains_by_words,top_new_content_types_vs_previous_dose
dose1_view_repeat_pairset,0.042352,423511,12155,4529,26909,26909,6353.790102264168,4529,423511,"{""causal_relational"": 111813, ""geography_places"": 33690, ""institutions_society"": 37597, ""media_culture"": 17511, ""no_domain"": 127526, ""people_history"": 17664, ""quant_numeric"": 74183, ""science_physical"": 61669, ""science_technical"": 16869}","[[""which"", 1156], [""used"", 953], [""people"", 759], [""first"", 707], [""use"", 647], [""who"", 642], [""water"", 615], [""found"", 614], [""time"", 585], [""where"", 470], [""children"", 463], [""years"", 440], [""often"", 411], [""each"", 410], [""students"", 405], [""how"", 402], [""system"", 400], [""study"", 391], [""our"", 391], [""food"", 381], [""what"", 380], [""using"", 377], [""high"", 366], [""part"", 362], [""data"", 347], [""even"", 342], [""health"", 341], [""work"", 341], [""between"", 331], [""research"", 330]]"
dose1p82_view_repeat_pairset,0.07712,771199,21848,5089,36016,9107,2619.3023630381263,560,347688,"{""causal_relational"": 181612, ""geography_places"": 57631, ""institutions_society"": 71262, ""media_culture"": 29987, ""no_domain"": 243581, ""people_history"": 29819, ""quant_numeric"": 145828, ""science_physical"": 107506, ""science_technical"": 32843}","[[""currently"", 57], [""perhaps"", 54], [""today's"", 30], [""anxious"", 16], [""180"", 16], [""scripps"", 12], [""fragments"", 12], [""neutrons"", 11], [""cruz"", 10], [""interdisciplinary"", 10], [""biogas"", 10], [""daniel"", 10], [""restricting"", 10], [""cmb"", 10], [""1962"", 10], [""psychologist"", 10], [""socrates"", 10], [""dot"", 9], [""refrigerator"", 9], [""accomplishments"", 9], [""conducts"", 9], [""intersection"", 9], [""sickness"", 9], [""wilt"", 9], [""summary"", 9], [""recurrent"", 9], [""ghee"", 9], [""hipc"", 9], [""binds"", 9], [""squeezed"", 9]]"
dose2p64_view_repeat_pairset,0.111872,1118587,33291,5261,43540,7524,2165.877923244326,172,347388,"{""causal_relational"": 250753, ""geography_places"": 79223, ""institutions_society"": 100766, ""media_culture"": 39690, ""no_domain"": 376982, ""people_history"": 40545, ""quant_numeric"": 208568, ""science_physical"": 149108, ""science_technical"": 46850}","[[""ev"", 12], [""hyperspace"", 11], [""thermometers"", 11], [""pleasing"", 10], [""economist"", 10], [""moss"", 10], [""attracts"", 9], [""fearful"", 9], [""presencelearning"", 8], [""agathis"", 8], [""assistants"", 8], [""vancouver"", 8], [""depiction"", 8], [""torpedoes"", 8], [""lemon"", 8], [""burrows"", 8], [""bitcoin"", 8], [""fleas"", 7], [""loam"", 7], [""nexus"", 7], [""perl"", 7], [""elbow"", 7], [""fa"", 7], [""anti-fungal"", 7], [""ade"", 7], [""aip"", 7], [""mama"", 7], [""renewed"", 7], [""blubber"", 7], [""animator"", 7]]"
