domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,494,0.1437246963562753,391,0.791497975708502,0.9243498817966903,423,-1.2937635486014187
social-relations,303,0.1551155115511551,228,0.7524752475247525,0.890625,256,-1.1740423422306776
physical-relations,223,0.19282511210762332,160,0.7174887892376681,0.8888888888888888,180,-2.404981220141053
spatial-relations,147,0.2108843537414966,114,0.7755102040816326,0.9827586206896551,116,-0.43578925961628556
physical-interactions,93,0.1935483870967742,63,0.6774193548387096,0.84,75,-0.4168268032371998
material-dynamics,65,0.4461538461538462,28,0.4307692307692308,0.7777777777777778,36,-0.3300154134631157
quantitative-properties,46,0.5,19,0.41304347826086957,0.8260869565217391,23,-0.24916649400256574
social-interactions,38,0.3157894736842105,15,0.39473684210526316,0.5769230769230769,26,-0.04909688467159867
material-properties,9,0.4444444444444444,5,0.5555555555555556,1.0,5,-0.19242334552109241
physical-dynamics,13,0.6153846153846154,5,0.38461538461538464,1.0,5,-0.058039652183651924
social-properties,40,0.65,4,0.1,0.2857142857142857,14,0.3815751173533499
