domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5194570135746607,766,0.34660633484162895,0.7212806026365348,1062,0.05777214467525482
social-relations,1548,0.4903100775193798,528,0.34108527131782945,0.6692015209125475,789,-0.07204338256269693
physical-relations,818,0.49755501222493886,316,0.3863080684596577,0.7688564476885644,411,-0.1622582166455686
material-dynamics,770,0.4857142857142857,272,0.35324675324675325,0.6868686868686869,396,-0.36911505460739136
spatial-relations,490,0.43673469387755104,229,0.4673469387755102,0.8297101449275363,276,-0.68461599573493
physical-interactions,556,0.5215827338129496,181,0.3255395683453237,0.6804511278195489,266,0.12544808350503445
social-properties,328,0.49085365853658536,100,0.3048780487804878,0.5988023952095808,167,0.17007897794246674
social-interactions,294,0.5068027210884354,92,0.3129251700680272,0.6344827586206897,145,0.33009099774062634
quantitative-properties,314,0.5031847133757962,80,0.25477707006369427,0.5128205128205128,156,0.19276650808751583
physical-dynamics,120,0.425,57,0.475,0.8260869565217391,69,-0.584003231022507
material-properties,170,0.5117647058823529,45,0.2647058823529412,0.5421686746987951,83,0.14360004663467407
