ContextDiff,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
antonym,3374,0.49229401304090104,1102,0.3266152934202727,0.6433158201984822,1713,0.006902039051055908
variable swap,2564,0.5070202808112324,1006,0.3923556942277691,0.7958860759493671,1264,-0.03015307057648897
material,840,0.4869047619047619,300,0.35714285714285715,0.6960556844547564,431,-0.3761633038520813
other,490,0.5020408163265306,156,0.3183673469387755,0.639344262295082,244,-0.024217470549046993
negation,190,0.5368421052631579,53,0.2789473684210526,0.6022727272727273,88,0.06720903888344765
number,80,0.5,21,0.2625,0.525,40,0.25716733932495117
variable_swap,30,0.5,13,0.43333333333333335,0.8666666666666667,15,-0.19361764192581177
game,20,0.55,8,0.4,0.8888888888888888,9,-0.5778082683682442
active-passive,30,0.4666666666666667,7,0.23333333333333334,0.4375,16,1.2862594164907932
