word,child_aoa,subword_len,char_len,logfreq,official_record_model_aoa,official_refit_model_aoa,per_piece_model_aoa,progress_norm_model_aoa
airplane,20.857213364310372,1,8,4.104377397922475,,,,
animal,24.330089945071023,1,6,4.496526508871348,,,,
ant,25.413634821019915,1,3,3.2150685865252466,,,,
apple,18.28091715859917,1,5,4.579903658740204,,,,
arm,21.99539913263884,1,3,4.5131097201388775,6.725838454412328,6.725838454412328,6.725838454412328,6.725843986336918
asleep,24.723574946808974,1,6,3.9628111722602513,7.243230436993157,7.243230436993157,7.243230436993157,7.243230675907261
aunt,25.525525066233225,1,4,4.275345803338343,6.923067207370445,6.923067207370445,6.923067207370445,6.9230657541913985
awake,25.8884576271836,1,5,3.227042387534594,,,,
backyard,27.587137860896238,2,8,1.7925924555319468,7.175732232914403,7.175732232914403,7.17550484379277,7.1758196371406635
bad,25.24613058723793,1,3,5.733357457996604,6.703423777826876,6.703423777826876,6.703423777826876,6.70342376977207
balloon,18.890724143191804,1,7,3.437368577966983,,,,
banana,16.111616257951134,1,6,2.734692132048631,,,,
basket,26.039532817543783,1,6,3.6662503360535745,,,,
bat,27.097241206641463,1,3,3.0399883648085284,,,,
bath,18.505566610748357,1,4,4.0360973205300725,7.152780239871319,7.152780239871319,7.152780239871319,7.152737292331155
bathroom,23.557409105204858,1,8,3.7088046229212064,7.640538512676481,7.640538512676481,7.640538512676481,7.640520859946462
bathtub,22.49947524893918,1,7,2.1753197419481696,,,,
beach,26.499831193868143,1,5,4.400664368058253,7.2886553257249584,7.2886553257249584,7.2886553257249584,7.288656187238399
beans,25.33209562564099,1,5,3.3359474964540383,,,,
bear,20.255559869502484,1,4,5.4672370176518,,,,
bed,20.670831293608018,1,3,5.528257766862519,6.937220315880226,6.937220315880226,6.937220315880226,6.937204950625767
bedroom,25.160391755050476,1,7,3.490580942796841,7.047629378867176,7.047629378867176,7.047629378867176,7.047651308558692
bee,21.516560770858195,1,3,3.08213930129473,,,,
belt,28.65699534588996,1,4,3.054237002926554,,,,
better,27.4836269032841,1,6,6.213617608048518,6.69970685892443,6.69970685892443,6.69970685892443,6.699717337740298
bib,24.42989021903271,1,3,1.1954364733036495,7.470658950713971,7.470658950713971,7.470658950713971,7.470663826852971
bicycle,22.29181500457535,1,7,3.384559740509132,,,,
big,22.607359585163238,1,3,6.499644173307944,6.701221799096622,6.701221799096622,6.701221799096622,6.701221798848045
bird,18.06848056468084,1,4,4.786699762581836,7.38864451128322,7.38864451128322,7.38864451128322,7.388647029604785
bite,22.943816797389026,1,4,4.123984267339786,,,,
black,25.804687037784696,1,5,6.04335703694208,6.722076141829876,6.722076141829876,6.722076141829876,6.72122542108835
blanket,21.042952598226645,1,7,3.718559608215347,,,,
block,21.984059781669306,1,5,4.1651912698480515,7.062174455707691,7.062174455707691,7.062174455707691,7.062136177156264
blow,24.239916417068418,1,4,3.852379152500631,,,,
blue,22.642599694308036,1,4,5.445896500992256,,,,
boat,21.092331322802426,1,4,4.740618490163141,6.5780324209038445,6.5780324209038445,6.5780324209038445,6.578032538851491
boots,21.72477463112487,1,5,3.7234016464856636,7.760202494714075,7.760202494714075,7.760202494714075,7.76023796751287
bottle,20.82785610568821,1,6,4.300070639499242,,,,
bottom,22.21268312207221,1,6,4.338662348767717,7.013460797577626,7.013460797577626,7.013460797577626,7.013460841553826
bowl,22.558643297425284,1,4,3.8352499466222323,7.328332814792982,7.328332814792982,7.328332814792982,7.328333021089765
box,22.744450977282813,1,3,5.230600466377624,,,,
boy,23.9923879977722,1,3,6.172337137990999,6.4882097140909885,6.4882097140909885,6.4882097140909885,6.488020292865983
bread,22.252228192835148,1,5,4.382089132720838,7.10238267327022,7.10238267327022,7.10238267327022,7.102382675861381
break,25.062903657705817,1,5,4.944531103493212,6.992826914673613,6.992826914673613,6.992826914673613,6.992828517014473
breakfast,24.161838030910175,1,9,4.396976821626566,7.724263176442575,7.724263176442575,7.724263176442575,7.7242648591467065
bring,26.76659041051839,1,5,5.482325001113648,,,,
broken,23.62808164061539,1,6,4.587057130561164,,,,
broom,24.2589798322677,1,5,2.5498357196514885,,,,
brother,27.4731814681999,1,7,5.298342366235542,6.8830968196742575,6.8830968196742575,6.8830968196742575,6.883096832115766
brown,26.727189326690834,1,5,4.813037649749785,,,,
brush,22.41074269142454,1,5,3.198877178361511,,,,
bubbles,18.6969613851801,1,7,2.617760729754749,,,,
bucket,26.218844749584207,1,6,2.1047437245420544,7.76684742072982,7.76684742072982,7.76684742072982,7.766826031400806
bug,22.30427491762293,1,3,3.1740876420780664,,,,
build,26.870721478274586,1,5,4.484188289427308,6.818922245114364,6.818922245114364,6.818922245114364,6.818920683565364
bump,26.798361550951917,1,4,3.307069835604117,,,,
bunny,21.125256823558722,1,5,3.8919223337211433,,,,
bus,20.85319790543193,1,3,4.605220184738133,7.015037407211515,7.015037407211515,7.015037407211515,7.015037477681648
butter,25.064198626684203,1,6,4.278123390014033,,,,
butterfly,23.08087199144578,1,9,4.310866237227423,,,,
buttocks,22.21268312207221,3,8,-0.5025268209512956,,,,
button,23.297598677811564,1,6,3.8330880173400037,,,,
buy,27.89149822311601,1,3,4.9294613913071474,6.854213213347617,6.854213213347617,6.854213213347617,6.854208424958048
cake,22.219009204871558,1,4,4.729200334404942,7.42885920195677,7.42885920195677,7.42885920195677,7.4288482219677485
camera,25.871615597327157,1,6,3.817822210029319,7.593374305668603,7.593374305668603,7.593374305668603,7.59337775747177
candy,23.38912238818194,1,5,3.817822210029319,7.5277429984617905,7.5277429984617905,7.5277429984617905,7.5277418999652665
car,17.496796781553705,1,3,5.896343099492617,6.955669784047243,6.955669784047243,6.955669784047243,6.955669763429551
careful,26.38063961823633,1,7,4.562314875681662,6.921162218776732,6.921162218776732,6.921162218776732,6.921162455752905
carrots,23.78948237489513,1,7,2.3422864598455977,,,,
carry,25.336988814569168,1,5,4.352919605367576,7.234091308768786,7.234091308768786,7.234091308768786,7.234085618279143
cat,18.228507346753123,1,3,5.3447476054258445,6.811454401616483,6.811454401616483,6.811454401616483,6.811468417138582
catch,25.372205870213676,1,5,4.421307442175308,,,,
cereal,22.708870905740664,1,6,3.2997182127123015,,,,
chair,21.225459750312105,1,5,5.025885089303132,7.582304558629823,7.582304558629823,7.582304558629823,7.582304531074422
chalk,27.61672611437907,1,5,2.2622837962205202,,,,
chase,28.842892462186086,1,5,3.4844656508451655,,,,
cheek,23.2702739213262,1,5,2.862486554406629,,,,
cheerios,24.062888534669234,2,8,1.7925924555319468,7.88888180710685,7.88888180710685,7.8888776762927,7.888890635875728
cheese,18.558248075188768,1,6,4.580928721615057,,,,
chin,23.9251259404125,1,4,2.701696727130035,7.782377686819169,7.782377686819169,7.782377686819169,7.7823714066571785
chocolate,24.58033128800783,1,9,4.300070639499242,,,,
climb,25.58444891978825,1,5,3.465892140593967,7.0341928935101485,7.0341928935101485,7.0341928935101485,7.034193473269429
clock,23.99618230263423,1,5,4.127215026954736,7.259743420737998,7.259743420737998,7.259743420737998,7.25974645013603
close,24.519368084825462,1,5,5.342836518152526,,,,
closet,26.335369068359697,1,6,3.198877178361511,,,,
cloud,25.376185134448264,1,5,3.4405783383860062,,,,
coat,22.922576688186258,1,4,3.860834968658713,7.058638759291494,7.058638759291494,7.058638759291494,7.058667256955743
coffee,24.665622637597178,1,6,4.86911013149487,7.0756059712216,7.0756059712216,7.0756059712216,7.075600846510013
cold,21.557924255355925,1,4,5.033733139786656,7.162526933372835,7.162526933372835,7.162526933372835,7.162527948313573
comb,25.991290549889374,1,4,2.995982242309198,7.015460730530572,7.015460730530572,7.015460730530572,7.01546193374417
cook,25.150438741536785,1,4,4.143214088321656,,,,
cookie,19.063897306535317,1,6,3.572486077434088,,,,
corn,24.30521021007631,1,4,3.6964755307355643,7.0061047374140575,7.0061047374140575,7.0061047374140575,7.006104959529413
couch,24.274913544484477,1,5,3.7774625120324514,7.029849255172657,7.029849255172657,7.029849255172657,7.02985007043292
cover,29.120587673006845,1,5,4.3307991275959825,7.1603592672834795,7.1603592672834795,7.1603592672834795,7.159786869269897
cow,20.301428582055962,1,3,3.7519716172799193,,,,
cracker,20.635361433164334,1,7,2.080066346448678,,,,
crayon,23.199101707700617,1,6,2.7914718092412825,,,,
crib,25.501641294998937,1,4,2.6535940153061515,7.777648210023684,7.777648210023684,7.777648210023684,7.777635718690981
cry,23.357992706748902,1,3,4.468261668720632,7.043897072165148,7.043897072165148,7.043897072165148,7.043896485806762
cup,20.04657761410228,1,3,5.317163654344396,7.004636370012655,7.004636370012655,7.004636370012655,7.004636370011319
cut,26.48415491454615,1,3,5.2428310833299,7.411136371987506,7.411136371987506,7.411136371987506,7.411135557520948
cute,27.646593332551518,1,4,3.929961150559159,,,,
dance,23.335263733647373,1,5,4.488692547929396,6.977861542481049,6.977861542481049,6.977861542481049,6.977861537177772
dark,26.0144061423592,1,4,4.933790246232648,,,,
day,28.57030413820359,1,3,6.75868085978167,6.755711034627276,6.755711034627276,6.755711034627276,6.755709521573262
deer,27.88841176179346,1,4,3.0447605046213453,,,,
diaper,20.32324248611525,1,6,1.988559045202663,,,,
dinner,24.335488629604637,1,6,4.822738222969115,7.142528292760819,7.142528292760819,7.142528292760819,7.142274544182384
dirty,22.77759428568781,1,5,3.8837264062730323,,,,
dish,28.392517499821075,1,4,3.3394992671919392,7.693096266004384,7.693096266004384,7.693096266004384,7.693093174666778
doctor,25.058857514368704,1,6,4.965672795061149,6.753394551812259,6.753394551812259,6.753394551812259,6.7533929280176155
doll,23.083057299428276,1,4,4.6112019582198105,7.522442192232571,7.522442192232571,7.522442192232571,7.5224313653803225
donut,26.470267452063016,1,5,2.1288267668605787,,,,
door,21.094330119099542,1,4,5.802435545617071,6.688988403347932,6.688988403347932,6.688988403347932,6.688984020835599
draw,25.332147277029616,1,4,4.26696645118873,,,,
drawer,28.011508334888347,1,6,2.8961881432176044,7.26984634718111,7.26984634718111,7.26984634718111,7.269839456066888
drive,25.239924635828906,1,5,4.5992024142083,7.722365437887102,7.722365437887102,7.722365437887102,7.722364881186181
drop,26.122703160314753,1,4,4.336048139057221,,,,
duck,18.166198717402246,1,4,3.9609084031579567,,,,
ear,18.557045885439496,1,3,3.9590020066221405,7.010246635039565,7.010246635039565,7.010246635039565,7.0102466369898515
eat,20.38286318166485,1,3,6.2681583439782855,6.9433926538932065,6.9433926538932065,6.9433926538932065,6.94338597283579
egg,21.979637752951344,1,3,4.8442264557623504,7.14665871429845,7.14665871429845,7.14665871429845,7.1466404220402655
elephant,22.548457510004862,1,8,4.104377397922475,,,,
empty,26.529972503464574,1,5,3.8417078315131206,7.046955949563199,7.046955949563199,7.046955949563199,7.04695431425944
eye,17.56441529060678,1,3,4.874471869283385,7.0449611325621655,7.0449611325621655,7.0449611325621655,7.04496538670108
face,23.708999528999072,1,4,5.802435545617071,,,,
fall,23.398800241984326,1,4,5.153320495814236,7.311190153082224,7.311190153082224,7.311190153082224,7.311190120346995
farm,28.02073014859909,1,4,4.037862390267294,7.004468250936978,7.004468250936978,7.004468250936978,7.004468247423521
fast,25.50491253156236,1,4,4.769030715138462,7.090780030209967,7.090780030209967,7.090780030209967,7.0907820609310726
feed,27.19892571562119,1,4,3.9416788903356568,7.485859577282093,7.485859577282093,7.485859577282093,7.485860575302836
find,25.64249106636554,1,4,6.2662608282051,6.446143622353852,6.446143622353852,6.446143622353852,6.446142593421056
finger,21.849311819029033,1,6,4.149542722686863,6.793246330576963,6.793246330576963,6.793246330576963,6.793246329953292
finish,27.879604149197586,1,6,4.597188416246434,7.457667094338411,7.457667094338411,7.457667094338411,7.457659681813314
fireman,28.027488402045414,1,7,2.2412414627529937,,,,
first,28.986200167021508,1,5,7.050300301516208,,,,
fit,29.91292643388448,1,3,4.5890916157754,7.019049910868102,7.019049910868102,7.019049910868102,7.019052121879744
fix,25.022576246429,1,3,4.403115199503747,7.3785185784242815,7.3785185784242815,7.3785185784242815,7.378517727192129
flag,27.41475309249198,1,4,3.5891972308407842,7.053213277398209,7.053213277398209,7.053213277398209,7.053216197619788
flower,21.001766818807774,1,6,3.782028208811959,7.143130270855823,7.143130270855823,7.143130270855823,7.143104329525144
food,23.482138731792105,1,4,5.749408909348354,6.8271030633788685,6.8271030633788685,6.8271030633788685,6.827104891276611
foot,21.095607950124922,1,4,4.615170020566425,,,,
fork,21.87941295589893,1,4,3.490580942796841,,,,
friend,26.671894161677375,1,6,5.477320924868045,6.748480914606483,6.748480914606483,6.748480914606483,6.748483341942091
frog,22.223801199230163,1,4,4.80077808710778,,,,
full,27.37585639496008,1,4,5.448051163436247,,,,
game,26.554617597246853,1,4,5.429367558538547,6.8527454292611765,6.8527454292611765,6.8527454292611765,6.852744163870229
garage,27.447544584468154,1,6,3.144367772693139,,,,
garbage,25.304431824858803,1,7,2.0288059257112563,,,,
garden,29.741359401871044,1,6,4.5120126875018425,6.666555008268576,6.666555008268576,6.666555008268576,6.6665664164678
gentle,28.36573384565024,1,6,3.414607068572073,,,,
get,24.364636413972246,1,3,7.6429580928170475,6.4194071814240194,6.4194071814240194,6.4194071814240194,6.419402374906051
giraffe,24.13249839791901,1,7,3.2773333944397693,,,,
girl,24.667729430346036,1,4,6.024185819194328,6.8424017439871045,6.8424017439871045,6.8424017439871045,6.842401063214521
give,25.598843914428592,1,4,6.488300266920697,6.266033750653779,6.266033750653779,6.266033750653779,6.266003055372636
glass,26.12412706803039,1,5,4.459045544505955,,,,
glasses,23.829833304182998,1,7,3.597449237508049,7.228702708803273,7.228702708803273,7.228702708803273,7.2284097092184725
gloves,27.18554578254517,1,6,2.7914718092412825,,,,
go,19.7106217091394,1,2,7.733992192149176,6.607180174809331,6.607180174809331,6.607180174809331,6.60329763838099
good,24.339939004434495,1,4,7.357941968329268,6.205265101934544,6.205265101934544,6.205265101934544,6.201809703057484
grandma,17.654354032398764,1,7,3.487527971413176,,,,
grandpa,18.888869147169988,1,7,3.058941786951875,7.3344399405342635,7.3344399405342635,7.3344399405342635,7.334593353887374
grapes,22.395948946531167,1,6,2.2828924596483096,,,,
grass,23.607923804559615,1,5,4.1207430360766315,7.0484150077420615,7.0484150077420615,7.0484150077420615,7.048426103635525
green,24.21157425029654,1,5,5.350933535550998,6.904017142316343,6.904017142316343,6.904017142316343,6.904012329498764
hair,19.9970789541941,1,4,5.154475864071929,7.45106966055981,7.45106966055981,7.45106966055981,7.451071568194714
hamburger,25.368250047773458,1,9,2.4427817234873292,,,,
