arm,heuristic_true_acc_mean,heuristic_true_acc_std,mean_slot1_minus_slot0_mean,mean_slot1_minus_slot0_std,model_heuristic_agree_mean,model_heuristic_agree_std,model_true_acc_mean,model_true_acc_std,n_seeds,query_kind,suite
aligned_matched,1.0,0.0,-0.006537336123680386,0.024293958655142375,0.8046875,0.14836895347129286,0.8046875,0.14836895347129286,3,changed,cf_initial_opposite_true_final
aligned_matched,1.0,0.0,-0.025050103092022862,0.011841050968861472,0.8697916666666666,0.07795119555779044,0.8697916666666666,0.07795119555779044,3,unchanged,cf_initial_opposite_true_final
aligned_matched,0.5,0.0,3.2856575755771096,0.7858223478587627,0.8125,0.12170126505779086,0.5104166666666666,0.01948779888944761,3,changed,cf_initial_slot0
aligned_matched,1.0,0.0,2.536021082458319,0.2732520124293433,0.859375,0.08930431353897003,0.859375,0.08930431353897003,3,unchanged,cf_initial_slot0
aligned_matched,0.5,0.0,-3.3274650718376506,0.7563940768208937,0.7890625,0.14363106492851746,0.4973958333333333,0.024150048165353395,3,changed,cf_initial_slot1
aligned_matched,1.0,0.0,-2.6147484378307126,0.251166492789851,0.8697916666666666,0.08684027083610972,0.8697916666666666,0.08684027083610972,3,unchanged,cf_initial_slot1
aligned_matched,0.0,0.0,-0.035270160136860795,0.010686715706427721,0.796875,0.11813850231472661,0.203125,0.11813850231472661,3,changed,cf_initial_true_final
aligned_matched,1.0,0.0,-0.053677252280370645,0.020325337383336795,0.859375,0.09631896879639025,0.859375,0.09631896879639025,3,unchanged,cf_initial_true_final
aligned_matched,1.0,0.0,-0.01258220141850567,0.022304591437509094,0.8177083333333334,0.11836789768086992,0.8177083333333334,0.11836789768086992,3,changed,paired_state_conservation
aligned_matched,1.0,0.0,-0.0172177873707066,0.018124950491166598,0.8489583333333334,0.09970932145352421,0.8489583333333334,0.09970932145352421,3,unchanged,paired_state_conservation
heldheld_only,1.0,0.0,-0.025339405440414946,0.004560530421069874,0.6432291666666666,0.0822685885361006,0.6432291666666666,0.0822685885361006,3,changed,cf_initial_opposite_true_final
heldheld_only,1.0,0.0,-0.025246578501537442,0.005139137550417518,0.4973958333333333,0.05155986946151909,0.4973958333333333,0.05155986946151909,3,unchanged,cf_initial_opposite_true_final
heldheld_only,0.5,0.0,0.019437060342170298,0.019041326003663026,0.5859375,0.09396676329514955,0.5026041666666666,0.003682847818679935,3,changed,cf_initial_slot0
heldheld_only,1.0,0.0,0.020190333147183992,0.021711825799190027,0.5,0.035516098169234,0.5,0.035516098169234,3,unchanged,cf_initial_slot0
heldheld_only,0.5,0.0,-0.07227337187699352,0.029115052164464257,0.703125,0.05560978256266308,0.4947916666666667,0.01948779888944761,3,changed,cf_initial_slot1
heldheld_only,1.0,0.0,-0.07143074235258003,0.0317022773840095,0.5104166666666666,0.018414239093399672,0.5104166666666666,0.018414239093399672,3,unchanged,cf_initial_slot1
heldheld_only,0.0,0.0,-0.027496906094408285,0.005690490496474286,0.6458333333333334,0.06639348324990606,0.3541666666666667,0.06639348324990604,3,changed,cf_initial_true_final
heldheld_only,1.0,0.0,-0.025993830703858595,0.0050352168825547735,0.5130208333333334,0.00736569563735987,0.5130208333333334,0.00736569563735987,3,unchanged,cf_initial_true_final
heldheld_only,1.0,0.0,-0.023637037782464176,0.003836516965673696,0.609375,0.07838498407964797,0.609375,0.07838498407964797,3,changed,paired_state_conservation
heldheld_only,1.0,0.0,-0.023918359889648855,0.004142934941850318,0.5208333333333334,0.016053161466065044,0.5208333333333334,0.016053161466065044,3,unchanged,paired_state_conservation
inverted_matched,1.0,0.0,-0.0038268750940915197,0.00517235326284633,0.7682291666666666,0.06195508986130375,0.7682291666666666,0.06195508986130375,3,changed,cf_initial_opposite_true_final
inverted_matched,1.0,0.0,-0.004308715554846761,0.0026271184856149253,0.9348958333333334,0.04525559165880929,0.9348958333333334,0.04525559165880929,3,unchanged,cf_initial_opposite_true_final
inverted_matched,0.5,0.0,2.6327672248783833,0.16663683090821813,0.7552083333333334,0.0592698264413596,0.5208333333333334,0.009743899444723805,3,changed,cf_initial_slot0
inverted_matched,1.0,0.0,2.593183606644743,0.1760161017596288,0.9296875,0.05669672150280532,0.9296875,0.05669672150280532,3,unchanged,cf_initial_slot0
inverted_matched,0.5,0.0,-2.681597396445189,0.166387015239025,0.7630208333333334,0.05195296183140626,0.4973958333333333,0.009743899444723805,3,changed,cf_initial_slot1
inverted_matched,1.0,0.0,-2.645883187855361,0.1731602929273577,0.9375,0.049820641848200495,0.9375,0.049820641848200495,3,unchanged,cf_initial_slot1
inverted_matched,0.0,0.0,-0.04500329647271428,0.011613680560538724,0.75,0.049820641848200495,0.25,0.049820641848200495,3,changed,cf_initial_true_final
inverted_matched,1.0,0.0,-0.048390865655771144,0.012901737366439058,0.9322916666666666,0.06293253111247174,0.9322916666666666,0.06293253111247174,3,unchanged,cf_initial_true_final
inverted_matched,1.0,0.0,-0.020939683624116395,0.015322362951019006,0.7526041666666666,0.07795119555779044,0.7526041666666666,0.07795119555779044,3,changed,paired_state_conservation
inverted_matched,1.0,0.0,-0.0193117540863265,0.01024264061635992,0.9270833333333334,0.06997410855491877,0.9270833333333334,0.06997410855491877,3,unchanged,paired_state_conservation
neutral_matched,1.0,0.0,0.021462532347262215,0.03316600607736655,0.609375,0.016876928902103804,0.609375,0.016876928902103804,3,changed,cf_initial_opposite_true_final
