ContextDiff,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
variable swap,841,0.5219976218787158,180,0.2140309155766944,0.44776119402985076,402,0.012386739253997803
antonym,485,0.4742268041237113,160,0.32989690721649484,0.6274509803921569,255,-0.016468524932861328
material,73,0.5616438356164384,19,0.2602739726027397,0.59375,32,-0.15863466262817383
other,37,0.5135135135135135,11,0.2972972972972973,0.6111111111111112,18,-0.1025538444519043
number,11,0.36363636363636365,4,0.36363636363636365,0.5714285714285714,7,-0.02605915069580078
active-passive,5,0.6,2,0.4,1.0,2,-0.6836099624633789
negation,11,0.36363636363636365,1,0.09090909090909091,0.14285714285714285,7,0.13483715057373047
variable_swap,7,0.7142857142857143,1,0.14285714285714285,0.5,2,0.19689536094665527
game,1,0.0,0,0.0,0.0,1,0.5090417861938477
