token_class,n_records,n_pairs,true_contains_frac,unrelated_contains_frac,neutral_contains_frac,true_count_mean,unrelated_count_mean,neutral_count_mean
nonoverlap,2732,1465,0.0,0.005124450951683748,0.0,0.0,0.005856515373352855,0.0
overlap,3160,1619,1.0,0.005379746835443038,0.0,1.0363924050632911,0.005379746835443038,0.0
all,5892,1626,0.5363204344874406,0.005261371350984386,0.0,0.5558384249830278,0.00560081466395112,0.0
