pair_index,pair_id,probe_id,rewrite_pos,token_class,target_token_id,target_piece,source_token_len,unrelated_source_token_len,neutral_source_token_len,true_source_target_count,unrelated_source_target_count,neutral_source_target_count,true_source_contains_target,unrelated_source_contains_target,neutral_source_contains_target
0,compact:frontier_consolidation_fwcompact_medium_006297,rewritecond:0:0:compact:frontier_consolidation_fwcompact_medium_006297,0,nonoverlap,811,Ch,60,60,60,0,0,0,0,0,0
0,compact:frontier_consolidation_fwcompact_medium_006297,rewritecond:0:26:compact:frontier_consolidation_fwcompact_medium_006297,26,nonoverlap,369, know,60,60,60,0,0,0,0,0,0
0,compact:frontier_consolidation_fwcompact_medium_006297,rewritecond:0:3:compact:frontier_consolidation_fwcompact_medium_006297,3,overlap,1985,ox,60,60,60,1,0,0,1,0,0
0,compact:frontier_consolidation_fwcompact_medium_006297,rewritecond:0:28:compact:frontier_consolidation_fwcompact_medium_006297,28,overlap,328, have,60,60,60,1,0,0,1,0,0
1,compact:frontier_consolidation_fwcompact_medium_038651,rewritecond:1:2:compact:frontier_consolidation_fwcompact_medium_038651,2,nonoverlap,3348, shows,65,65,65,0,0,0,0,0,0
1,compact:frontier_consolidation_fwcompact_medium_038651,rewritecond:1:28:compact:frontier_consolidation_fwcompact_medium_038651,28,nonoverlap,8411, methods,65,65,65,0,0,0,0,0,0
1,compact:frontier_consolidation_fwcompact_medium_038651,rewritecond:1:1:compact:frontier_consolidation_fwcompact_medium_038651,1,overlap,2716, study,65,65,65,1,0,0,1,0,0
1,compact:frontier_consolidation_fwcompact_medium_038651,rewritecond:1:33:compact:frontier_consolidation_fwcompact_medium_038651,33,overlap,8625, feeding,65,65,65,1,0,0,1,0,0
2,compact:frontier_consolidation_fwcompact_medium_058642,rewritecond:2:0:compact:frontier_consolidation_fwcompact_medium_058642,0,nonoverlap,3483,Many,56,56,56,0,0,0,0,0,0
2,compact:frontier_consolidation_fwcompact_medium_058642,rewritecond:2:24:compact:frontier_consolidation_fwcompact_medium_058642,24,nonoverlap,5395, laws,56,56,56,0,0,0,0,0,0
2,compact:frontier_consolidation_fwcompact_medium_058642,rewritecond:2:1:compact:frontier_consolidation_fwcompact_medium_058642,1,overlap,5677, journal,56,56,56,1,0,0,1,0,0
2,compact:frontier_consolidation_fwcompact_medium_058642,rewritecond:2:27:compact:frontier_consolidation_fwcompact_medium_058642,27,overlap,14616, regulations,56,56,56,1,0,0,1,0,0
3,compact:frontier_consolidation_fwcompact_medium_019796,rewritecond:3:18:compact:frontier_consolidation_fwcompact_medium_019796,18,nonoverlap,897, found,22,22,22,0,0,0,0,0,0
3,compact:frontier_consolidation_fwcompact_medium_019796,rewritecond:3:19:compact:frontier_consolidation_fwcompact_medium_019796,19,nonoverlap,12666, yearly,22,22,22,0,0,0,0,0,0
3,compact:frontier_consolidation_fwcompact_medium_019796,rewritecond:3:1:compact:frontier_consolidation_fwcompact_medium_019796,1,overlap,2052, least,22,22,22,1,0,0,1,0,0
3,compact:frontier_consolidation_fwcompact_medium_019796,rewritecond:3:17:compact:frontier_consolidation_fwcompact_medium_019796,17,overlap,522, more,22,22,22,1,0,0,1,0,0
4,compact:frontier_consolidation_fwcompact_medium_044450,rewritecond:4:0:compact:frontier_consolidation_fwcompact_medium_044450,0,overlap,3168,Bo,19,19,19,1,0,0,1,0,0
4,compact:frontier_consolidation_fwcompact_medium_044450,rewritecond:4:14:compact:frontier_consolidation_fwcompact_medium_044450,14,overlap,1760, law,19,19,19,1,0,0,1,0,0
5,compact:frontier_consolidation_fwcompact_medium_034393,rewritecond:5:6:compact:frontier_consolidation_fwcompact_medium_034393,6,nonoverlap,341,ant,35,35,35,0,0,0,0,0,0
5,compact:frontier_consolidation_fwcompact_medium_034393,rewritecond:5:11:compact:frontier_consolidation_fwcompact_medium_034393,11,nonoverlap,4954, council,35,35,35,0,0,0,0,0,0
5,compact:frontier_consolidation_fwcompact_medium_034393,rewritecond:5:1:compact:frontier_consolidation_fwcompact_medium_034393,1,overlap,2450,imb,35,35,35,1,0,0,1,0,0
5,compact:frontier_consolidation_fwcompact_medium_034393,rewritecond:5:16:compact:frontier_consolidation_fwcompact_medium_034393,16,overlap,3703, energy,35,35,35,2,0,0,1,0,0
6,compact:frontier_consolidation_fwcompact_medium_002283,rewritecond:6:1:compact:frontier_consolidation_fwcompact_medium_002283,1,nonoverlap,5355,ooks,50,50,50,0,0,0,0,0,0
6,compact:frontier_consolidation_fwcompact_medium_002283,rewritecond:6:23:compact:frontier_consolidation_fwcompact_medium_002283,23,nonoverlap,1165, hard,50,50,50,0,0,0,0,0,0
6,compact:frontier_consolidation_fwcompact_medium_002283,rewritecond:6:3:compact:frontier_consolidation_fwcompact_medium_002283,3,overlap,2368, common,50,50,50,1,0,0,1,0,0
6,compact:frontier_consolidation_fwcompact_medium_002283,rewritecond:6:20:compact:frontier_consolidation_fwcompact_medium_002283,20,overlap,1241, dec,50,50,50,1,0,0,1,0,0
7,compact:frontier_consolidation_fwcompact_medium_044738,rewritecond:7:0:compact:frontier_consolidation_fwcompact_medium_044738,0,nonoverlap,8809,Research,25,25,25,0,0,0,0,0,0
7,compact:frontier_consolidation_fwcompact_medium_044738,rewritecond:7:11:compact:frontier_consolidation_fwcompact_medium_044738,11,nonoverlap,11040,inations,25,25,25,0,0,0,0,0,0
7,compact:frontier_consolidation_fwcompact_medium_044738,rewritecond:7:2:compact:frontier_consolidation_fwcompact_medium_044738,2,overlap,8088, Science,25,25,25,1,0,0,1,0,0
7,compact:frontier_consolidation_fwcompact_medium_044738,rewritecond:7:7:compact:frontier_consolidation_fwcompact_medium_044738,7,overlap,6930, skills,25,25,25,1,0,0,1,0,0
8,compact:frontier_consolidation_fwcompact_medium_008076,rewritecond:8:0:compact:frontier_consolidation_fwcompact_medium_008076,0,nonoverlap,4148,More,56,56,56,0,0,0,0,0,0
