window,column,n_items,ref_gain,ref_loss,ref_net,ref_net_pct,ref_churn_pct,other_gain,other_loss,other_net,other_net_pct,other_churn_pct,same_gain,same_loss,same_signed_transition_on_ref_changed,opposite_signed_transition_on_ref_changed,other_zero_on_ref_changed,sign_agreement_on_ref_changed,opposition_on_ref_changed,other_zero_on_ref_changed_fraction,signed_transition_cosine,gain_jaccard,loss_jaccard,other_label,reference_label,reference_window,other_window
rise,ALL,170722,4443,4501,-58,-0.03397336019962278,5.238926441817692,2870,2807,63,0.03690209814786612,3.325289066435492,94,75,169,207,8568,0.0188953488372093,0.02314400715563506,0.9579606440071556,-0.0053328363210479336,0.013021194071200998,0.010369141435089175,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_86M->chck_88M
rise,BLiMP,59875,1015,1154,-139,-0.2321503131524008,3.622546972860125,724,692,32,0.05344467640918581,2.364926931106472,15,23,38,51,2080,0.01751959428307976,0.02351313969571231,0.958967266021208,-0.007417916658021667,0.008700696055684454,0.012616566099835436,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_86M->chck_88M
rise,Supplement,5218,51,61,-10,-0.19164430816404754,2.146416251437332,50,54,-4,-0.07665772326561901,1.9931008049060943,0,0,0,3,109,0.0,0.026785714285714284,0.9732142857142857,-0.027796849374791294,0.0,0.0,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_86M->chck_88M
rise,EWoK,7618,237,240,-3,-0.03938041480703597,6.261485954318719,145,157,-12,-0.15752165922814387,3.964295090574954,8,2,10,16,451,0.020964360587002098,0.033542976939203356,0.9454926624737946,-0.01580842449907869,0.0213903743315508,0.005063291139240506,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_86M->chck_88M
rise,Entity,6780,134,123,11,0.16224188790560473,3.7905604719764017,88,74,14,0.20648967551622419,2.3893805309734515,6,1,7,6,244,0.027237354085603113,0.023346303501945526,0.9494163424124513,0.004900901015458121,0.027777777777777776,0.00510204081632653,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_86M->chck_88M
rise,COMPS,91028,3001,2919,82,0.09008217251834601,6.503493430592784,1858,1829,29,0.03185832930526871,4.050402074087094,64,49,113,130,5677,0.019087837837837837,0.02195945945945946,0.9589527027027027,-0.0036387439738877047,0.013347236704900938,0.0104277505852309,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_86M->chck_88M
rise,GlobalPIQA,203,5,4,1,0.49261083743842365,4.433497536945813,5,1,4,1.9704433497536946,2.955665024630542,1,0,1,1,7,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.0,0.1111111111111111,0.0,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_86M->chck_88M
fall,ALL,170722,4225,4049,176,0.10309157577816568,4.846475556753084,2116,2183,-67,-0.039245088506460794,2.5181288878996266,56,78,134,128,8012,0.016195310611554267,0.015470147449842882,0.9683345419386028,0.0010060273080131016,0.008910103420843278,0.012674683132921676,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_84M->chck_86M,chck_88M->chck_90M
fall,BLiMP,59875,986,859,127,0.21210855949895616,3.0814196242171192,506,588,-82,-0.1369519832985386,1.8271398747390397,13,10,23,25,1797,0.012466124661246613,0.013550135501355014,0.9739837398373984,-0.0014077422639580809,0.00878972278566599,0.006958942240779402,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_84M->chck_86M,chck_88M->chck_90M
fall,Supplement,5218,64,47,17,0.32579532387888077,2.1272518206209274,42,28,14,0.2683020314296665,1.3415101571483325,3,1,4,2,105,0.036036036036036036,0.018018018018018018,0.9459459459459459,0.022689215826037595,0.02912621359223301,0.013513513513513514,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_84M->chck_86M,chck_88M->chck_90M
