group_level,window,n_groups,pearson_net_pct,weighted_pearson_net_pct,cosine_net_pct,ref_nonzero_groups,sign_agreement_ref_nonzero,ref_mover_threshold_abs_net_pct,ref_mover_groups,sign_agreement_ref_movers,other_label,reference_label,reference_rise_window,reference_fall_window,other_rise_window,other_fall_window,ref_pattern_mover_groups,same_signed_pattern_on_ref_movers,same_signed_pattern_fraction
column_official_subtask_mean,rise,6,0.3569119209608109,-0.08642929735610091,0.4832950480538394,6,0.6666666666666666,0.25,3,0.6666666666666666,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_86M->chck_88M,chck_88M->chck_90M,,,
column_official_subtask_mean,fall,6,0.9244901617036586,0.6968808625517426,0.9218762494689327,6,0.5,0.25,2,1.0,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_86M->chck_88M,chck_88M->chck_90M,,,
column_official_subtask_mean,rise+fall_pattern,6,0.5609262622131113,0.21695191412997947,0.5494149419004237,,,0.25,,,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_86M->chck_88M,chck_88M->chck_90M,3,2,0.6666666666666666
column,rise,6,0.8523296533715156,0.474642477418685,0.8397973626591004,6,0.8333333333333334,0.25,1,1.0,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_86M->chck_88M,chck_88M->chck_90M,,,
column,fall,6,0.9581426776188883,0.7218143802134407,0.9467349988218058,6,0.5,0.25,3,1.0,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_86M->chck_88M,chck_88M->chck_90M,,,
column,rise+fall_pattern,6,0.6526972323926995,0.4375872579753209,0.6304431030327189,,,0.25,,,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_86M->chck_88M,chck_88M->chck_90M,3,3,1.0
column_subtask,rise,107,-0.206915640413531,-0.15413288294442945,-0.20937726170101123,102,0.4215686274509804,0.25,87,0.4367816091954023,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_86M->chck_88M,chck_88M->chck_90M,,,
column_subtask,fall,107,0.08746127626688387,0.026907930672681164,0.07421317138197953,101,0.40594059405940597,0.25,87,0.40229885057471265,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_86M->chck_88M,chck_88M->chck_90M,,,
column_subtask,rise+fall_pattern,107,-0.10910799448751278,-0.10066262156410988,-0.1091318533078118,,,0.25,,,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_86M->chck_88M,chck_88M->chck_90M,103,26,0.2524271844660194
column_subtask_subgroup,rise,127,-0.045341212583747556,-0.09578308237066253,-0.05735307110708306,115,0.4,0.25,93,0.43010752688172044,scale1p75_seed43122_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M,chck_86M->chck_88M,chck_88M->chck_90M,,,
