domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5063348416289593,793,0.3588235294117647,0.7268560953253895,1091,0.04261827655136585
social-relations,1548,0.4941860465116279,531,0.3430232558139535,0.6781609195402298,783,-0.011619891971349716
physical-relations,818,0.4731051344743276,350,0.4278728606356968,0.8120649651972158,431,-0.2738342685624957
material-dynamics,770,0.5116883116883116,271,0.35194805194805195,0.7207446808510638,376,-0.3978729248046875
spatial-relations,490,0.45102040816326533,221,0.45102040816326533,0.8215613382899628,269,-0.34065126068890095
physical-interactions,556,0.5161870503597122,176,0.31654676258992803,0.654275092936803,269,0.14505933632608503
social-interactions,294,0.4489795918367347,116,0.3945578231292517,0.7160493827160493,162,-0.21604019962251186
quantitative-properties,314,0.5700636942675159,72,0.22929936305732485,0.5333333333333333,135,0.20915178628638387
social-properties,328,0.5670731707317073,52,0.15853658536585366,0.36619718309859156,142,0.5990668423473835
physical-dynamics,120,0.4583333333333333,46,0.38333333333333336,0.7076923076923077,65,-0.3343297503888607
material-properties,170,0.5352941176470588,45,0.2647058823529412,0.569620253164557,79,0.07261505164206028
