seed,contrast,n_rows,mean_delta_loss,median_delta_loss,se_delta_loss,fraction_aln_lower_loss
43022,ALN-minus-OFF,3000,-0.10049225500226021,-0.0887761116027832,0.0046819884938599735,0.6383333333333333
43122,ALN-minus-OFF,3000,-0.10373529980248875,-0.09226151307423902,0.005111395375861434,0.64
