example_id,source,words,loss,n_masked,axis,axis_path,arm,relation,seed,description,checkpoint
920000024,bnc_spoken,160,3.390375852584839,24,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000025,bnc_spoken,160,3.296342611312866,33,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000026,bnc_spoken,160,2.3514466285705566,27,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000027,bnc_spoken,160,2.676337242126465,25,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000028,bnc_spoken,160,3.827826499938965,27,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000029,bnc_spoken,160,2.7552125453948975,26,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000030,bnc_spoken,160,2.861837387084961,35,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000031,bnc_spoken,160,3.500066041946411,28,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000032,bnc_spoken,160,2.9532947540283203,27,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000033,bnc_spoken,160,2.935518264770508,32,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000034,bnc_spoken,160,3.265889883041382,30,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000035,bnc_spoken,160,3.3723645210266113,26,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000036,bnc_spoken,160,1.8288792371749878,21,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000037,bnc_spoken,160,2.9829161167144775,21,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000038,bnc_spoken,160,4.018054485321045,26,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
