seed,relation,arm,checkpoint,n,mean_loss,sd_loss,mean_masked
43022,ALN,ALN43022,chck_100M,3000,2.9965123726526897,1.1351859818835242,35.318666666666665
43022,ALN,ALN43022,chck_80M,3000,3.055188357869784,1.1170758961138028,35.318666666666665
43022,ALN,ALN43022,chck_90M,3000,2.99964114951094,1.1311221387583488,35.318666666666665
43022,OFF,OFF43022,chck_100M,3000,3.094527994354566,1.1158891692903483,35.318666666666665
43022,OFF,OFF43022,chck_80M,3000,3.157235927482446,1.1081032475889037,35.318666666666665
43022,OFF,OFF43022,chck_90M,3000,3.101054723203182,1.1095906721526707,35.318666666666665
43122,ALN,ALN43122,chck_100M,3000,3.0127324930826824,1.1723260482285838,35.318666666666665
43122,ALN,ALN43122,chck_80M,3000,3.0426143378317354,1.1682272538910445,35.318666666666665
43122,ALN,ALN43122,chck_90M,3000,3.016881683866183,1.168877850244472,35.318666666666665
43122,OFF,OFF43122,chck_100M,3000,3.1123528026441734,1.1457622877418376,35.318666666666665
43122,OFF,OFF43122,chck_80M,3000,3.1571957790950935,1.1507396188380823,35.318666666666665
43122,OFF,OFF43122,chck_90M,3000,3.1138858324488004,1.1460933954450212,35.318666666666665
