seed,relation,arm,n_min,mean_loss,sd_across_checkpoints,mean_masked
43022,ALN,ALN43022,3000,3.017113960011138,0.03301048530968659,35.318666666666665
43022,OFF,OFF43022,3000,3.117606215013398,0.0344751378554226,35.318666666666665
43122,ALN,ALN43122,3000,3.0240761715935336,0.016188009502278933,35.318666666666665
43122,OFF,OFF43122,3000,3.127811471396022,0.025459098556522727,35.318666666666665
