family,seed,relation,arm,checkpoint,n,row_context_loss,isolation_loss,context_gain,se_context_gain
crv,43022,CLEAN,C43022,chck_100M,651,2.954022140378006,4.008590897952448,1.0246279526286906,0.07878730558465445
crv,43022,REPEAT,R43022,chck_100M,651,2.9918843619244053,4.137157462931761,1.116103938573829,0.08133085203261002
crv,43022,REPEAT_SPLIT,RS43022,chck_100M,651,2.9857239885077855,4.014523149317076,0.9934320756700649,0.07570109948490066
crv,43022,VIEW,V43022,chck_100M,651,3.006543715435897,4.06695864961562,1.037669940226275,0.07869781847751799
crv,43022,VIEW_SPLIT,VS43022,chck_100M,651,2.9647463395989937,4.041255236080702,1.0432137049797612,0.07392862644780987
crv,43122,CLEAN,C43122,chck_100M,651,2.9652394899399703,4.0777345961536815,1.0818036964426636,0.07479078497564975
crv,43122,REPEAT,R43122,chck_100M,651,2.9586218015532877,4.124545756278293,1.1353372709057863,0.08221153689821308
crv,43122,REPEAT_SPLIT,RS43122,chck_100M,651,2.987117296698269,4.07200325418822,1.0548114121806185,0.07663048038744615
crv,43122,VIEW,V43122,chck_100M,651,2.9518622087371797,4.126475976330132,1.1502203912892277,0.08017914734921705
crv,43122,VIEW_SPLIT,VS43122,chck_100M,651,2.927401905776311,4.108622602053537,1.1567583424751267,0.0789828545624711
dose,43022,base0,base43022,chck_100M,651,2.9546862921914467,4.0335800654267695,1.0438793377152693,0.07612058429783841
dose,43022,dose21,dose21_43022,chck_100M,651,2.983514230454313,4.125426405786615,1.1052829327061322,0.0793809164229613
dose,43022,dose25,dose25_43022,chck_100M,651,2.9985752095083424,4.156281404056946,1.1192446021302804,0.07900410262156313
dose,43122,base0,base43122,chck_100M,651,2.9442768545699334,4.07740789885894,1.1095099605345988,0.0786208950245067
dose,43122,dose21,dose21_43122,chck_100M,651,2.9473869828780073,4.030436513672539,1.0550374692249245,0.07739729254503903
dose,43122,dose25,dose25_43122,chck_100M,651,2.9761188995906394,4.074585181708629,1.0715992238042111,0.07916870374677135
compact_experience,43022,ALN,ALN43022,chck_100M,651,2.855091525404168,4.145139975561367,1.2550328802096922,0.08260464753353959
compact_experience,43022,DUP,DUP43022,chck_100M,651,3.037043141944887,4.271824627441267,1.196086554865845,0.08411127263379876
compact_experience,43022,OFF,OFF43022,chck_100M,651,3.0664513808139593,4.001795877047854,0.9084862226121316,0.07494495039929858
compact_experience,43022,SEP,SEP43022,chck_100M,651,3.3468856211719085,3.947462891272041,0.5646362189833066,0.05750089037206047
compact_experience,43022,SHUF,SHUF43022,chck_100M,651,3.0297525904631786,3.9441115643078755,0.8840867857786096,0.07122519368693662
compact_experience,43122,ALN,ALN43122,chck_100M,651,2.97213963029906,4.06415299027391,1.0614084206450392,0.08130032723879049
compact_experience,43122,OFF,OFF43122,chck_100M,651,3.0458395958354254,3.9205220060152275,0.84859787738617,0.06950200658789119
compact_experience,43122,SHUF,SHUF43122,chck_100M,651,3.1267863083709355,3.905615590297089,0.7505130307389052,0.06710262449928116
