sentence_uid,source,row_example_id,axis_row_index,sentence_words,row_words,char_start,char_end,mode,n_target_tokens,n_masked,target_truncated_right,loss,arm,family,relation,seed,checkpoint,description
r0001_s04,bnc_spoken,920000001,1,23,160,714,837,row_context,26,4,False,3.287998676300049,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0006_s03,bnc_spoken,920000006,6,29,160,475,613,row_context,33,7,False,2.040692090988159,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0006_s05,bnc_spoken,920000006,6,8,160,708,751,row_context,11,1,False,7.951510906219482,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0008_s00,bnc_spoken,920000008,8,37,160,19,194,row_context,41,9,False,1.600175380706787,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0008_s06,bnc_spoken,920000008,8,15,160,754,827,row_context,19,4,False,6.166260242462158,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0009_s01,bnc_spoken,920000009,9,28,160,160,308,row_context,33,5,False,6.0472025871276855,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0009_s04,bnc_spoken,920000009,9,38,160,625,816,row_context,46,7,False,5.819892883300781,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0010_s01,bnc_spoken,920000010,10,19,160,154,248,row_context,21,5,False,2.242622137069702,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0011_s06,bnc_spoken,920000011,11,10,160,742,792,row_context,14,3,False,1.600542426109314,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0013_s00,bnc_spoken,920000013,13,14,160,0,85,row_context,19,2,False,1.1320778131484985,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0013_s02,bnc_spoken,920000013,13,16,160,129,206,row_context,19,5,False,3.208548069000244,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0015_s04,bnc_spoken,920000015,15,11,160,710,768,row_context,13,2,False,2.45735764503479,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0017_s02,bnc_spoken,920000017,17,21,160,307,420,row_context,28,2,False,3.9867851734161377,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0021_s02,bnc_spoken,920000021,21,13,160,363,433,row_context,18,4,False,2.056344985961914,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0022_s00,bnc_spoken,920000022,22,14,160,0,70,row_context,19,1,False,0.0008798541966825724,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0023_s02,bnc_spoken,920000023,23,11,160,142,197,row_context,14,2,False,2.3526806831359863,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0027_s01,bnc_spoken,920000027,27,11,160,230,286,row_context,12,3,False,2.931926965713501,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0027_s03,bnc_spoken,920000027,27,9,160,413,462,row_context,10,3,False,0.17396382987499237,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0027_s04,bnc_spoken,920000027,27,13,160,583,648,row_context,18,3,False,0.08374422043561935,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0027_s06,bnc_spoken,920000027,27,12,160,774,830,row_context,12,2,False,4.5984086990356445,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0029_s01,bnc_spoken,920000029,29,10,160,196,240,row_context,11,1,False,2.0044679641723633,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0029_s02,bnc_spoken,920000029,29,8,160,265,297,row_context,10,2,False,1.534306287765503,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0031_s03,bnc_spoken,920000031,31,8,160,284,333,row_context,10,2,False,9.798675537109375,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0031_s07,bnc_spoken,920000031,31,10,160,760,805,row_context,12,1,False,0.8661487102508545,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0040_s06,bnc_spoken,920000040,40,15,160,596,670,row_context,18,1,False,1.6129721403121948,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0041_s06,bnc_spoken,920000041,41,23,160,520,615,row_context,24,6,False,3.8848469257354736,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0042_s09,bnc_spoken,920000042,42,9,160,747,784,row_context,10,2,False,1.301723599433899,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0043_s06,bnc_spoken,920000043,43,18,160,697,794,row_context,21,1,False,0.7731727361679077,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0044_s00,bnc_spoken,920000044,44,9,160,0,50,row_context,10,1,False,4.140194892883301,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0045_s04,bnc_spoken,920000045,45,8,160,443,483,row_context,9,3,False,3.5547454357147217,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0045_s07,bnc_spoken,920000045,45,10,160,592,645,row_context,13,3,False,0.40882959961891174,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0045_s08,bnc_spoken,920000045,45,29,160,679,832,row_context,31,6,False,5.942758083343506,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0046_s07,bnc_spoken,920000046,46,12,160,612,678,row_context,14,1,False,1.6314446926116943,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0047_s01,bnc_spoken,920000047,47,9,160,74,128,row_context,10,2,False,4.3044114112854,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0047_s02,bnc_spoken,920000047,47,9,160,152,199,row_context,10,2,False,9.892781257629395,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0047_s03,bnc_spoken,920000047,47,12,160,200,254,row_context,15,1,False,4.797288417816162,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0048_s06,bnc_spoken,920000048,48,8,160,551,589,row_context,10,2,False,2.511583089828491,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0049_s06,bnc_spoken,920000049,49,10,160,512,554,row_context,11,1,False,5.799749374389648,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0052_s06,bnc_spoken,920000052,52,26,160,667,784,row_context,30,4,False,0.37006083130836487,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0058_s04,bnc_spoken,920000058,58,12,160,575,637,row_context,23,1,False,6.838066577911377,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0060_s05,bnc_spoken,920000060,60,14,160,534,593,row_context,15,2,False,0.1562061905860901,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0062_s01,bnc_spoken,920000062,62,15,160,123,195,row_context,16,2,False,2.903452157974243,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0064_s01,bnc_spoken,920000064,64,28,160,97,226,row_context,30,9,False,3.6137030124664307,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0066_s03,bnc_spoken,920000066,66,14,160,451,519,row_context,17,1,False,1.732314109802246,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0067_s02,bnc_spoken,920000067,67,28,160,135,266,row_context,33,3,False,1.8869129419326782,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0067_s05,bnc_spoken,920000067,67,14,160,477,546,row_context,17,4,False,4.022883892059326,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0067_s08,bnc_spoken,920000067,67,10,160,718,774,row_context,15,4,False,3.6930830478668213,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0069_s09,bnc_spoken,920000069,69,12,160,711,777,row_context,14,2,False,3.408548355102539,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0070_s01,bnc_spoken,920000070,70,10,160,114,154,row_context,13,1,False,0.16153347492218018,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0070_s02,bnc_spoken,920000070,70,8,160,193,236,row_context,10,1,False,6.810791969299316,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0073_s01,bnc_spoken,920000073,73,17,160,118,200,row_context,20,4,False,1.5118844509124756,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0073_s07,bnc_spoken,920000073,73,10,160,670,729,row_context,11,1,False,5.680939197540283,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0075_s00,bnc_spoken,920000075,75,10,160,0,49,row_context,13,2,False,1.6420096158981323,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0079_s01,bnc_spoken,920000079,79,22,160,96,194,row_context,24,2,False,6.214888572692871,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0079_s02,bnc_spoken,920000079,79,30,160,195,336,row_context,38,3,False,2.6546430587768555,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0080_s00,bnc_spoken,920000080,80,29,160,0,135,row_context,33,4,False,1.9848986864089966,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0081_s06,bnc_spoken,920000081,81,12,160,577,633,row_context,16,2,False,3.2953977584838867,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0082_s03,bnc_spoken,920000082,82,14,160,198,264,row_context,17,1,False,1.3286497592926025,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0082_s05,bnc_spoken,920000082,82,32,160,431,597,row_context,39,7,False,4.205566883087158,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0085_s03,bnc_spoken,920000085,85,13,160,371,431,row_context,16,2,False,3.847720146179199,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0087_s00,bnc_spoken,920000087,87,10,160,0,59,row_context,12,1,False,2.47149920463562,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0087_s05,bnc_spoken,920000087,87,12,160,525,580,row_context,14,3,False,4.210256099700928,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0088_s00,bnc_spoken,920000088,88,16,160,14,84,row_context,17,1,False,0.024304646998643875,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0090_s00,bnc_spoken,920000090,90,13,160,0,67,row_context,15,1,False,8.710492134094238,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0091_s02,bnc_spoken,920000091,91,34,160,265,412,row_context,35,1,False,0.07019919157028198,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
r0092_s00,bnc_spoken,920000092,92,23,160,27,133,row_context,25,2,False,0.21983875334262848,OFF43022,compact_experience,OFF,43022,chck_100M,"official lengthmatched, no qwen pair practice"
