family,seed,checkpoint,contrast,n_sentences,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain,fraction_a_higher_context_gain
crv,43022,chck_100M,VIEW-minus-CLEAN,639,0.05252157505789123,0.06556356265547565,0.01304198759758443,0.03919196880452013,0.4835680751173709
crv,43022,chck_100M,REPEAT-minus-CLEAN,639,0.037862221546399615,0.12933820749153804,0.09147598594513842,0.04447128485685182,0.5477308294209703
crv,43022,chck_100M,VIEW_SPLIT-minus-CLEAN,639,0.010724199220987973,0.029309951572058467,0.018585752351070493,0.03757547140676453,0.5117370892018779
crv,43022,chck_100M,REPEAT_SPLIT-minus-CLEAN,639,0.03170184812977962,0.0005059711711538783,-0.031195876958625742,0.04037796363474543,0.47104851330203446
crv,43022,chck_100M,VIEW-minus-VIEW_SPLIT,639,0.04179737583690325,0.036253611083417195,-0.005543764753486062,0.036167414392361735,0.5179968701095462
crv,43022,chck_100M,REPEAT-minus-REPEAT_SPLIT,639,0.006160373416619991,0.12883223632038415,0.12267186290376417,0.03822303067228591,0.5242566510172144
crv,43022,chck_100M,VIEW-minus-REPEAT,639,0.014659353511491615,-0.06377464483606238,-0.07843399834755399,0.040846123157973944,0.48200312989045385
crv,43122,chck_100M,VIEW-minus-CLEAN,639,-0.013377281202790666,0.055039413643773544,0.06841669484656421,0.04236839404197639,0.5226917057902973
crv,43122,chck_100M,REPEAT-minus-CLEAN,639,-0.006617688386682596,0.04691588607644016,0.053533574463122756,0.04766854882788265,0.513302034428795
crv,43122,chck_100M,VIEW_SPLIT-minus-CLEAN,639,-0.03783758416365955,0.037117061868803536,0.07495464603246309,0.041112927193172596,0.5305164319248826
crv,43122,chck_100M,REPEAT_SPLIT-minus-CLEAN,639,0.021877806758298826,-0.005114477503746241,-0.026992284262045065,0.03967852948863745,0.47417840375586856
crv,43122,chck_100M,VIEW-minus-VIEW_SPLIT,639,0.024460302960868884,0.01792235177497001,-0.006537951185898873,0.036461095846341,0.4694835680751174
crv,43122,chck_100M,REPEAT-minus-REPEAT_SPLIT,639,-0.028495495144981422,0.0520303635801864,0.08052585872516782,0.04239227693419479,0.5446009389671361
crv,43122,chck_100M,VIEW-minus-REPEAT,639,-0.006759592816108071,0.008123527567333385,0.014883120383441457,0.04071553100534996,0.5070422535211268
dose,43022,chck_100M,dose21-minus-base0,639,0.02882793826286634,0.09023153325372921,0.06140359499086288,0.03726459412400512,0.5226917057902973
dose,43022,chck_100M,dose25-minus-base0,639,0.04388891731689586,0.119254181731907,0.07536526441501112,0.03592945967089294,0.5446009389671361
dose,43022,chck_100M,dose25-minus-dose21,639,0.015060979054029526,0.029022648478177773,0.013961669424148249,0.037398753621088604,0.5179968701095462
dose,43122,chck_100M,dose21-minus-base0,639,0.0031101283080738574,-0.051362363001600374,-0.05447249130967423,0.03330759301729325,0.47730829420970267
dose,43122,chck_100M,dose25-minus-base0,639,0.03184204502070562,-0.006068691709681933,-0.03791073673038755,0.033744534632474454,0.4679186228482003
dose,43122,chck_100M,dose25-minus-dose21,639,0.02873191671263176,0.04529367129191844,0.016561754579286683,0.03342219245713072,0.46322378716744916
compact_experience,43022,chck_100M,ALN-minus-OFF,634,-0.21135985540979152,0.135186802187769,0.3465466575975605,0.04644940684214657,0.6356466876971609
compact_experience,43022,chck_100M,SHUF-minus-OFF,634,-0.03669879035078052,-0.06109822718430258,-0.02439943683352206,0.03525766442123433,0.5189274447949527
compact_experience,43022,chck_100M,ALN-minus-SHUF,634,-0.174661065059011,0.19628502937207157,0.37094609443108256,0.0423780566701541,0.6230283911671924
compact_experience,43022,chck_100M,DUP-minus-OFF,634,-0.029408238869072185,0.2581920933846411,0.2876003322537133,0.05172096719801846,0.5757097791798107
compact_experience,43022,chck_100M,ALN-minus-DUP,634,-0.18195161654071934,-0.12300529119687212,0.05894632534384721,0.04856127436450012,0.5157728706624606
compact_experience,43022,chck_100M,SEP-minus-OFF,634,0.2804342403579491,-0.06341576327087596,-0.34385000362882506,0.04762813101332831,0.40063091482649843
compact_experience,43022,chck_100M,ALN-minus-SEP,634,-0.49179409576774064,0.19860256545864494,0.6903966612263855,0.05894447416585277,0.7003154574132492
compact_experience,43022,chck_100M,SHUF-minus-SEP,634,-0.3171330307087296,0.0023175360865733802,0.319450566795303,0.04243305984610044,0.6167192429022083
compact_experience,43122,chck_100M,ALN-minus-OFF,634,-0.07369996553636546,0.13911057772250385,0.2128105432588693,0.048055230952866936,0.5615141955835962
compact_experience,43122,chck_100M,SHUF-minus-OFF,634,0.08094671253551014,-0.017138134111754584,-0.09808484664726473,0.036421748531451324,0.4558359621451104
compact_experience,43122,chck_100M,ALN-minus-SHUF,634,-0.1546466780718756,0.15624871183425842,0.310895389906134,0.04504911689142562,0.6198738170347003
