family,seed,relation,arm,checkpoint,sentence_uid,source,sentence_words,isolation,row_context,context_gain
crv,43022,CLEAN,C43022,chck_100M,r0001_s04,bnc_spoken,23,3.6315829753875732,2.926936149597168,0.7046468257904053
crv,43022,CLEAN,C43022,chck_100M,r0006_s03,bnc_spoken,29,2.4447669982910156,2.2110941410064697,0.2336728572845459
crv,43022,CLEAN,C43022,chck_100M,r0006_s05,bnc_spoken,8,4.566069602966309,6.6563401222229,-2.090270519256592
crv,43022,CLEAN,C43022,chck_100M,r0008_s00,bnc_spoken,37,3.1891136169433594,0.9598095417022705,2.229304075241089
crv,43022,CLEAN,C43022,chck_100M,r0008_s06,bnc_spoken,15,3.505054473876953,4.305034160614014,-0.7999796867370605
crv,43022,CLEAN,C43022,chck_100M,r0009_s01,bnc_spoken,28,3.660076141357422,3.756267547607422,-0.09619140625
crv,43022,CLEAN,C43022,chck_100M,r0009_s04,bnc_spoken,38,5.277732849121094,5.1961870193481445,0.08154582977294922
crv,43022,CLEAN,C43022,chck_100M,r0010_s01,bnc_spoken,19,2.0447299480438232,1.3421952724456787,0.7025346755981445
crv,43022,CLEAN,C43022,chck_100M,r0011_s06,bnc_spoken,10,1.3085722923278809,1.5339852571487427,-0.22541296482086182
crv,43022,CLEAN,C43022,chck_100M,r0013_s00,bnc_spoken,14,2.8040194511413574,2.063122034072876,0.7408974170684814
crv,43022,CLEAN,C43022,chck_100M,r0013_s02,bnc_spoken,16,3.4462623596191406,3.2019944190979004,0.24426794052124023
crv,43022,CLEAN,C43022,chck_100M,r0015_s04,bnc_spoken,11,3.254375457763672,2.5139551162719727,0.7404203414916992
crv,43022,CLEAN,C43022,chck_100M,r0017_s02,bnc_spoken,21,8.111715316772461,6.336042404174805,1.7756729125976562
crv,43022,CLEAN,C43022,chck_100M,r0021_s02,bnc_spoken,13,2.691622018814087,1.522031545639038,1.1695904731750488
crv,43022,CLEAN,C43022,chck_100M,r0022_s00,bnc_spoken,14,0.0022046088706701994,0.002043185057118535,0.00016142381355166435
crv,43022,CLEAN,C43022,chck_100M,r0023_s02,bnc_spoken,11,3.288649320602417,1.8183244466781616,1.4703248739242554
crv,43022,CLEAN,C43022,chck_100M,r0027_s01,bnc_spoken,11,3.4406979084014893,2.925679922103882,0.5150179862976074
crv,43022,CLEAN,C43022,chck_100M,r0027_s03,bnc_spoken,9,1.7208380699157715,0.19005419313907623,1.5307838767766953
crv,43022,CLEAN,C43022,chck_100M,r0027_s04,bnc_spoken,13,0.09914452582597733,0.256462424993515,-0.1573178991675377
crv,43022,CLEAN,C43022,chck_100M,r0027_s06,bnc_spoken,12,3.8613955974578857,3.9344849586486816,-0.0730893611907959
crv,43022,CLEAN,C43022,chck_100M,r0029_s01,bnc_spoken,10,3.0626204013824463,2.4854342937469482,0.577186107635498
crv,43022,CLEAN,C43022,chck_100M,r0029_s02,bnc_spoken,8,1.8314863443374634,1.2802202701568604,0.551266074180603
crv,43022,CLEAN,C43022,chck_100M,r0031_s03,bnc_spoken,8,9.860305786132812,8.958498001098633,0.9018077850341797
crv,43022,CLEAN,C43022,chck_100M,r0031_s07,bnc_spoken,10,3.4576644897460938,3.1111340522766113,0.3465304374694824
crv,43022,CLEAN,C43022,chck_100M,r0040_s06,bnc_spoken,15,2.9103469848632812,1.7257239818572998,1.1846230030059814
crv,43022,CLEAN,C43022,chck_100M,r0041_s06,bnc_spoken,23,4.914336204528809,2.8588201999664307,2.055516004562378
crv,43022,CLEAN,C43022,chck_100M,r0042_s09,bnc_spoken,9,4.427340507507324,0.017382735386490822,4.409957772120833
crv,43022,CLEAN,C43022,chck_100M,r0043_s06,bnc_spoken,18,0.19626902043819427,0.4457542896270752,-0.24948526918888092
crv,43022,CLEAN,C43022,chck_100M,r0044_s00,bnc_spoken,9,2.990710496902466,3.69252347946167,-0.7018129825592041
crv,43022,CLEAN,C43022,chck_100M,r0045_s04,bnc_spoken,8,4.644007205963135,3.341959238052368,1.3020479679107666
crv,43022,CLEAN,C43022,chck_100M,r0045_s07,bnc_spoken,10,1.403673529624939,0.9127956032752991,0.4908779263496399
crv,43022,CLEAN,C43022,chck_100M,r0045_s08,bnc_spoken,29,6.3173136711120605,6.276298522949219,0.0410151481628418
crv,43022,CLEAN,C43022,chck_100M,r0046_s07,bnc_spoken,12,1.5012868642807007,1.155871868133545,0.34541499614715576
crv,43022,CLEAN,C43022,chck_100M,r0047_s01,bnc_spoken,9,6.619219779968262,3.0269832611083984,3.5922365188598633
crv,43022,CLEAN,C43022,chck_100M,r0047_s02,bnc_spoken,9,10.007003784179688,3.9093732833862305,6.097630500793457
crv,43022,CLEAN,C43022,chck_100M,r0047_s03,bnc_spoken,12,0.2906174957752228,4.131911277770996,-3.8412937819957733
crv,43022,CLEAN,C43022,chck_100M,r0048_s06,bnc_spoken,8,4.888070583343506,0.26317015290260315,4.624900430440903
crv,43022,CLEAN,C43022,chck_100M,r0049_s06,bnc_spoken,10,2.9754252433776855,3.531790018081665,-0.5563647747039795
crv,43022,CLEAN,C43022,chck_100M,r0052_s06,bnc_spoken,26,2.596038341522217,0.4103083908557892,2.1857299506664276
crv,43022,CLEAN,C43022,chck_100M,r0058_s04,bnc_spoken,12,6.836116790771484,7.331972122192383,-0.49585533142089844
crv,43022,CLEAN,C43022,chck_100M,r0060_s05,bnc_spoken,14,2.6468777656555176,0.05287548154592514,2.5940022841095924
crv,43022,CLEAN,C43022,chck_100M,r0062_s01,bnc_spoken,15,3.6782445907592773,0.8363977074623108,2.8418468832969666
crv,43022,CLEAN,C43022,chck_100M,r0064_s01,bnc_spoken,28,4.309597015380859,3.912041187286377,0.3975558280944824
crv,43022,CLEAN,C43022,chck_100M,r0066_s03,bnc_spoken,14,2.2023448944091797,0.9516662359237671,1.2506786584854126
crv,43022,CLEAN,C43022,chck_100M,r0067_s02,bnc_spoken,28,2.886793375015259,1.937233328819275,0.9495600461959839
crv,43022,CLEAN,C43022,chck_100M,r0067_s05,bnc_spoken,14,4.821652412414551,5.1626176834106445,-0.34096527099609375
crv,43022,CLEAN,C43022,chck_100M,r0067_s08,bnc_spoken,10,3.035637140274048,3.7791037559509277,-0.7434666156768799
crv,43022,CLEAN,C43022,chck_100M,r0069_s09,bnc_spoken,12,2.8877663612365723,3.016758441925049,-0.12899208068847656
