family,seed,checkpoint,contrast,source,n_sentences,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain
crv,43022,chck_100M,VIEW-minus-CLEAN,bnc_spoken,120,0.0678324690272954,0.1573549548513256,0.0895224858240302,0.08527467503305836
crv,43022,chck_100M,VIEW-minus-CLEAN,childes,113,0.07144292939362691,0.18526404458757456,0.11382111519394765,0.08937770370422475
crv,43022,chck_100M,VIEW-minus-CLEAN,gutenberg,120,-0.0321116047964703,-0.1080053336181057,-0.0758937288216354,0.09203264264119497
crv,43022,chck_100M,VIEW-minus-CLEAN,open_subtitles,120,0.054818289996668074,-0.041786973619067184,-0.09660526361573527,0.0902669906197721
crv,43022,chck_100M,VIEW-minus-CLEAN,simple_wiki,115,0.15781552749483482,0.21023339257454093,0.05241786507970613,0.09876930563717323
crv,43022,chck_100M,VIEW-minus-CLEAN,switchboard,51,-0.06912252409201042,-0.08086428159446109,-0.011741757502450663,0.14226600653165844
crv,43022,chck_100M,REPEAT-minus-CLEAN,bnc_spoken,120,0.10634330651616135,0.14510989434008176,0.038766587823920416,0.0830792529173179
crv,43022,chck_100M,REPEAT-minus-CLEAN,childes,113,0.06922122871619187,0.35841288116382075,0.28919165244762884,0.0991853154919787
crv,43022,chck_100M,REPEAT-minus-CLEAN,gutenberg,120,-0.12705691677692812,0.0036383946920977906,0.1306953114690259,0.14728385094543228
crv,43022,chck_100M,REPEAT-minus-CLEAN,open_subtitles,120,0.02759640662673822,0.12238819724613374,0.09479179061939552,0.09305633721581077
crv,43022,chck_100M,REPEAT-minus-CLEAN,simple_wiki,115,0.1836648882933609,0.10615005024263392,-0.07751483805072697,0.0943609502939144
crv,43022,chck_100M,REPEAT-minus-CLEAN,switchboard,51,-0.10932229400849809,-0.05092500226900858,0.058397291739489515,0.09855210880500266
crv,43022,chck_100M,VIEW_SPLIT-minus-CLEAN,bnc_spoken,120,0.0588219251735912,0.030812615730489292,-0.02800930944310191,0.08231314239194071
crv,43022,chck_100M,VIEW_SPLIT-minus-CLEAN,childes,113,0.07879923485972895,0.2170040753965711,0.13820484053684218,0.08041025536287415
crv,43022,chck_100M,VIEW_SPLIT-minus-CLEAN,gutenberg,120,-0.010084623005726219,-0.05438043200871713,-0.04429580900299091,0.10512515126521442
crv,43022,chck_100M,VIEW_SPLIT-minus-CLEAN,open_subtitles,120,-0.04252014386487038,0.017413601961743554,0.059933745826613934,0.08748752816430738
crv,43022,chck_100M,VIEW_SPLIT-minus-CLEAN,simple_wiki,115,-0.06015988566467295,-0.04923447872633519,0.010925406938337762,0.08709618009143229
crv,43022,chck_100M,VIEW_SPLIT-minus-CLEAN,switchboard,51,0.08079956113999966,0.01192292757332325,-0.0688766335666764,0.10387083061954049
crv,43022,chck_100M,REPEAT_SPLIT-minus-CLEAN,bnc_spoken,120,0.06521437767660246,0.011683629481315924,-0.05353074819528653,0.07995527205761505
crv,43022,chck_100M,REPEAT_SPLIT-minus-CLEAN,childes,113,0.03409880849348099,0.14463138092588426,0.11053257243240328,0.07309331042772846
crv,43022,chck_100M,REPEAT_SPLIT-minus-CLEAN,gutenberg,120,-0.09651560619677184,-0.11951297168270685,-0.022997365485935006,0.13988973918222974
crv,43022,chck_100M,REPEAT_SPLIT-minus-CLEAN,open_subtitles,120,0.02739439377085849,-0.0343081396985023,-0.06170253346936079,0.08387730363953308
crv,43022,chck_100M,REPEAT_SPLIT-minus-CLEAN,simple_wiki,115,0.0431012817375038,-0.09885398549959064,-0.14195526723709442,0.08891366157603062
crv,43022,chck_100M,REPEAT_SPLIT-minus-CLEAN,switchboard,51,0.23365663461314112,0.24322893518004932,0.009572300566908191,0.08464370335733126
crv,43022,chck_100M,VIEW-minus-VIEW_SPLIT,bnc_spoken,120,0.009010543853704197,0.12654233912083632,0.11753179526713212,0.06700864961556068
crv,43022,chck_100M,VIEW-minus-VIEW_SPLIT,childes,113,-0.007356305466102028,-0.03174003080899654,-0.024383725342894513,0.08712684779720802
crv,43022,chck_100M,VIEW-minus-VIEW_SPLIT,gutenberg,120,-0.02202698179074408,-0.05362490160938857,-0.03159791981864449,0.08108059044349553
crv,43022,chck_100M,VIEW-minus-VIEW_SPLIT,open_subtitles,120,0.09733843386153845,-0.05920057558081074,-0.1565390094423492,0.10138207328653061
crv,43022,chck_100M,VIEW-minus-VIEW_SPLIT,simple_wiki,115,0.21797541315950777,0.2594678713008761,0.04149245814136837,0.0702290819298508
crv,43022,chck_100M,VIEW-minus-VIEW_SPLIT,switchboard,51,-0.1499220852320101,-0.09278720916778434,0.05713487606422574,0.15673996356272407
