endpoint,anchor,input_form,bin_field,bin,n_masked_tokens,delta_isolation_token_loss,se_delta,fraction_improved
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,0_edge_token,203,-0.028519628433570303,0.015569257455258938,0.5369458128078818
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,1,188,-0.003145696754782353,0.011653922513825027,0.5
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,16+,231,-0.007567108448081271,0.008596706775095992,0.5194805194805194
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,2-3,380,0.00034220880309619945,0.007133368704183431,0.47368421052631576
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,4-7,677,-0.014269480200624643,0.0054007056732562056,0.5273264401772526
coherent86_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,8-15,557,-0.0076466092603326,0.005668681191236684,0.5206463195691203
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,0_edge_token,203,-0.028519628433570303,0.015569257455258938,0.5369458128078818
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,1,188,-0.003145696754782353,0.011653922513825027,0.5
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,16+,231,-0.007567108448081271,0.008596706775095992,0.5194805194805194
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,2-3,380,0.00034220880309619945,0.007133368704183431,0.47368421052631576
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,4-7,677,-0.014269480200624643,0.0054007056732562056,0.5273264401772526
coherent86_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,8-15,557,-0.0076466092603326,0.005668681191236684,0.5206463195691203
coherent86_alpha075,chck82_slow_scale1p75,no_special,distance_to_boundary_special_bin,NA,2236,-0.009802521342608323,0.0031442233538203634,0.5143112701252236
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,0_edge_token,203,0.04243925421626601,0.028782365629556692,0.4433497536945813
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,1,188,0.1768598790005389,0.04695929374764044,0.4095744680851064
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,16+,231,-0.00415334168543638,0.010001679873565747,0.5194805194805194
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,2-3,380,0.05617454958984653,0.021409103945025255,0.45789473684210524
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,4-7,677,-0.008606096851885982,0.007180222739196248,0.5243722304283605
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,8-15,557,-0.008891920754812902,0.007352622541335155,0.5385996409335727
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,0_edge_token,203,0.04243925421626601,0.028782365629556692,0.4433497536945813
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,1,188,0.1768598790005389,0.04695929374764044,0.4095744680851064
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,16+,231,-0.00415334168543638,0.010001679873565747,0.5194805194805194
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,2-3,380,0.05617454958984653,0.021409103945025255,0.45789473684210524
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,4-7,677,-0.008606096851885982,0.007180222739196248,0.5243722304283605
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,8-15,557,-0.008891920754812902,0.007352622541335155,0.5385996409335727
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,distance_to_boundary_special_bin,NA,2236,0.023019948722563324,0.006776928940596752,0.4991055456171735
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,0_edge_token,203,0.07938107891271196,0.031484248177692416,0.39408866995073893
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,1,188,0.18829918618692007,0.05332485633956073,0.425531914893617
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,16+,231,-0.017470158594363124,0.010731859146970295,0.5151515151515151
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,2-3,380,0.0640587911893243,0.023347173242466355,0.48157894736842105
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,4-7,677,-0.00639821174751284,0.007912456140979539,0.5036927621861153
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,target_edge_bin,8-15,557,-0.013996342833391738,0.00834134504663731,0.5350089766606823
