frame_id,base_id,condition,family,object,alt_a,alt_b,delta1,delta2,signed_c1,signed_c2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias,target_word_free_context
OD_00001,BASE_0001,none,empty_full,glass,empty,full,2.8986191749572754,2.8986191749572754,2.8986191749572754,-2.8986191749572754,0.0,-2.8986191749572754,False,True,False,False
OD_00002,BASE_0001,prior_only_contradict,empty_full,glass,empty,full,-4.054846942424774,9.629537776112556,-4.054846942424774,-9.629537776112556,-13.68438471853733,-9.629537776112556,False,False,False,False
OD_00003,BASE_0001,action_only,empty_full,glass,empty,full,2.409726619720459,2.4438095092773438,2.409726619720459,-2.4438095092773438,-0.034082889556884766,-2.4438095092773438,False,True,False,False
OD_00004,BASE_0001,action_distance,empty_full,glass,empty,full,3.5163352489471436,3.764958143234253,3.5163352489471436,-3.764958143234253,-0.24862289428710938,-3.764958143234253,False,True,False,False
OD_00005,BASE_0001,contradict_adjacent,empty_full,glass,empty,full,-4.285448044538498,9.12731547653675,-4.285448044538498,-9.12731547653675,-13.412763521075249,-9.12731547653675,False,False,False,False
OD_00006,BASE_0001,contradict_then,empty_full,glass,empty,full,-4.179989039897919,9.031991809606552,-4.179989039897919,-9.031991809606552,-13.21198084950447,-9.031991809606552,False,False,False,False
OD_00007,BASE_0001,contradict_distance,empty_full,glass,empty,full,-2.86016845703125,9.003873497247696,-2.86016845703125,-9.003873497247696,-11.864041954278946,-9.003873497247696,False,False,False,False
OD_00008,BASE_0001,consistent_adjacent,empty_full,glass,empty,full,9.223133444786072,-5.342718228697777,9.223133444786072,5.342718228697777,14.565851673483849,5.342718228697777,True,False,False,False
OD_00009,BASE_0001,explicit_override_direct,empty_full,glass,empty,full,5.383345201611519,-0.6162252426147461,5.383345201611519,0.6162252426147461,5.999570444226265,0.6162252426147461,True,False,False,False
OD_00010,BASE_0001,tf_prior_only_contradict,empty_full,glass,empty,full,2.109828233718872,2.870232343673706,2.109828233718872,-2.870232343673706,-0.760404109954834,-2.870232343673706,False,True,False,True
OD_00011,BASE_0001,tf_action_only,empty_full,glass,empty,full,2.276900291442871,1.6346228122711182,2.276900291442871,-1.6346228122711182,0.6422774791717529,-1.6346228122711182,False,True,False,True
OD_00012,BASE_0001,tf_contradict_adjacent,empty_full,glass,empty,full,1.8424174785614014,2.217329740524292,1.8424174785614014,-2.217329740524292,-0.3749122619628906,-2.217329740524292,False,True,False,True
OD_00013,BASE_0001,tf_contradict_distance,empty_full,glass,empty,full,3.3020427227020264,2.9664969444274902,3.3020427227020264,-2.9664969444274902,0.33554577827453613,-2.9664969444274902,False,True,False,True
OD_00014,BASE_0002,none,empty_full,glass,empty,full,2.8986191749572754,2.8986191749572754,2.8986191749572754,-2.8986191749572754,0.0,-2.8986191749572754,False,True,False,False
OD_00015,BASE_0002,prior_only_contradict,empty_full,glass,empty,full,-4.054846942424774,9.629537776112556,-4.054846942424774,-9.629537776112556,-13.68438471853733,-9.629537776112556,False,False,False,False
OD_00016,BASE_0002,action_only,empty_full,glass,empty,full,3.2838594913482666,2.7522988319396973,3.2838594913482666,-2.7522988319396973,0.5315606594085693,-2.7522988319396973,False,True,False,False
OD_00017,BASE_0002,action_distance,empty_full,glass,empty,full,4.111295938491821,4.069513559341431,4.111295938491821,-4.069513559341431,0.041782379150390625,-4.069513559341431,False,True,False,False
OD_00018,BASE_0002,contradict_adjacent,empty_full,glass,empty,full,-4.243063867092133,9.521428927779198,-4.243063867092133,-9.521428927779198,-13.76449279487133,-9.521428927779198,False,False,False,False
OD_00019,BASE_0002,contradict_then,empty_full,glass,empty,full,-4.152963727712631,9.270403429865837,-4.152963727712631,-9.270403429865837,-13.423367157578468,-9.270403429865837,False,False,False,False
OD_00020,BASE_0002,contradict_distance,empty_full,glass,empty,full,-2.8385324478149414,9.229820758104324,-2.8385324478149414,-9.229820758104324,-12.068353205919266,-9.229820758104324,False,False,False,False
OD_00021,BASE_0002,consistent_adjacent,empty_full,glass,empty,full,9.56540159881115,-5.379276797175407,9.56540159881115,5.379276797175407,14.944678395986557,5.379276797175407,True,False,False,False
