base_id,family,object,label,none_c1,none_c2,prior_c1,prior_c2,action_c1,action_c2,combined_c1,combined_c2,pred_c1,pred_c2,residual_c1,residual_c2,residual_mean,action_effect_mean,prior_effect_mean,combined_effect_mean,combined_crossed,action_crossed
BASE_0001,empty_full,glass,direct_adjacent,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.409726619720459,-2.4438095092773438,-4.285448044538498,-9.12731547653675,-4.543739497661591,-9.174728110432625,0.25829145312309265,0.04741263389587402,0.15285204350948334,-0.017041444778442383,-6.842192359268665,-6.706381760537624,False,False
BASE_0001,empty_full,glass,direct_then,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.409726619720459,-2.4438095092773438,-4.179989039897919,-9.031991809606552,-4.543739497661591,-9.174728110432625,0.3637504577636719,0.1427363008260727,0.2532433792948723,-0.017041444778442383,-6.842192359268665,-6.605990424752235,False,False
BASE_0001,empty_full,glass,direct_distance,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,3.5163352489471436,-3.764958143234253,-2.86016845703125,-9.003873497247696,-3.437130868434906,-10.495876744389534,0.576962411403656,1.492003247141838,1.034482829272747,-0.12431144714355469,-6.842192359268665,-5.932020977139473,False,False
BASE_0001,empty_full,glass,targetfree_adjacent,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.276900291442871,-1.6346228122711182,1.8424174785614014,-2.217329740524292,1.4881093502044678,-1.6062359809875488,0.3543081283569336,-0.6110937595367432,-0.12839281558990479,0.32113873958587646,-0.380202054977417,-0.1874561309814453,False,False
BASE_0001,empty_full,glass,targetfree_distance,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.276900291442871,-1.6346228122711182,3.3020427227020264,-2.9664969444274902,1.4881093502044678,-1.6062359809875488,1.8139333724975586,-1.3602609634399414,0.2268362045288086,0.32113873958587646,-0.380202054977417,0.16777288913726807,False,False
BASE_0002,empty_full,glass,direct_adjacent,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,3.2838594913482666,-2.7522988319396973,-4.243063867092133,-9.521428927779198,-3.669606626033783,-9.483217433094978,-0.5734572410583496,-0.03821149468421936,-0.3058343678712845,0.26578032970428467,-6.842192359268665,-6.882246397435665,False,False
BASE_0002,empty_full,glass,direct_then,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,3.2838594913482666,-2.7522988319396973,-4.152963727712631,-9.270403429865837,-3.669606626033783,-9.483217433094978,-0.48335710167884827,0.21281400322914124,-0.13527154922485352,0.26578032970428467,-6.842192359268665,-6.711683578789234,False,False
BASE_0002,empty_full,glass,direct_distance,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,4.111295938491821,-4.069513559341431,-2.8385324478149414,-9.229820758104324,-2.8421701788902283,-10.800432160496712,0.0036377310752868652,1.5706114023923874,0.7871245667338371,0.020891189575195312,-6.842192359268665,-6.034176602959633,False,False
BASE_0002,empty_full,glass,targetfree_adjacent,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.781402111053467,-1.9463493824005127,2.2717113494873047,-2.4344067573547363,1.9926111698150635,-1.9179625511169434,0.2791001796722412,-0.516444206237793,-0.11867201328277588,0.41752636432647705,-0.380202054977417,-0.08134770393371582,False,False
BASE_0002,empty_full,glass,targetfree_distance,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.781402111053467,-1.9463493824005127,3.5649967193603516,-3.135439872741699,1.9926111698150635,-1.9179625511169434,1.572385549545288,-1.2174773216247559,0.1774541139602661,0.41752636432647705,-0.380202054977417,0.21477842330932617,False,False
BASE_0003,empty_full,glass,direct_adjacent,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.94061017036438,-2.4717020988464355,-4.458687961101532,-9.16764049232006,-4.01285594701767,-9.202620700001717,-0.4458320140838623,0.034980207681655884,-0.2054259032011032,0.23445403575897217,-6.842192359268665,-6.813164226710796,False,False
BASE_0003,empty_full,glass,direct_then,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.94061017036438,-2.4717020988464355,-4.216309666633606,-9.072925791144371,-4.01285594701767,-9.202620700001717,-0.20345371961593628,0.12969490885734558,-0.03687940537929535,0.23445403575897217,-6.842192359268665,-6.6446177288889885,False,False
BASE_0003,empty_full,glass,direct_distance,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,3.704627513885498,-3.797262668609619,-2.937740385532379,-8.924129098653793,-3.2488386034965515,-10.5281812697649,0.31109821796417236,1.6040521711111069,0.9575751945376396,-0.04631757736206055,-6.842192359268665,-5.930934742093086,False,False
BASE_0003,empty_full,glass,targetfree_adjacent,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.5422306060791016,-1.76572847366333,2.0209763050079346,-2.3055522441864014,1.7534396648406982,-1.7373416423797607,0.26753664016723633,-0.5682106018066406,-0.15033698081970215,0.38825106620788574,-0.380202054977417,-0.1422879695892334,False,False
BASE_0003,empty_full,glass,targetfree_distance,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.5422306060791016,-1.76572847366333,3.4613053798675537,-3.0350589752197266,1.7534396648406982,-1.7373416423797607,1.7078657150268555,-1.2977173328399658,0.20507419109344482,0.38825106620788574,-0.380202054977417,0.21312320232391357,False,False
BASE_0004,empty_full,glass,direct_adjacent,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.698748826980591,-2.7520251274108887,-4.478959828615189,-9.157730370759964,-4.254717290401459,-9.48294372856617,-0.22424253821372986,0.32521335780620575,0.050485409796237946,-0.026638150215148926,-6.842192359268665,-6.818345099687576,False,False
BASE_0004,empty_full,glass,direct_then,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.698748826980591,-2.7520251274108887,-4.2094630897045135,-9.06961776316166,-4.254717290401459,-9.48294372856617,0.04525420069694519,0.4133259654045105,0.22929008305072784,-0.026638150215148926,-6.842192359268665,-6.639540426433086,False,False
BASE_0004,empty_full,glass,direct_distance,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,3.842327117919922,-4.080511569976807,-2.897662103176117,-9.278053387999535,-3.1111389994621277,-10.811430171132088,0.21347689628601074,1.533376783132553,0.8734268397092819,-0.11909222602844238,-6.842192359268665,-6.087857745587826,False,False
BASE_0004,empty_full,glass,targetfree_adjacent,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.5485715866088867,-1.6986606121063232,1.9997389316558838,-2.350564956665039,1.7597806453704834,-1.670273780822754,0.2399582862854004,-0.6802911758422852,-0.22016644477844238,0.42495548725128174,-0.380202054977417,-0.17541301250457764,False,False
BASE_0004,empty_full,glass,targetfree_distance,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.5485715866088867,-1.6986606121063232,3.541686773300171,-3.129988670349121,1.7597806453704834,-1.670273780822754,1.7819061279296875,-1.4597148895263672,0.16109561920166016,0.42495548725128174,-0.380202054977417,0.2058490514755249,False,False
BASE_0005,empty_full,glass,direct_adjacent,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.2789230346679688,-2.2850449085235596,-4.413514345884323,-9.114139378070831,-4.674543082714081,-9.01596350967884,0.2610287368297577,-0.09817586839199066,0.08142643421888351,-0.00306093692779541,-6.842192359268665,-6.763826861977577,False,False
BASE_0005,empty_full,glass,direct_then,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.2789230346679688,-2.2850449085235596,-4.281957745552063,-9.045158803462982,-4.674543082714081,-9.01596350967884,0.3925853371620178,-0.02919529378414154,0.18169502168893814,-0.00306093692779541,-6.842192359268665,-6.663558274507523,False,False
BASE_0005,empty_full,glass,direct_distance,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,3.301071882247925,-3.3828563690185547,-3.01008403301239,-8.83141639828682,-3.6523942351341248,-10.113774970173836,0.6423102021217346,1.2823585718870163,0.9623343870043755,-0.04089224338531494,-6.842192359268665,-5.920750215649605,False,False
BASE_0005,empty_full,glass,targetfree_adjacent,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.297048330307007,-1.3141002655029297,1.8643407821655273,-2.2093355655670166,1.5082573890686035,-1.2857134342193604,0.35608339309692383,-0.9236221313476562,-0.2837693691253662,0.4914740324020386,-0.380202054977417,-0.17249739170074463,False,False
BASE_0005,empty_full,glass,targetfree_distance,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.297048330307007,-1.3141002655029297,3.294090986251831,-2.8718583583831787,1.5082573890686035,-1.2857134342193604,1.7858335971832275,-1.5861449241638184,0.09984433650970459,0.4914740324020386,-0.380202054977417,0.21111631393432617,False,False
BASE_0006,empty_full,glass,direct_adjacent,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.369497299194336,-2.4880495071411133,-4.78238570690155,-9.353575095534325,-4.583968818187714,-9.218968108296394,-0.19841688871383667,-0.1346069872379303,-0.16651193797588348,-0.05927610397338867,-6.842192359268665,-7.0679804012179375,False,False
BASE_0006,empty_full,glass,direct_then,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.369497299194336,-2.4880495071411133,-4.510791897773743,-9.153821662068367,-4.583968818187714,-9.218968108296394,0.07317692041397095,0.06514644622802734,0.06916168332099915,-0.05927610397338867,-6.842192359268665,-6.832306779921055,False,False
BASE_0006,empty_full,glass,direct_distance,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,3.826673746109009,-3.952749490737915,-3.462488353252411,-9.298280701041222,-3.1267923712730408,-10.683668091893196,-0.3356959819793701,1.3853873908519745,0.5248457044363022,-0.06303787231445312,-6.842192359268665,-6.380384527146816,False,False
BASE_0006,empty_full,glass,targetfree_adjacent,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.238558292388916,-1.7967054843902588,1.9784080982208252,-2.4251651763916016,1.4497673511505127,-1.7683186531066895,0.5286407470703125,-0.6568465232849121,-0.0641028881072998,0.2209264039993286,-0.380202054977417,-0.22337853908538818,False,False
BASE_0006,empty_full,glass,targetfree_distance,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.238558292388916,-1.7967054843902588,3.5237345695495605,-3.134493350982666,1.4497673511505127,-1.7683186531066895,2.073967218399048,-1.3661746978759766,0.35389626026153564,0.2209264039993286,-0.380202054977417,0.19462060928344727,False,False
BASE_0007,empty_full,glass,direct_adjacent,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.9236888885498047,-2.801772117614746,-4.410455882549286,-9.376370817422867,-4.029777228832245,-9.532690718770027,-0.380678653717041,0.15631990134716034,-0.11217937618494034,0.0609583854675293,-6.842192359268665,-6.893413349986076,False,False
BASE_0007,empty_full,glass,direct_then,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.9236888885498047,-2.801772117614746,-4.194230318069458,-9.184606894850731,-4.029777228832245,-9.532690718770027,-0.16445308923721313,0.34808382391929626,0.09181536734104156,0.0609583854675293,-6.842192359268665,-6.6894186064600945,False,False
BASE_0007,empty_full,glass,direct_distance,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,3.929940700531006,-4.079096078872681,-2.8565977811813354,-9.163813397288322,-3.0235254168510437,-10.810014680027962,0.16692763566970825,1.6462012827396393,0.9065644592046738,-0.0745776891708374,-6.842192359268665,-6.010205589234829,False,False
BASE_0007,empty_full,glass,targetfree_adjacent,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.6355977058410645,-1.6996972560882568,2.013693332672119,-2.3259365558624268,1.8468067646026611,-1.6713104248046875,0.166886568069458,-0.6546261310577393,-0.24386978149414062,0.4679502248764038,-0.380202054977417,-0.1561216115951538,False,False
BASE_0007,empty_full,glass,targetfree_distance,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.6355977058410645,-1.6996972560882568,3.5738794803619385,-3.1061935424804688,1.8468067646026611,-1.6713104248046875,1.7270727157592773,-1.4348831176757812,0.14609479904174805,0.4679502248764038,-0.380202054977417,0.23384296894073486,False,False
BASE_0008,empty_full,glass,direct_adjacent,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,3.0788540840148926,-2.521573543548584,-4.330005705356598,-9.49411529302597,-3.874612033367157,-9.252492144703865,-0.4553936719894409,-0.2416231483221054,-0.34850841015577316,0.2786402702331543,-6.842192359268665,-6.912060499191284,False,False
BASE_0008,empty_full,glass,direct_then,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,3.0788540840148926,-2.521573543548584,-4.22642719745636,-9.193333148956299,-3.874612033367157,-9.252492144703865,-0.3518151640892029,0.05915899574756622,-0.14632808417081833,0.2786402702331543,-6.842192359268665,-6.709880173206329,False,False
BASE_0008,empty_full,glass,direct_distance,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,4.047040700912476,-3.9286587238311768,-2.770205497741699,-9.223366975784302,-2.906425416469574,-10.659577324986458,0.13621991872787476,1.436210349202156,0.7862151339650154,0.059190988540649414,-6.842192359268665,-5.9967862367630005,False,False
BASE_0008,empty_full,glass,targetfree_adjacent,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.72348690032959,-1.5244176387786865,2.32879900932312,-2.4691250324249268,1.9346959590911865,-1.4960308074951172,0.3941030502319336,-0.9730942249298096,-0.289495587348938,0.5995346307754517,-0.380202054977417,-0.07016301155090332,False,False
BASE_0008,empty_full,glass,targetfree_distance,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.72348690032959,-1.5244176387786865,3.6709742546081543,-3.1491382122039795,1.9346959590911865,-1.4960308074951172,1.7362782955169678,-1.6531074047088623,0.041585445404052734,0.5995346307754517,-0.380202054977417,0.2609180212020874,False,False
BASE_0009,empty_full,glass,direct_adjacent,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.888122797012329,-2.7636544704437256,-4.38973543047905,-9.231182754039764,-4.0653433203697205,-9.494573071599007,-0.3243921101093292,0.26339031755924225,-0.030500896275043488,0.06223416328430176,-6.842192359268665,-6.810459092259407,False,False
BASE_0009,empty_full,glass,direct_then,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.888122797012329,-2.7636544704437256,-4.267086893320084,-9.206175222992897,-4.0653433203697205,-9.494573071599007,-0.20174357295036316,0.2883978486061096,0.04332713782787323,0.06223416328430176,-6.842192359268665,-6.73663105815649,False,False
BASE_0009,empty_full,glass,direct_distance,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,3.6442108154296875,-3.792947769165039,-2.857979893684387,-9.104572266340256,-3.309255301952362,-10.52386637032032,0.45127540826797485,1.4192941039800644,0.9352847561240196,-0.07436847686767578,-6.842192359268665,-5.9812760800123215,False,False
BASE_0009,empty_full,glass,targetfree_adjacent,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.6111466884613037,-1.6190855503082275,1.9346563816070557,-2.272012948989868,1.8223557472229004,-1.5906987190246582,0.11230063438415527,-0.68131422996521,-0.28450679779052734,0.4960305690765381,-0.380202054977417,-0.16867828369140625,False,False
BASE_0009,empty_full,glass,targetfree_distance,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.6111466884613037,-1.6190855503082275,3.4642462730407715,-3.0375139713287354,1.8223557472229004,-1.5906987190246582,1.641890525817871,-1.4468152523040771,0.09753763675689697,0.4960305690765381,-0.380202054977417,0.21336615085601807,False,False
BASE_0010,empty_full,glass,direct_adjacent,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.12564754486084,-2.439054250717163,-4.420911908149719,-9.352185770869255,-4.82781857252121,-9.169972851872444,0.4069066643714905,-0.1822129189968109,0.11234687268733978,-0.15670335292816162,-6.842192359268665,-6.886548839509487,False,False
BASE_0010,empty_full,glass,direct_then,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,2.12564754486084,-2.439054250717163,-4.291672646999359,-9.182798862457275,-4.82781857252121,-9.169972851872444,0.5361459255218506,-0.012826010584831238,0.2616599574685097,-0.15670335292816162,-6.842192359268665,-6.737235754728317,False,False
BASE_0010,empty_full,glass,direct_distance,2.8986191749572754,-2.8986191749572754,-4.054846942424774,-9.629537776112556,3.6121890544891357,-3.8073792457580566,-3.032163619995117,-9.195257470011711,-3.341277062892914,-10.538297846913338,0.30911344289779663,1.3430403769016266,0.8260769098997116,-0.09759509563446045,-6.842192359268665,-6.113710545003414,False,False
BASE_0010,empty_full,glass,targetfree_adjacent,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.1787822246551514,-1.696739912033081,1.9847729206085205,-2.334327220916748,1.389991283416748,-1.6683530807495117,0.5947816371917725,-0.6659741401672363,-0.035596251487731934,0.24102115631103516,-0.380202054977417,-0.17477715015411377,False,False
BASE_0010,empty_full,glass,targetfree_distance,2.8986191749572754,-2.8986191749572754,2.109828233718872,-2.870232343673706,2.1787822246551514,-1.696739912033081,3.4012532234191895,-3.040597438812256,1.389991283416748,-1.6683530807495117,2.0112619400024414,-1.3722443580627441,0.31950879096984863,0.24102115631103516,-0.380202054977417,0.1803278923034668,False,False
BASE_0011,empty_full,cup,direct_adjacent,2.3692688941955566,-2.3692688941955566,-4.604809015989304,-8.995001137256622,1.3979473114013672,-1.7634482383728027,-4.565934330224991,-8.033886134624481,-5.576130598783493,-8.389180481433868,1.0101962685585022,0.3552943468093872,0.6827453076839447,-0.18275046348571777,-6.799905076622963,-6.299910232424736,False,False
BASE_0011,empty_full,cup,direct_then,2.3692688941955566,-2.3692688941955566,-4.604809015989304,-8.995001137256622,1.3979473114013672,-1.7634482383728027,-4.194041281938553,-8.111346304416656,-5.576130598783493,-8.389180481433868,1.3820893168449402,0.2778341770172119,0.829961746931076,-0.18275046348571777,-6.799905076622963,-6.152693793177605,False,False
BASE_0011,empty_full,cup,direct_distance,2.3692688941955566,-2.3692688941955566,-4.604809015989304,-8.995001137256622,2.4850289821624756,-2.8434464931488037,-3.1175259351730347,-8.027797430753708,-4.489048928022385,-9.46917873620987,1.37152299284935,1.4413813054561615,1.4064521491527557,-0.17920875549316406,-6.799905076622963,-5.572661682963371,False,False
BASE_0011,empty_full,cup,targetfree_adjacent,2.3692688941955566,-2.3692688941955566,1.8966453075408936,-2.2240869998931885,1.5283195972442627,-1.3278207778930664,1.1740021705627441,-1.4249565601348877,1.0556960105895996,-1.1826388835906982,0.11830615997314453,-0.24231767654418945,-0.06200575828552246,0.10024940967559814,-0.16372084617614746,-0.12547719478607178,False,False
