contrast,role_a,role_b,n,delta_gain,gain_a,gain_b,delta_repeated_nll,delta_unrepeated_nll
ALNminusOFF,ALN,OFF,2000,1.351689370775826,3.993834646418634,2.642145275642808,-0.7338019437503196,0.6178874270255061
ALNminusSEP,ALN,SEP,2000,2.7454170497938115,3.993834646418634,1.2484175966248225,-1.8232939600618605,0.9221230897319512
ALNminusSHUF,ALN,SHUF,2000,1.700721050820531,3.993834646418634,2.293113595598103,-0.9355398583799464,0.7651811924405849
SHUFminusOFF,SHUF,OFF,2000,-0.3490316800447051,2.293113595598103,2.642145275642808,0.20173791462962676,-0.14729376541507877
SEPminusOFF,SEP,OFF,2000,-1.3937276790179853,1.2484175966248225,2.642145275642808,1.089492016311541,-0.3042356627064451
DUPminusOFF,DUP,OFF,2000,1.7496930590293185,4.391838334672126,2.642145275642808,-0.8730971216493068,0.8765959373800118
ALNminusDUP,ALN,DUP,2000,-0.3980036882534925,3.993834646418634,4.391838334672126,0.13929517789898713,-0.2587085103545057
DUPminusALN,DUP,ALN,2000,0.3980036882534925,4.391838334672126,3.993834646418634,-0.13929517789898713,0.2587085103545057
SHUFminusSEP,SHUF,SEP,2000,1.0446959989732802,2.293113595598103,1.2484175966248225,-0.8877541016819142,0.15694189729136632
SEPminusSHUF,SEP,SHUF,2000,-1.0446959989732802,1.2484175966248225,2.293113595598103,0.8877541016819142,-0.15694189729136632
