role,checkpoint,n,gain,gain_se,repeated_nll,unrepeated_nll
ALN,chck_100M,2000,3.9747394782093997,0.08660541042404331,0.3436534356516772,4.318392913861078
ALN,chck_80M,2000,3.9944265561595858,0.0866407678114375,0.3526893310516523,4.347115887211237
ALN,chck_90M,2000,4.012337904886917,0.0869967625866378,0.341678671718428,4.354016576605345
DUP,chck_100M,2000,4.403205888762699,0.0958526443711074,0.19850961027936978,4.601715499042069
DUP,chck_80M,2000,4.399261569224863,0.09542608595151149,0.21691533551938483,4.616176904744248
DUP,chck_90M,2000,4.373047546028818,0.09505789854145726,0.2047109589260415,4.5777585049548595
OFF,chck_100M,2000,2.659665111758066,0.0633352484878671,1.0628350843994878,3.7225001961575535
OFF,chck_80M,2000,2.614964844298439,0.06198459104892174,1.1105870070338797,3.7255518513323187
OFF,chck_90M,2000,2.65180587087192,0.0631007635959268,1.066005178239349,3.7178110491112686
SEP,chck_100M,2000,1.27971110408524,0.03579399524422689,2.1233220642652184,3.4030331683504587
SEP,chck_80M,2000,1.1909576486229052,0.033811778317503906,2.2481732583854996,3.439130907008405
SEP,chck_90M,2000,1.2745840371663222,0.035631663414993485,2.13640799595662,3.4109920331229424
SHUF,chck_100M,2000,2.324773710262053,0.0573431125101256,1.2447687279530737,3.5695424382151266
SHUF,chck_80M,2000,2.242783896925064,0.05551433266197281,1.3449325211787448,3.587716418103809
SHUF,chck_90M,2000,2.3117831796071915,0.056954237703738184,1.254939764429778,3.56672294403697
