role,token_class,n_checkpoints,n,T,U,N,A_T,A_U,G
ALN,nonoverlap,3,2730.0,6.8692058081735246,8.207265973124331,8.519380541797615,1.65017473362409,0.31211456867328347,1.3380601649508062
ALN,overlap,3,3170.0,1.6429709757726076,8.19309063445714,8.480897511944903,6.8379265361722945,0.2878068774877621,6.550119658684532
DUP,nonoverlap,3,2730.0,8.863648594882662,8.304122606658527,8.528289915800949,-0.33535867908171246,0.22416730914242175,-0.5595259882241342
DUP,overlap,3,3170.0,2.5515867270960535,8.073417405996592,8.297416177716206,5.745829450620152,0.22399877171961494,5.521830678900538
OFF,nonoverlap,3,2730.0,6.844796243583686,8.07754996248563,8.435739566252813,1.5909433226691279,0.35818960376718373,1.2327537189019442
OFF,overlap,3,3170.0,3.072254968057441,7.950423853812478,8.26123905537178,5.188984087314339,0.31081520155930087,4.878168885755039
SEP,nonoverlap,3,2730.0,6.71439548017382,7.878940110802151,8.104718426902584,1.3903229467287632,0.2257783161004339,1.1645446306283294
SEP,overlap,3,3170.0,5.228826745995614,7.765304647169451,7.948807595475929,2.7199808494803137,0.1835029483064774,2.536477901173837
SHUF,nonoverlap,3,2730.0,6.69156113274416,7.954124809982612,8.197955105550387,1.5063939728062277,0.24383029556777489,1.2625636772384528
SHUF,overlap,3,3170.0,3.617845338610144,7.864479126806981,8.1044018774263,4.486556538816156,0.23992275061931945,4.246633788196838
