token_class,contrast,role_a,role_b,n,delta_T,T_a,T_b,delta_U,U_a,U_b,delta_N,N_a,N_b,delta_A_T,A_T_a,A_T_b,delta_A_U,A_U_a,A_U_b,delta_G,G_a,G_b
nonoverlap,ALNminusOFF,ALN,OFF,2730,0.02440956458983834,6.8692058081735246,6.844796243583686,0.12971601063870075,8.207265973124331,8.07754996248563,0.08364097554480132,8.519380541797615,8.435739566252813,0.059231410954962094,1.65017473362409,1.5909433226691279,-0.04607503509390026,0.31211456867328347,0.35818960376718373,0.10530644604886197,1.3380601649508062,1.2327537189019442
nonoverlap,ALNminusSEP,ALN,SEP,2730,0.15481032799970418,6.8692058081735246,6.71439548017382,0.3283258623221803,8.207265973124331,7.878940110802151,0.41466211489503024,8.519380541797615,8.104718426902584,0.25985178689532673,1.65017473362409,1.3903229467287632,0.08633625257284958,0.31211456867328347,0.2257783161004339,0.1735155343224768,1.3380601649508062,1.1645446306283294
nonoverlap,ALNminusSHUF,ALN,SHUF,2730,0.1776446754293648,6.8692058081735246,6.69156113274416,0.2531411631417191,8.207265973124331,7.954124809982612,0.3214254362472282,8.519380541797615,8.197955105550387,0.14378076081786229,1.65017473362409,1.5063939728062277,0.06828427310550858,0.31211456867328347,0.24383029556777489,0.0754964877123534,1.3380601649508062,1.2625636772384528
nonoverlap,SHUFminusOFF,SHUF,OFF,2730,-0.15323511083952646,6.69156113274416,6.844796243583686,-0.12342515250301833,7.954124809982612,8.07754996248563,-0.23778446070242687,8.197955105550387,8.435739566252813,-0.08454934986290019,1.5063939728062277,1.5909433226691279,-0.11435930819940884,0.24383029556777489,0.35818960376718373,0.02980995833650857,1.2625636772384528,1.2327537189019442
nonoverlap,SEPminusOFF,SEP,OFF,2730,-0.13040076340986584,6.71439548017382,6.844796243583686,-0.19860985168347955,7.878940110802151,8.07754996248563,-0.3310211393502289,8.104718426902584,8.435739566252813,-0.20062037594036464,1.3903229467287632,1.5909433226691279,-0.13241128766674984,0.2257783161004339,0.35818960376718373,-0.06820908827361483,1.1645446306283294,1.2327537189019442
nonoverlap,DUPminusOFF,DUP,OFF,2730,2.0188523512989756,8.863648594882662,6.844796243583686,0.22657264417289724,8.304122606658527,8.07754996248563,0.09255034954813546,8.528289915800949,8.435739566252813,-1.9263020017508403,-0.33535867908171246,1.5909433226691279,-0.13402229462476198,0.22416730914242175,0.35818960376718373,-1.7922797071260783,-0.5595259882241342,1.2327537189019442
nonoverlap,ALNminusDUP,ALN,DUP,2730,-1.9944427867091372,6.8692058081735246,8.863648594882662,-0.09685663353419649,8.207265973124331,8.304122606658527,-0.008909374003334136,8.519380541797615,8.528289915800949,1.9855334127058024,1.65017473362409,-0.33535867908171246,0.08794725953086172,0.31211456867328347,0.22416730914242175,1.8975861531749403,1.3380601649508062,-0.5595259882241342
nonoverlap,DUPminusALN,DUP,ALN,2730,1.9944427867091372,8.863648594882662,6.8692058081735246,0.09685663353419649,8.304122606658527,8.207265973124331,0.008909374003334136,8.528289915800949,8.519380541797615,-1.9855334127058024,-0.33535867908171246,1.65017473362409,-0.08794725953086172,0.22416730914242175,0.31211456867328347,-1.8975861531749403,-0.5595259882241342,1.3380601649508062
nonoverlap,SHUFminusSEP,SHUF,SEP,2730,-0.022834347429660617,6.69156113274416,6.71439548017382,0.07518469918046122,7.954124809982612,7.878940110802151,0.09323667864780205,8.197955105550387,8.104718426902584,0.11607102607746445,1.5063939728062277,1.3903229467287632,0.018051979467340995,0.24383029556777489,0.2257783161004339,0.0980190466101234,1.2625636772384528,1.1645446306283294
nonoverlap,SEPminusSHUF,SEP,SHUF,2730,0.022834347429660617,6.71439548017382,6.69156113274416,-0.07518469918046122,7.878940110802151,7.954124809982612,-0.09323667864780205,8.104718426902584,8.197955105550387,-0.11607102607746445,1.3903229467287632,1.5063939728062277,-0.018051979467340995,0.2257783161004339,0.24383029556777489,-0.0980190466101234,1.1645446306283294,1.2625636772384528
