role,checkpoint,token_class,n,T,U,N,A_T,A_U,G
ALN,chck_100M,nonoverlap,2730,6.8397355042821,8.198799777370724,8.509747045862424,1.6700115415803243,0.31094726849169957,1.3590642730886247
ALN,chck_100M,overlap,3170,1.616007552816083,8.168169771813515,8.461212408232829,6.845204855416745,0.29304263641931444,6.552162218997431
ALN,chck_80M,nonoverlap,2730,6.934310661259725,8.24084310645149,8.549926405324985,1.6156157440652614,0.30908329887349745,1.306532445191764
ALN,chck_80M,overlap,3170,1.6893319796463064,8.253096572925081,8.528716490428222,6.839384510781915,0.2756199175031409,6.5637645932787745
ALN,chck_90M,nonoverlap,2730,6.833571258978748,8.182155035550778,8.498468174205431,1.6648969152266835,0.3163131386546534,1.34858377657203
ALN,chck_90M,overlap,3170,1.623573394855433,8.158005558632825,8.452763637173657,6.829190242318224,0.294758078540831,6.534432163777392
DUP,chck_100M,nonoverlap,2730,8.887759748987184,8.280107937900574,8.509119694387275,-0.37864005459991074,0.22901175648669947,-0.6076518110866103
DUP,chck_100M,overlap,3170,2.4965857668636935,8.066747721884846,8.289844601962287,5.793258835098593,0.22309688007744025,5.5701619550211525
DUP,chck_80M,nonoverlap,2730,8.894557024548751,8.368950019243272,8.584961743356708,-0.30959528119204355,0.21601172411343553,-0.5256070053054791
DUP,chck_80M,overlap,3170,2.650024751424628,8.127662650512661,8.351360555725284,5.701335804300656,0.22369790521262314,5.477637899088033
DUP,chck_90M,nonoverlap,2730,8.80862901111205,8.263309862831736,8.490788309658868,-0.31784070145318305,0.22747844682713023,-0.5453191482803132
DUP,chck_90M,overlap,3170,2.5081496629998385,8.025841845592266,8.251043375461048,5.74289371246121,0.22520152986878147,5.517692182592428
OFF,chck_100M,nonoverlap,2730,6.8198198176275655,8.062900635148416,8.427221130220486,1.6074013125929203,0.3643204950720699,1.2430808175208503
OFF,chck_100M,overlap,3170,3.0040532072809194,7.936637598039342,8.244987035963437,5.240933828682518,0.3083494379240961,4.932584390758422
OFF,chck_80M,nonoverlap,2730,6.882409368748111,8.10874284287512,8.461811604592334,1.5794022358442237,0.35306876171721424,1.2263334741270095
OFF,chck_80M,overlap,3170,3.193317693359827,7.971260109453312,8.29656698779153,5.103249294431704,0.3253068783382183,4.777942416093485
OFF,chck_90M,nonoverlap,2730,6.83215954437538,8.061006409433354,8.41818596394562,1.5860264195702396,0.35717955451226713,1.2288468650579725
OFF,chck_90M,overlap,3170,3.019394003531575,7.943373853944783,8.24216314236037,5.222769138828795,0.2987892884155882,4.9239798504132075
SEP,chck_100M,nonoverlap,2730,6.693324397243013,7.864272166335539,8.09001039333587,1.396685996092856,0.2257382270003304,1.1709477690925256
SEP,chck_100M,overlap,3170,5.1389685443501145,7.74874681949921,7.93146939708584,2.7925008527357247,0.18272257758662905,2.609778275149096
SEP,chck_80M,nonoverlap,2730,6.742965289858944,7.897709731250019,8.126504824204446,1.3835395343455013,0.22879509295442657,1.1547444413910746
SEP,chck_80M,overlap,3170,5.382694628703399,7.786631731324674,7.977238432655246,2.594543803951847,0.19060670133057264,2.403937102621274
SEP,chck_90M,nonoverlap,2730,6.706896753419504,7.874838434820893,8.097640063167438,1.3907433097479327,0.2228016283465447,1.1679416814013879
SEP,chck_90M,overlap,3170,5.164817064933329,7.76053539068447,7.9377149566867,2.7728978917533706,0.17717956600223053,2.5957183257511405
SHUF,chck_100M,nonoverlap,2730,6.666949661068905,7.936040801156462,8.181741986279768,1.5147923252108633,0.24570118512330583,1.2690911400875575
SHUF,chck_100M,overlap,3170,3.5269952730554794,7.856180679922106,8.09672543661381,4.56973016355833,0.2405447566917031,4.329185406866627
SHUF,chck_80M,nonoverlap,2730,6.735105945502882,8.0045782366788,8.248121310425274,1.513015364922392,0.24354307374647466,1.2694722911759173
SHUF,chck_80M,overlap,3170,3.7625003591074084,7.898182539668005,8.143775220426264,4.381274861318856,0.245592680758259,4.135682180560597
SHUF,chck_90M,nonoverlap,2730,6.672627791660691,7.9217553921125745,8.16400201994612,1.4913742282854276,0.24224662783354411,1.2491276004518836
SHUF,chck_90M,overlap,3170,3.5640403836675443,7.839074160830831,8.072704975238828,4.508664591571284,0.2336308144079962,4.275033777163288
