checkpoint,device,elapsed_sec,records,role
chck_80M,cuda:1,14.81,32500,OFF
chck_90M,cuda:1,12.83,32500,OFF
chck_100M,cuda:1,13.02,32500,OFF
chck_80M,cuda:1,13.37,32500,DUP
chck_90M,cuda:1,13.01,32500,DUP
chck_100M,cuda:1,13.01,32500,DUP
chck_80M,cuda:1,12.97,32500,SHUF
chck_90M,cuda:1,13.02,32500,SHUF
chck_100M,cuda:1,13.08,32500,SHUF
chck_80M,cuda:1,13.02,32500,SEP
chck_90M,cuda:1,13.06,32500,SEP
chck_100M,cuda:1,13.0,32500,SEP
chck_80M,cuda:1,13.02,32500,ALN
chck_90M,cuda:1,12.94,32500,ALN
chck_100M,cuda:1,13.0,32500,ALN
