role,overlap_bin,token_class,n_pairs,mean_gain_T_vs_U,mean_gain_T_vs_N,mean_gain_U_vs_N,se_pair_gain_T_vs_U,se_pair_gain_T_vs_N,se_pair_gain_U_vs_N
ALN,ALL,ALL,1200,3.4146657235229054,3.052140361762593,-0.36252536176031247,0.08004569375376659,0.08237939380564233,0.03713748447927683
ALN,ALL,nonoverlap,1200,-0.4255080798082054,-0.7948461523931474,-0.369338072584942,0.04992534504334561,0.05164044765616415,0.04158463565566947
ALN,ALL,overlap,1200,7.254839526854016,6.899126875918332,-0.355712650935683,0.15535985264367944,0.1583171175917105,0.06351635039297586
ALN,high,ALL,400,3.763738305538815,3.4906701608836492,-0.27306814465516555,0.1379085409814767,0.1409157946222822,0.06112893070771976
ALN,high,nonoverlap,400,-0.7515072380161534,-1.0890549870952964,-0.33754774907914303,0.08386003833108521,0.09097938074781427,0.07088731086894269
ALN,high,overlap,400,8.278983849093784,8.070395308862595,-0.2085885402311881,0.2654072608829344,0.26524131644084814,0.11139550286034464
ALN,low,ALL,400,2.785063259744396,2.4107536992958436,-0.3743095604485521,0.13929473075899768,0.145391401895964,0.06805389158994886
ALN,low,nonoverlap,400,-0.20181563278349737,-0.5243210317535947,-0.3225053989700973,0.08527781552412556,0.08955347305783921,0.07328538987721554
ALN,low,overlap,400,5.771942152272289,5.345828430345282,-0.4261137219270071,0.2654620955769202,0.27726975914634683,0.11141771455927688
ALN,medium,ALL,400,3.695195605285505,3.254997225108285,-0.44019838017721974,0.1332353565786965,0.13590169034444854,0.06331840217487132
ALN,medium,nonoverlap,400,-0.32320136862496535,-0.771162438330551,-0.44796106970558563,0.08781285661514975,0.08545637047710532,0.07172387568090914
ALN,medium,overlap,400,7.713592579195974,7.2811568885471205,-0.4324356906488538,0.260140807170548,0.26176502895656023,0.10679351633476011
DUP,ALL,ALL,1200,2.9567198069912655,2.629164031082085,-0.3275557759091801,0.09096771049503845,0.090668039132416,0.04367723470582191
DUP,ALL,nonoverlap,1200,-1.0613862768192,-1.3854660484784593,-0.3240797716592594,0.06356486322781066,0.06660619090774557,0.0517375526860523
DUP,ALL,overlap,1200,6.97482589080173,6.64379411064263,-0.3310317801591009,0.17209021758819149,0.17276095684344694,0.06905031513808592
DUP,high,ALL,400,3.287847136525185,2.980403955183671,-0.307443181341514,0.1561406739959315,0.15355989071466403,0.07319632244091252
DUP,high,nonoverlap,400,-1.5644860069795201,-1.9439027397645017,-0.3794167327849815,0.11776197419393275,0.11593815205403754,0.08671323941379869
DUP,high,overlap,400,8.14018028002989,7.904710650131843,-0.23546962989804643,0.2872949549220949,0.28503293695713616,0.11383313275726639
DUP,low,ALL,400,2.257785900562497,1.9593666382789765,-0.29841926228352045,0.15671894790676538,0.1565183252966783,0.07968639335108348
DUP,low,nonoverlap,400,-0.7559016610290079,-0.9974854144826532,-0.24158375345364522,0.1041605379385204,0.1086963674589109,0.09763050992373397
DUP,low,overlap,400,5.2714734621540025,4.916218691040607,-0.3552547711133957,0.29448541897380565,0.29929800775937393,0.11979984812968306
DUP,medium,ALL,400,3.3245263838861137,2.947721499783608,-0.37680488410250595,0.15395386154837792,0.15564035935352336,0.07384095923597286
DUP,medium,nonoverlap,400,-0.8637711624490718,-1.2150099911882233,-0.35123882873915135,0.10336063805356273,0.11594100723941755,0.08374696052517697
DUP,medium,overlap,400,7.512823930221299,7.110452990755439,-0.4023709394658605,0.2930922690832386,0.29293952726652017,0.12475779766023654
OFF,ALL,ALL,1200,1.5898900806758967,1.5500790981058445,-0.039810982570052146,0.053343433824088404,0.054919116942149314,0.023102243851701943
OFF,ALL,nonoverlap,1200,-0.1781964334845543,-0.20144939561684927,-0.023252962132294972,0.02687565223633138,0.031155334909229754,0.026877303642782603
OFF,ALL,overlap,1200,3.3579765948363476,3.3016075918285384,-0.056369003007809323,0.1031348158250988,0.10525189830605665,0.036948494437368994
OFF,high,ALL,400,1.8217324992641806,1.8264490331088503,0.0047165338446696565,0.09099060889801824,0.09693424423724073,0.03686516287784904
OFF,high,nonoverlap,400,-0.21255190114180247,-0.22952386528253554,-0.01697196414073308,0.04704587542836774,0.05584850154894185,0.046161143366022825
OFF,high,overlap,400,3.856016899670164,3.8824219315002364,0.026405031830072402,0.17725239587873048,0.183521495049765,0.05728924598904541
OFF,low,ALL,400,1.1922310009722907,1.133666444433232,-0.05856455653905868,0.0869627223610153,0.08886812546125919,0.04225239023759727
OFF,low,nonoverlap,400,-0.10797262171904246,-0.09876538842916488,0.009207233289877569,0.04647529549911097,0.052758916981648786,0.047966353069639596
OFF,low,overlap,400,2.492434623663624,2.366098277295629,-0.12633634636799496,0.16460287977029756,0.16947621222709758,0.06933920655562512
OFF,medium,ALL,400,1.7557067417912184,1.690121816775451,-0.06558492501576742,0.09575721571586868,0.09580038474397996,0.040640147553143616
OFF,medium,nonoverlap,400,-0.21406477759281792,-0.27605893313884733,-0.06199415554602941,0.0459232306310009,0.052830755084011624,0.04542463965815072
OFF,medium,overlap,400,3.725478261175255,3.6563025666897495,-0.06917569448550542,0.18543983103533138,0.18426476729767566,0.06455199799867169
SEP,ALL,ALL,1200,0.2969298980798986,0.36547536568509204,0.06854546760519345,0.018598588348024858,0.02072769224881765,0.01538026322735895
SEP,ALL,nonoverlap,1200,-0.10784432152907053,-0.0247941412197219,0.08305018030934865,0.012948953778680439,0.019228101925807473,0.018144649852454835
SEP,ALL,overlap,1200,0.7017041176888678,0.7557448725899061,0.054040754901038275,0.03497782367645344,0.03772598696120962,0.024656021844872145
SEP,high,ALL,400,0.29305977568030356,0.34235915188988053,0.049299376209576924,0.0288853982424118,0.03481588170972384,0.024253581400153577
SEP,high,nonoverlap,400,-0.1223432077964147,-0.0521041601896286,0.07023904760678609,0.021353496336245576,0.030801795582719216,0.02833939534556404
SEP,high,overlap,400,0.7084627591570218,0.7368224639693897,0.028359704812367756,0.05698942760453386,0.06293707773240878,0.03868694906959441
SEP,low,ALL,400,0.250310302277406,0.3491822778681914,0.09887197559078535,0.03191325521789926,0.03535839883509989,0.02861473885164484
SEP,low,nonoverlap,400,-0.10765536407629649,0.01868458976348241,0.1263399538397789,0.023524868076676527,0.03519161422798535,0.033539619005355084
SEP,low,overlap,400,0.6082759686311087,0.6796799659729004,0.07140399734179179,0.057229764900167256,0.06114672239571138,0.047340270068311124
SEP,medium,ALL,400,0.34741961628198625,0.40488466729720435,0.057465051015218094,0.035334138819522964,0.03739640027444899,0.02680299927849309
SEP,medium,nonoverlap,400,-0.09353439271450043,-0.040962853233019514,0.05257153948148091,0.0223304689421888,0.03366058004330393,0.03205635350342845
SEP,medium,overlap,400,0.7883736252784729,0.8507321878274281,0.062358562548955276,0.06668790923778527,0.07121332124319192,0.04160430337555039
SHUF,ALL,ALL,1200,1.0665987168894047,1.141215741566072,0.07461702467666731,0.040382989618397265,0.041291380009410066,0.019741822486433542
SHUF,ALL,nonoverlap,1200,-0.1004035167561637,-0.024998163415326017,0.07540535334083769,0.020107679371541686,0.024716432883469475,0.02239517341371735
SHUF,ALL,overlap,1200,2.2336009505349725,2.3074296465474697,0.07382869601249695,0.07844249104701147,0.07899207337253358,0.03269395240772485
SHUF,high,ALL,400,1.2261184354623158,1.2980271324515342,0.07190869698921838,0.06872708845965497,0.07222694343971348,0.03184762888414267
SHUF,high,nonoverlap,400,-0.15425370663404464,-0.09038686205943426,0.06386684457461039,0.03279636874126699,0.042311512187411957,0.036794265375002494
SHUF,high,overlap,400,2.6064905775586764,2.6864411269625026,0.07995054940382638,0.13747446975671912,0.1401756877175539,0.04986278522694322
SHUF,low,ALL,400,0.8078661150236924,0.926188765714566,0.11832265069087347,0.06592602470283071,0.06719733440276796,0.03447432785662295
SHUF,low,nonoverlap,400,-0.07080030570427577,0.07046247412761052,0.1412627798318863,0.03592646002951315,0.04049282865219497,0.039823943735022675
SHUF,low,overlap,400,1.6865325357516607,1.7819150573015212,0.09538252154986063,0.12546996080373934,0.12652396584351375,0.0585323985934719
SHUF,medium,ALL,400,1.1658116001822054,1.1994313265321155,0.03361972634991009,0.07315626079279965,0.07366851967280226,0.03599874318540922
SHUF,medium,nonoverlap,400,-0.0761565379301707,-0.05507010231415431,0.021086435616016388,0.03551966106146723,0.04508273963122592,0.03944080963164262
SHUF,medium,overlap,400,2.4077797382945816,2.4539327553783856,0.046153017083803816,0.13987639822253534,0.13927309655719983,0.060864946491661784
