group,contrast,role_a,role_b,n,delta_accuracy_pct,acc_a,acc_b,mean_relevant_updates,mean_total_ops,mean_prefix_words
rel0_total_ops_11,SEPminusOFF,SEP,OFF,32,-6.25,9.375,15.625,0.0,11.0,148.96875
rel0_total_ops_11,DUPminusOFF,DUP,OFF,32,18.75,34.375,15.625,0.0,11.0,148.96875
rel0_total_ops_11,ALNminusDUP,ALN,DUP,32,-9.375,25.0,34.375,0.0,11.0,148.96875
rel0_total_ops_11,DUPminusALN,DUP,ALN,32,9.375,34.375,25.0,0.0,11.0,148.96875
rel0_total_ops_11,SHUFminusSEP,SHUF,SEP,32,3.125,12.5,9.375,0.0,11.0,148.96875
rel0_total_ops_11,SEPminusSHUF,SEP,SHUF,32,-3.125,9.375,12.5,0.0,11.0,148.96875
rel0_total_ops_12,ALNminusOFF,ALN,OFF,30,26.666666666666664,36.666666666666664,10.0,0.0,12.0,157.36666666666667
rel0_total_ops_12,ALNminusSEP,ALN,SEP,30,26.666666666666664,36.666666666666664,10.0,0.0,12.0,157.36666666666667
rel0_total_ops_12,ALNminusSHUF,ALN,SHUF,30,29.999999999999996,36.666666666666664,6.666666666666667,0.0,12.0,157.36666666666667
rel0_total_ops_12,SHUFminusOFF,SHUF,OFF,30,-3.333333333333333,6.666666666666667,10.0,0.0,12.0,157.36666666666667
rel0_total_ops_12,SEPminusOFF,SEP,OFF,30,0.0,10.0,10.0,0.0,12.0,157.36666666666667
rel0_total_ops_12,DUPminusOFF,DUP,OFF,30,26.666666666666664,36.666666666666664,10.0,0.0,12.0,157.36666666666667
rel0_total_ops_12,ALNminusDUP,ALN,DUP,30,0.0,36.666666666666664,36.666666666666664,0.0,12.0,157.36666666666667
rel0_total_ops_12,DUPminusALN,DUP,ALN,30,0.0,36.666666666666664,36.666666666666664,0.0,12.0,157.36666666666667
rel0_total_ops_12,SHUFminusSEP,SHUF,SEP,30,-3.333333333333333,6.666666666666667,10.0,0.0,12.0,157.36666666666667
rel0_total_ops_12,SEPminusSHUF,SEP,SHUF,30,3.333333333333333,10.0,6.666666666666667,0.0,12.0,157.36666666666667
rel0_total_ops_2,ALNminusOFF,ALN,OFF,212,9.905660377358494,37.735849056603776,27.830188679245282,0.0,2.0,77.93867924528301
rel0_total_ops_2,ALNminusSEP,ALN,SEP,212,22.641509433962266,37.735849056603776,15.09433962264151,0.0,2.0,77.93867924528301
rel0_total_ops_2,ALNminusSHUF,ALN,SHUF,212,18.867924528301888,37.735849056603776,18.867924528301888,0.0,2.0,77.93867924528301
rel0_total_ops_2,SHUFminusOFF,SHUF,OFF,212,-8.962264150943394,18.867924528301888,27.830188679245282,0.0,2.0,77.93867924528301
rel0_total_ops_2,SEPminusOFF,SEP,OFF,212,-12.735849056603772,15.09433962264151,27.830188679245282,0.0,2.0,77.93867924528301
rel0_total_ops_2,DUPminusOFF,DUP,OFF,212,11.79245283018868,39.62264150943396,27.830188679245282,0.0,2.0,77.93867924528301
