role,n_checkpoints,n,gain,repeated_nll,unrepeated_nll
ALN,3,2000.0,3.993834646418634,0.3460071461405858,4.33984179255922
DUP,3,2000.0,4.391838334672126,0.20671196824159868,4.598550302913726
OFF,3,2000.0,2.642145275642808,1.0798090898909054,3.7219543655337137
SEP,3,2000.0,1.2484175966248225,2.1693011062024463,3.4177187028272686
SHUF,3,2000.0,2.293113595598103,1.2815470045205322,3.574660600118635
