role,checkpoint,pair_id,target_key,overlap_bin,token_class,surface_word_class,target_word,target_token_id,N,T,U,gain_T_vs_U,gain_T_vs_N,gain_U_vs_N
ALN,chck_100M,wikilarge_00e870d0480c25e3f6c8,wikilarge_00e870d0480c25e3f6c8:0,high,overlap,overlap,january,2017,11.644195556640625,10.941582679748535,10.556706428527832,-0.3848762512207031,0.7026128768920898,1.087489128112793
ALN,chck_100M,wikilarge_00e870d0480c25e3f6c8,wikilarge_00e870d0480c25e3f6c8:11,high,nonoverlap,nonoverlap,kept,2352,15.349727630615234,14.278066635131836,15.116071701049805,0.8380050659179688,1.0716609954833984,0.2336559295654297
ALN,chck_100M,wikilarge_00e870d0480c25e3f6c8,wikilarge_00e870d0480c25e3f6c8:3,high,nonoverlap,nonoverlap,said,457,8.34483528137207,8.9122896194458,8.75720500946045,-0.15508460998535156,-0.5674543380737305,-0.4123697280883789
ALN,chck_100M,wikilarge_00ed2371f449705b6f23,wikilarge_00ed2371f449705b6f23:3,low,nonoverlap,nonoverlap,important,2020,14.390077590942383,19.727243423461914,14.283331871032715,-5.443911552429199,-5.337165832519531,0.10674571990966797
ALN,chck_100M,wikilarge_00ed2371f449705b6f23,wikilarge_00ed2371f449705b6f23:4,low,nonoverlap,nonoverlap,part,638,13.263676643371582,12.674681663513184,16.1612606048584,3.486578941345215,0.5889949798583984,-2.8975839614868164
ALN,chck_100M,wikilarge_00ed2371f449705b6f23,wikilarge_00ed2371f449705b6f23:5,low,overlap,overlap,medicine,5497,13.318286895751953,12.919936180114746,13.736747741699219,0.8168115615844727,0.39835071563720703,-0.4184608459472656
ALN,chck_100M,wikilarge_00fb0e77f0f8f7a6a420,wikilarge_00fb0e77f0f8f7a6a420:1,low,nonoverlap,nonoverlap,idea,1713,12.705110549926758,16.26131820678711,12.522002220153809,-3.739315986633301,-3.5562076568603516,0.18310832977294922
ALN,chck_100M,wikilarge_00fb0e77f0f8f7a6a420,wikilarge_00fb0e77f0f8f7a6a420:10,low,overlap,overlap,market,3460,13.71938419342041,17.732498168945312,14.763413429260254,-2.9690847396850586,-4.013113975524902,-1.0440292358398438
ALN,chck_100M,wikilarge_00fb0e77f0f8f7a6a420,wikilarge_00fb0e77f0f8f7a6a420:5,low,nonoverlap,nonoverlap,said,457,9.639886856079102,15.495861053466797,10.001703262329102,-5.494157791137695,-5.855974197387695,-0.36181640625
ALN,chck_100M,wikilarge_010317a91bf8561d95c3,wikilarge_010317a91bf8561d95c3:0,low,nonoverlap,nonoverlap,fight,1584,11.186574935913086,11.740106582641602,13.085280418395996,1.3451738357543945,-0.5535316467285156,-1.8987054824829102
ALN,chck_100M,wikilarge_010317a91bf8561d95c3,wikilarge_010317a91bf8561d95c3:1,low,nonoverlap,nonoverlap,soft,1843,11.744172096252441,13.907330513000488,11.780662536621094,-2.1266679763793945,-2.163158416748047,-0.036490440368652344
ALN,chck_100M,wikilarge_010317a91bf8561d95c3,wikilarge_010317a91bf8561d95c3:6,low,overlap,overlap,rubber,6766,9.352819442749023,9.492164611816406,9.516417503356934,0.024252891540527344,-0.1393451690673828,-0.16359806060791016
ALN,chck_100M,wikilarge_01041aaee4684cb5061c,wikilarge_01041aaee4684cb5061c:1,low,nonoverlap,nonoverlap,found,897,12.373438835144043,15.220229148864746,9.7095308303833,-5.510698318481445,-2.846790313720703,2.663908004760742
ALN,chck_100M,wikilarge_01041aaee4684cb5061c,wikilarge_01041aaee4684cb5061c:4,low,overlap,overlap,green,1742,11.472944259643555,1.356382131576538,9.871814727783203,8.515432596206665,10.116562128067017,1.6011295318603516
