contrast,pair_id,mean_gain_delta,mean_true_delta,mean_unrel_delta,mean_excess_true_cost
RSminusC,compact:frontier_consolidation_fwcompact_expansion_000126,-1.8734441598256428,1.4321283499399822,-0.4413158098856608,1.8734441598256428
RSminusC,compact:frontier_consolidation_fwcompact_expansion_000164,-3.192903677622477,0.6008986632029215,-2.5920050144195557,3.192903677622477
RSminusC,compact:frontier_consolidation_fwcompact_expansion_000275,-0.3841452598571777,1.0979174772898357,0.7137722174326578,0.38414525985717773
RSminusC,compact:frontier_consolidation_fwcompact_expansion_000286,0.027144670486450122,0.28562140464782715,0.31276607513427734,-0.027144670486450195
RSminusC,compact:frontier_consolidation_fwcompact_expansion_000565,2.101480801900228,-0.9388650258382162,1.1626157760620117,-2.101480801900228
RSminusC,compact:frontier_consolidation_fwcompact_expansion_000594,-0.647566502292951,0.8612675120433172,0.2137010097503662,0.647566502292951
RSminusC,compact:frontier_consolidation_fwcompact_expansion_000883,-1.8572835127512615,-0.22092008590698242,-2.0782035986582437,1.8572835127512615
RSminusC,compact:frontier_consolidation_fwcompact_expansion_000886,-1.1322928269704182,0.16650907198588052,-0.9657837549845375,1.132292826970418
RSminusC,compact:frontier_consolidation_fwcompact_expansion_000899,0.051441510518392,1.1712007522583014,1.2226422627766926,-0.05144151051839133
RSminusC,compact:frontier_consolidation_fwcompact_expansion_001020,-0.8691925207773843,0.4179713726043701,-0.45122114817301434,0.8691925207773844
RSminusC,compact:frontier_consolidation_fwcompact_expansion_001026,-0.5395316680272421,0.7291884819666544,0.18965681393941244,0.5395316680272421
RSminusC,compact:frontier_consolidation_fwcompact_expansion_001099,-2.71005646387736,2.2013052304585776,-0.5087512334187826,2.71005646387736
RSminusC,compact:frontier_consolidation_fwcompact_expansion_001206,0.9702163425584635,-0.6778532663981119,0.29236307616035145,-0.9702163425584635
RSminusC,compact:frontier_consolidation_fwcompact_expansion_001233,2.362853209177653,-2.106910069783529,0.25594313939412433,-2.362853209177653
RSminusC,compact:frontier_consolidation_fwcompact_expansion_001241,-1.8075798352559407,0.1606766382853196,-1.646903196970622,1.8075798352559416
RSminusC,compact:frontier_consolidation_fwcompact_expansion_001251,-0.16022411982218424,-2.6101346810658774,-2.7703588008880615,0.16022411982218424
RSminusC,compact:frontier_consolidation_fwcompact_expansion_001256,-0.18676249186197916,-0.6743407249450684,-0.8611032168070475,0.18676249186197916
RSminusC,compact:frontier_consolidation_fwcompact_expansion_001279,-2.0133036772410073,0.22632249196370444,-1.786981185277303,2.0133036772410073
RSminusC,compact:frontier_consolidation_fwcompact_expansion_001450,-1.486777702967326,-1.124165376027425,-2.610943078994751,1.486777702967326
RSminusC,compact:frontier_consolidation_fwcompact_expansion_001618,-1.9495374659697216,-1.2075233558813732,-3.1570608218510947,1.9495374659697218
RSminusC,compact:frontier_consolidation_fwcompact_expansion_001829,-4.1229872306187945,3.7563379208246865,-0.3666493097941081,4.1229872306187945
RSminusC,compact:frontier_consolidation_fwcompact_expansion_001862,-1.8301719029744465,2.0582539240519204,0.22808202107747397,1.8301719029744465
RSminusC,compact:frontier_consolidation_fwcompact_expansion_001935,-1.067282348871231,-0.5924251973628998,-1.6597075462341309,1.067282348871231
RSminusC,compact:frontier_consolidation_fwcompact_expansion_002093,1.2586558659871419,-0.7046578725179037,0.5539979934692383,-1.2586558659871419
RSminusC,compact:frontier_consolidation_fwcompact_expansion_002194,1.1111104091008503,-0.4491988420486453,0.6619115670522054,-1.1111104091008508
RSminusC,compact:frontier_consolidation_fwcompact_expansion_002240,-0.11807115872701009,-1.0884698232014973,-1.2065409819285076,0.11807115872701009
RSminusC,compact:frontier_consolidation_fwcompact_expansion_002337,3.220329920450846,-0.40211645762125653,2.81821346282959,-3.220329920450846
RSminusC,compact:frontier_consolidation_fwcompact_expansion_002518,0.33704431851704914,-0.17677036921183267,0.16027394930521618,-0.33704431851704886
RSminusC,compact:frontier_consolidation_fwcompact_expansion_002520,0.6943617661794027,0.42527023951212567,1.1196320056915283,-0.6943617661794027
RSminusC,compact:frontier_consolidation_fwcompact_expansion_002561,1.518430829048157,-1.296991467475891,0.22143936157226562,-1.5184308290481567
RSminusC,compact:frontier_consolidation_fwcompact_expansion_002563,-0.8063024679819742,-1.598649541536967,-2.4049520095189414,0.8063024679819746
RSminusC,compact:frontier_consolidation_fwcompact_expansion_002598,-0.8660970528920492,-0.7688050468762713,-1.6349020997683201,0.8660970528920489
RSminusC,compact:frontier_consolidation_fwcompact_expansion_002777,0.2873871227105459,0.0023576319217681885,0.289744754632314,-0.28738712271054584
RSminusC,compact:frontier_consolidation_fwcompact_expansion_003130,-1.1392991344134014,-0.6887223919232687,-1.82802152633667,1.1392991344134014
