role2,checkpoint,n,mean_gain,source_present_nll,control_nll,norm_gain
C,chck_100M,2000,3.6943634949835302,0.38312987765330214,4.077493372636832,0.906037890772698
C,chck_80M,2000,3.6549016409953476,0.40444408540056376,4.059345726395912,0.9003671742540515
C,chck_90M,2000,3.7112971542299213,0.38641564278813184,4.097712797018053,0.9056996763976894
R,chck_100M,2000,4.1615823674251144,0.20349050198468568,4.3650728694098,0.9533821065369296
R,chck_80M,2000,4.193962873260293,0.2068936748377704,4.400856548098063,0.9529878621180725
R,chck_90M,2000,4.203754187105353,0.19923697643016808,4.402991163535522,0.95474963064196
RS,chck_100M,2000,3.5237411776888665,0.4854874463098685,4.009228623998736,0.8789075176696578
RS,chck_80M,2000,3.425217417797592,0.5350788377888261,3.9602962555864183,0.8648891892786958
RS,chck_90M,2000,3.51009117645272,0.4956529504305108,4.005744126883231,0.8762644505663506
V,chck_100M,2000,4.014276821363527,0.37844241020005726,4.392719231563584,0.9138478035471094
V,chck_80M,2000,4.01822168378459,0.38442715022546314,4.402648834010053,0.9126827587847118
V,chck_90M,2000,4.009384055191637,0.383221769253699,4.392605824445335,0.9127575328701185
VS,chck_100M,2000,3.8140241580534453,0.4243709473349325,4.238395105388378,0.8998746136726566
VS,chck_80M,2000,3.7150080598803967,0.4836442617591452,4.198652321639542,0.8848096425449474
VS,chck_90M,2000,3.8305072086762495,0.4332954763020412,4.26380268497829,0.8983781595174245
