family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_margin_full_a_minus_b,late_mean_delta_mean_effect_no_initial_qbox_a_minus_b,late_mean_delta_mean_effect_no_last_relevant_update_a_minus_b,late_mean_delta_mean_effect_no_all_relevant_updates_a_minus_b
entity_ablation,D,43022,ALL,VminusC,1221,3,0.584079844230817,-0.4064509910146151,-0.3190171316844735,0.2089799909018247
entity_ablation,D,43022,rel_ge2,VminusC,1205,3,0.5769977425813757,-0.4081015233872754,-0.3115087182860033,0.2234991544757147
entity_ablation,D,43022,rel_ge3,VminusC,716,3,0.6281648872357757,-0.3245238738058194,-0.3584033522756642,0.3456173355255824
entity_ablation,D,43022,rel_updates_1,VminusC,16,3,1.117450624704361,-0.2821452716986338,-0.884494515756766,-0.884494515756766
entity_ablation,D,43022,rel_updates_2,VminusC,489,3,0.50207816063342,-0.5304769775801641,-0.2428450006242503,0.0446921654538224
entity_ablation,D,43022,rel_updates_3,VminusC,296,3,0.4143857870435526,-0.1453427051588356,-0.3452640034044413,0.3832761192073425
entity_ablation,D,43022,rel_updates_4,VminusC,326,3,0.7405793059480154,-0.5239929816969394,-0.4327177645330048,0.4108640042367888
entity_ablation,D,43022,rel_updates_5,VminusC,94,3,0.911478856987987,-0.1969780945186074,-0.1420496168500142,0.0007512294654305
entity_ablation,D,43022,type_ambiref,VminusC,399,3,0.3301024276984166,-0.2548674371407842,-0.2016803831384893,0.1688814584785136
entity_ablation,D,43022,type_move_contents,VminusC,381,3,0.8713880975193761,-0.5031037903598601,-0.3140931052081645,0.1688567031230305
entity_ablation,D,43022,type_regular,VminusC,441,3,0.5656502403611724,-0.4600952573300804,-0.429433042698808,0.2799239525358873
entity_ablation,D,43022,ALL,CminusR,1221,3,0.413559624869829,-0.4295898383234633,-0.0519996951368502,-0.7186357641275825
entity_ablation,D,43022,ALL,RminusC,1221,3,-0.413559624869829,0.4295898383234633,0.0519996951368502,0.7186357641275825
entity_ablation,D,43022,rel_ge2,CminusR,1205,3,0.4097433939998657,-0.4242964092843018,-0.0590358696120532,-0.734523537859094
entity_ablation,D,43022,rel_ge2,RminusC,1205,3,-0.4097433939998657,0.4242964092843018,0.0590358696120532,0.734523537859094
entity_ablation,D,43022,rel_ge3,CminusR,716,3,0.4219685272128083,-0.5360834613196149,-0.0580271222313009,-0.9384099609865436
entity_ablation,D,43022,rel_ge3,RminusC,716,3,-0.4219685272128083,0.5360834613196149,0.0580271222313009,0.9384099609865436
entity_ablation,D,43022,rel_updates_1,CminusR,16,3,0.7009695122639338,-0.8282512128353119,0.4779121950268745,0.4779121950268745
entity_ablation,D,43022,rel_updates_1,RminusC,16,3,-0.7009695122639338,0.8282512128353119,-0.4779121950268745,-0.4779121950268745
entity_ablation,D,43022,rel_updates_2,CminusR,489,3,0.3918431989477862,-0.2606163903532503,-0.0605128903167947,-0.4359904520528489
entity_ablation,D,43022,rel_updates_2,RminusC,489,3,-0.3918431989477862,0.2606163903532503,0.0605128903167947,0.4359904520528489
entity_ablation,D,43022,rel_updates_3,CminusR,296,3,0.3280946796525035,-0.612333579769207,-0.0995174892192186,-1.0098785835544806
entity_ablation,D,43022,rel_updates_3,RminusC,296,3,-0.3280946796525035,0.612333579769207,0.0995174892192186,1.0098785835544806
entity_ablation,D,43022,rel_updates_4,CminusR,326,3,0.5050671262617065,-0.3900409717463216,-0.0278149851595941,-0.9288901990862346
entity_ablation,D,43022,rel_updates_4,RminusC,326,3,-0.5050671262617065,0.3900409717463216,0.0278149851595941,0.9288901990862346
entity_ablation,D,43022,rel_updates_5,CminusR,94,3,0.4293782675097174,-0.8024644883389168,-0.0321548675180326,-0.7463751748098549
entity_ablation,D,43022,rel_updates_5,RminusC,94,3,-0.4293782675097174,0.8024644883389168,0.0321548675180326,0.7463751748098549
entity_ablation,D,43022,type_ambiref,CminusR,399,3,0.7287550108599086,-0.1529990821553949,-0.068623907210534,-0.407757101158799
entity_ablation,D,43022,type_ambiref,RminusC,399,3,-0.7287550108599086,0.1529990821553949,0.068623907210534,0.407757101158799
entity_ablation,D,43022,type_move_contents,CminusR,381,3,0.2057740833359336,-0.5265191298691932,-0.068624367935816,-0.8568529689705696
entity_ablation,D,43022,type_move_contents,RminusC,381,3,-0.2057740833359336,0.5265191298691932,0.068624367935816,0.8568529689705696
entity_ablation,D,43022,type_regular,CminusR,441,3,0.3078982468978843,-0.5960969848815951,-0.0225959288016897,-0.8804947924254658
entity_ablation,D,43022,type_regular,RminusC,441,3,-0.3078982468978843,0.5960969848815951,0.0225959288016897,0.8804947924254658
