contrast,n_checkpoints,n_tokens_min,gain_delta,true_delta,unrel_delta,excess_true_cost,frac_excess_positive
RSminusC,3,2184,-0.09641759782998001,-0.5574731885861937,-0.6538907864161736,0.09641759782998,0.5163308913308913
RminusC,3,2184,-0.5883092562489209,0.303129869800343,-0.28517938644857793,0.5883092562489209,0.6010378510378511
VSminusC,3,2184,-0.08090546283380824,-0.8357312209947972,-0.9166366838286056,0.08090546283380824,0.5282356532356532
VSminusR,3,2184,0.5074037934151127,-1.1388610907951404,-0.6314572973800278,-0.5074037934151127,0.4207875457875458
VSminusRS,3,2184,0.015512134996171751,-0.27825803240860375,-0.262745897412432,-0.015512134996171762,0.5009157509157509
VSminusV,3,2184,-0.6208992613307075,0.23218336280222676,-0.3887158985284807,0.6208992613307075,0.6095848595848596
VminusC,3,2184,0.5399937984968993,-1.067914583797024,-0.5279207853001249,-0.5399937984968993,0.40430402930402937
