contrast,metric,n_pairs,mean,median,ci95_lo,ci95_hi,prob_inside_pm_0p25,prob_in_original_view_range_0p684_0p894
VSminusC,mean_gain_delta,1465,0.003990551359226786,0.0415655771891276,-0.07791584622750344,0.08653433001299034,1.0,0.0
VSminusV,mean_gain_delta,1465,-0.6670753671342149,-0.5759328603744507,-0.7587438242854638,-0.5751895455882008,0.0,0.0
VminusC,mean_gain_delta,1465,0.6710659184934418,0.6678970654805502,0.574606800216553,0.7675753918026567,0.0,0.4022
