role2,checkpoint,token_class,n,mean_gain,true_source_nll,unrelated_source_nll
C,chck_100M,nonoverlap,2732,1.2222962530979569,6.993866054545393,8.21616230764335
C,chck_100M,overlap,3160,6.318160083040277,1.8140042501127442,8.132164333153021
C,chck_80M,nonoverlap,2732,1.183997265826829,7.019573019757474,8.203570285584304
C,chck_80M,overlap,3160,6.25844731472913,1.8888636783503667,8.147310993079497
C,chck_90M,nonoverlap,2732,1.229433515487855,7.008412266804974,8.23784578229283
C,chck_90M,overlap,3160,6.327794887654961,1.8262687445407486,8.15406363219571
R,chck_100M,nonoverlap,2732,0.5576286031002121,7.359401078737242,7.9170296818374535
R,chck_100M,overlap,3160,6.0612134134708855,1.714229414577029,7.775442828047915
R,chck_80M,nonoverlap,2732,0.26147842659045006,7.658370611415685,7.919849038006135
R,chck_80M,overlap,3160,5.977854172222357,1.829005271161892,7.8068594433842495
R,chck_90M,nonoverlap,2732,0.5614942960174534,7.348074374212863,7.909568670230317
R,chck_90M,overlap,3160,6.061683855404362,1.7100541466289116,7.771738002033273
RS,chck_100M,nonoverlap,2732,1.1880999022728653,6.439181137114482,7.627281039387348
RS,chck_100M,overlap,3160,5.5613930878434275,1.8412144608607757,7.402607548704203
RS,chck_80M,nonoverlap,2732,1.1466663759532432,6.499352361545673,7.646018737498916
RS,chck_80M,overlap,3160,5.431441357937388,1.981281859827113,7.412723217764501
RS,chck_90M,nonoverlap,2732,1.2071435365396024,6.44252793137192,7.6496714679115225
RS,chck_90M,overlap,3160,5.580910323282756,1.841354385077588,7.422264708360345
V,chck_100M,nonoverlap,2732,1.9362923082173564,5.79277909138529,7.729071399602646
V,chck_100M,overlap,3160,6.86529204425813,0.8866825202580625,7.751974564516192
V,chck_80M,nonoverlap,2732,1.8096304337963145,5.908226781658689,7.717857215455004
V,chck_80M,overlap,3160,6.841012829971341,0.9361734603195031,7.777186290290843
V,chck_90M,nonoverlap,2732,1.940871370995334,5.784575612933987,7.725446983929321
V,chck_90M,overlap,3160,6.851785342968356,0.8976406135894373,7.749425956557793
VS,chck_100M,nonoverlap,2732,1.2496763101770743,6.120821498566897,7.370497808743972
VS,chck_100M,overlap,3160,5.664768949898197,1.7000458694280853,7.364814819326282
VS,chck_80M,nonoverlap,2732,1.2177052312737842,6.223774962374698,7.441480193648482
VS,chck_80M,overlap,3160,5.6126441136503935,1.8195843081195953,7.432228421769989
VS,chck_90M,nonoverlap,2732,1.2577690194967022,6.121943108091474,7.379712127588177
VS,chck_90M,overlap,3160,5.6817455854993,1.6990238148308303,7.380769400330131
