contrast,mean_gain_delta,mean_gain_delta_sd,norm_gain_delta,norm_gain_delta_sd,source_present_nll_delta,source_present_nll_delta_sd,control_nll_delta,control_nll_delta_sd
RminusC,0.499579045860654,0.03644685813576514,0.049671619290841,0.0026926084059067518,-0.18812281752979118,0.008992767028092792,0.31145622833086267,0.02749129743379406
VminusC,0.32710675671031836,0.033206170783612786,0.009061117925833565,0.0028434243144116,-0.009299425387592783,0.00931163077728991,0.317807331322725,0.024308063800371243
RSminusC,-0.2005041727565402,0.02953720670513191,-0.030681194636578257,0.004311030583332467,0.11407654289573589,0.01474664125579188,-0.08642762986080399,0.016123030896244128
VSminusC,0.09965904546709743,0.034254320372576814,-0.009680775229803484,0.005122263160447206,0.05577369318470706,0.020482895298539205,0.15543273865180426,0.014204527958827887
RSminusR,-0.7000832186171942,0.06568786797481435,-0.08035281392741926,0.007001425438656132,0.3021993604255271,0.023630987153843413,-0.39788385819166666,0.042361613700869626
VSminusV,-0.22744771124322094,0.06647997087035078,-0.01874189315563705,0.007910478652621108,0.06507311857229985,0.029642111934089097,-0.16237459267092072,0.03823765605066454
VSminusR,-0.3999200003935566,0.06964089647441989,-0.05935239452064448,0.007776373432491509,0.24389651071449825,0.029205445088188207,-0.15602348967905844,0.0404799312211577
VSminusRS,0.3001632182236376,0.01754117884954101,0.021000419406774773,0.0010970075030193554,-0.05830284971102884,0.005980375603115923,0.24186036851260825,0.01476137276419741
VminusR,-0.17247228915033563,0.02370196389249215,-0.040610501365007434,0.0012570361036712472,0.17882339214219842,0.004652543928996947,0.006351102991862294,0.0194213718555996
