checkpoint,contrast,n_tokens,gain_delta,true_delta,unrel_delta,excess_true_cost,frac_excess_positive
chck_100M,VSminusC,2184,-0.08379390509756479,-0.8587591558436423,-0.942553060941207,0.08379390509756478,0.5293040293040293
chck_100M,VSminusV,2184,-0.6271474807512104,0.2193733986024489,-0.4077740821487615,0.6271474807512104,0.6094322344322345
chck_100M,VSminusR,2184,0.436138239785118,-1.0865652989084413,-0.6504270591233232,-0.436138239785118,0.43131868131868134
chck_100M,VSminusRS,2184,0.015806269746243055,-0.2958858523789909,-0.28007958263274785,-0.015806269746243058,0.5018315018315018
chck_100M,VminusC,2184,0.5433535756536456,-1.0781325544460911,-0.5347789787924456,-0.5433535756536456,0.4075091575091575
chck_100M,RminusC,2184,-0.5199321448826828,0.22780614306479893,-0.29212600181788384,0.5199321448826828,0.5911172161172161
chck_100M,RSminusC,2184,-0.09960017484380786,-0.5628733034646514,-0.6624734783084593,0.09960017484380783,0.5141941391941391
chck_80M,VSminusC,2184,-0.07996296963224617,-0.7805697312501801,-0.8605327008824263,0.07996296963224615,0.5251831501831502
chck_80M,VSminusV,2184,-0.5979004317550023,0.24370865273117104,-0.3541917790238312,0.5979004317550023,0.6039377289377289
chck_80M,VSminusR,2184,0.6431114288424773,-1.2505726767298782,-0.607461247887401,-0.6431114288424773,0.4015567765567766
chck_80M,VSminusRS,2184,0.026056555110446068,-0.24312617310327939,-0.2170696179928333,-0.026056555110446095,0.49725274725274726
chck_80M,VminusC,2184,0.5179374621227562,-1.0242783839813512,-0.5063409218585951,-0.5179374621227562,0.40293040293040294
chck_80M,RminusC,2184,-0.7230743984747234,0.4700029454796981,-0.25307145299502537,0.7230743984747234,0.6222527472527473
chck_80M,RSminusC,2184,-0.10601952474269224,-0.5374435581469008,-0.643463082889593,0.10601952474269224,0.5251831501831502
chck_90M,VSminusC,2184,-0.0789595137716138,-0.8678647758905698,-0.9468242896621836,0.0789595137716138,0.5302197802197802
chck_90M,VSminusV,2184,-0.6376498714859099,0.23346803707306038,-0.40418183441284955,0.6376498714859099,0.6153846153846154
chck_90M,VSminusR,2184,0.4429617116177427,-1.0794452967471018,-0.636483585129359,-0.4429617116177427,0.42948717948717946
chck_90M,VSminusRS,2184,0.004673580131826127,-0.295762071743541,-0.29108849161171485,-0.004673580131826127,0.5036630036630036
chck_90M,VminusC,2184,0.5586903577142961,-1.1013328129636302,-0.542642455249334,-0.5586903577142961,0.4024725274725275
chck_90M,RminusC,2184,-0.5219212253893565,0.21158052085653195,-0.31034070453282453,0.5219212253893565,0.5897435897435898
chck_90M,RSminusC,2184,-0.08363309390343991,-0.5721027041470288,-0.6557357980504687,0.08363309390343994,0.5096153846153846
