role,n_min,mean_gain,norm_gain,source_present_nll,control_nll
C,2000,3.686854096736267,0.9040349138081464,0.3913298686139992,4.078183965350266
R,2000,4.186433142596921,0.9537065330989875,0.20320705108420803,4.389640193681128
RS,2000,3.4863499239797258,0.873353719171568,0.5054064115097351,3.991756335489461
V,2000,4.0139608534465845,0.9130960317339799,0.3820304432264065,4.395991296672991
VS,2000,3.7865131422033635,0.8943541385783428,0.4471035617987063,4.2336167040020705
