epoch,subset,contrast,joint_correct_delta,a_correct_delta,b_correct_delta,gating_count_delta,gating_frac_delta,mean_a_margin_delta,mean_b_margin_delta
20,all_pairs,answer_clean-minus-uniform_wwm,34,15,20,15.575000000000003,0.07787499999999997,0.03128382597411816,1.219500215092912
20,all_pairs,answer_clean-minus-answer_corrupt_update_state,10,-48,58,14.699999999999996,0.07350000000000001,-1.1667562058197518,1.613130621709094
20,all_pairs,answer_corrupt_update_state-minus-uniform_wwm,24,63,-38,0.8750000000000071,0.004374999999999962,1.19804003179387,-0.39363040661618176
20,updated_entity_in_source_119,answer_clean-minus-uniform_wwm,19,5,14,10.487394957983195,0.08812936939481675,-0.005451138975153369,1.2603453338013135
20,updated_entity_in_source_119,answer_clean-minus-answer_corrupt_update_state,7,-33,40,9.2436974789916,0.07767813007555963,-1.1964670175287617,1.7362867488676015
20,updated_entity_in_source_119,answer_corrupt_update_state-minus-uniform_wwm,12,38,-26,1.2436974789915958,0.010451239319257122,1.1910158785536082,-0.47594141506628806
20,updated_entity_not_in_source_81,answer_clean-minus-uniform_wwm,15,10,6,4.97530864197531,0.06142356348117667,0.08525247818354176,1.1594931888422975
20,updated_entity_not_in_source_81,answer_clean-minus-answer_corrupt_update_state,3,-15,18,5.148148148148149,0.0635573845450389,-1.123106988617626,1.4321975460070886
20,updated_entity_not_in_source_81,answer_corrupt_update_state-minus-uniform_wwm,12,25,-12,-0.1728395061728385,-0.002133821063862229,1.2083594668011677,-0.27270435716479113
20,both_entities_in_source_115,answer_clean-minus-uniform_wwm,20,5,15,11.130434782608695,0.09678638941398868,0.026663780179928875,1.230443631571336
20,both_entities_in_source_115,answer_clean-minus-answer_corrupt_update_state,8,-32,40,9.321739130434779,0.08105860113421548,-1.1560384882045234,1.7098705866164552
20,both_entities_in_source_115,answer_corrupt_update_state-minus-uniform_wwm,12,37,-25,1.8086956521739168,0.015727788279773197,1.1827022683844524,-0.4794269550451191
