arm,epoch,subset,n,a_correct,b_correct,joint_correct,a_acc,b_acc,joint_acc,expected_joint_independent_count,expected_joint_independent_acc,gating_count,gating_frac,mean_a_margin,mean_b_margin,mean_joint_min_margin
answer_clean,0,all_pairs,200,78,128,6,0.39,0.64,0.03,49.92,0.24960000000000002,-43.92,-0.21960000000000002,-0.5935204692939409,0.6779117414331263,-1.6480311468704292
answer_clean,0,updated_entity_in_source_119,119,50,74,5,0.42016806722689076,0.6218487394957983,0.04201680672268908,31.092436974789916,0.2612809829814279,-26.092436974789916,-0.21926417625873879,-0.5210784046206877,0.6062274799775613,-1.6361295648697831
answer_clean,0,updated_entity_not_in_source_81,81,28,54,1,0.345679012345679,0.6666666666666666,0.012345679012345678,18.666666666666668,0.23045267489711935,-17.666666666666668,-0.21810699588477364,-0.6999477001102017,0.7832256564110549,-1.6655161870936004
answer_clean,0,both_entities_in_source_115,115,49,71,5,0.4260869565217391,0.6173913043478261,0.043478260869565216,30.252173913043478,0.263062381852552,-25.252173913043478,-0.21958412098298677,-0.5140561461521269,0.6035798309463543,-1.661822342202433
answer_clean,0,not_both_entities_in_source_85,85,29,57,1,0.3411764705882353,0.6705882352941176,0.011764705882352941,19.44705882352941,0.22878892733564013,-18.44705882352941,-0.2170242214532872,-0.7010310241328656,0.7784784438564061,-1.6293724708330122
answer_clean,0,target_entity_in_source_193,193,76,123,6,0.39378238341968913,0.6373056994818653,0.031088082901554404,48.43523316062176,0.25095975730892106,-42.43523316062176,-0.21987167440736666,-0.570368084050284,0.6597373238998272,-1.6577839214956087
answer_clean,0,target_entity_not_in_source_7,7,2,5,0,0.2857142857142857,0.7142857142857143,0.0,1.4285714285714286,0.20408163265306123,-1.4285714285714286,-0.20408163265306123,-1.2318648052976209,1.1790063962798008,-1.3791332179190465
answer_clean,5,all_pairs,200,68,152,21,0.34,0.76,0.105,51.68,0.2584,-30.68,-0.15340000000000004,-0.7907678023593516,1.2425064848556127,-1.5856410870240585
answer_clean,5,updated_entity_in_source_119,119,40,86,8,0.33613445378151263,0.7226890756302521,0.06722689075630252,28.907563025210084,0.24292069769084104,-20.907563025210084,-0.17569380693453857,-0.70399668090937,1.2254238747788666,-1.568684705194564
answer_clean,5,updated_entity_not_in_source_81,81,28,66,13,0.345679012345679,0.8148148148148148,0.16049382716049382,22.814814814814813,0.2816643804298125,-9.814814814814813,-0.12117055326931869,-0.9182463635019172,1.2676031589189802,-1.6105523146501055
answer_clean,5,both_entities_in_source_115,115,38,83,7,0.33043478260869563,0.7217391304347827,0.06086956521739131,27.42608695652174,0.23848771266540644,-20.42608695652174,-0.17761814744801513,-0.6986394632855573,1.2239833510978473,-1.5850228858361708
answer_clean,5,not_both_entities_in_source_85,85,30,69,14,0.35294117647058826,0.8117647058823529,0.16470588235294117,24.352941176470587,0.2865051903114187,-10.352941176470587,-0.12179930795847752,-0.9154120258121323,1.2675671952337655,-1.5864774768664944
answer_clean,5,target_entity_in_source_193,193,65,146,19,0.33678756476683935,0.7564766839378239,0.09844559585492228,49.170984455958546,0.2547719401863137,-30.170984455958546,-0.15632634433139142,-0.7715359528631255,1.2290678172416203,-1.5899848873954439
answer_clean,5,target_entity_not_in_source_7,7,3,6,2,0.42857142857142855,0.8571428571428571,0.2857142857142857,2.5714285714285716,0.3673469387755102,-0.5714285714285716,-0.08163265306122447,-1.321017367041016,1.6130297490699703,-1.4658763053558597
answer_clean,10,all_pairs,200,70,161,31,0.35,0.805,0.155,56.35,0.28175,-25.35,-0.12675,-0.7484024655083442,1.5281440053090178,-1.501982683284432
answer_clean,10,updated_entity_in_source_119,119,40,94,15,0.33613445378151263,0.7899159663865546,0.12605042016806722,31.596638655462186,0.2655179718946402,-16.596638655462186,-0.139467551726573,-0.6808162329771359,1.508009649981205,-1.5076449216001506
answer_clean,10,updated_entity_not_in_source_81,81,30,67,16,0.37037037037037035,0.8271604938271605,0.19753086419753085,24.814814814814813,0.30635573845450387,-8.814814814814813,-0.10882487425697301,-0.8476958194739467,1.5577241075807426,-1.493664086252697
answer_clean,10,both_entities_in_source_115,115,39,91,15,0.3391304347826087,0.7913043478260869,0.13043478260869565,30.860869565217392,0.2683553875236295,-15.860869565217392,-0.13792060491493383,-0.6647100882421065,1.4907634932982685,-1.5114831829238298
answer_clean,10,not_both_entities_in_source_85,85,31,70,16,0.36470588235294116,0.8235294117647058,0.18823529411764706,25.529411764705884,0.30034602076124567,-9.529411764705884,-0.11211072664359861,-0.8616333288685482,1.578717639205914,-1.4891290661252468
answer_clean,10,target_entity_in_source_193,193,68,156,31,0.35233160621761656,0.8082901554404145,0.16062176165803108,54.96373056994819,0.2847861687562082,-23.96373056994819,-0.12416440709817714,-0.7228829740782714,1.5090365860602775,-1.4968958254760625
answer_clean,10,target_entity_not_in_source_7,7,2,5,0,0.2857142857142857,0.7142857142857143,0.0,1.4285714285714286,0.20408163265306123,-1.4285714285714286,-0.20408163265306123,-1.4520113006517792,2.0549628503100026,-1.642234620000908
answer_clean,15,all_pairs,200,79,165,44,0.395,0.825,0.22,65.175,0.32587499999999997,-21.174999999999997,-0.10587499999999997,-0.6099645013827877,1.7598168472620586,-1.389426868898436
answer_clean,15,updated_entity_in_source_119,119,45,97,23,0.37815126050420167,0.8151260504201681,0.19327731092436976,36.680672268907564,0.308240943436198,-13.680672268907564,-0.11496363251182826,-0.5625196238353778,1.7393212168759213,-1.3889337919203453
answer_clean,15,updated_entity_not_in_source_81,81,34,68,21,0.41975308641975306,0.8395061728395061,0.25925925925925924,28.54320987654321,0.3523853071178174,-7.543209876543209,-0.0931260478585581,-0.6796674696314516,1.7899277116565073,-1.390151265940322
answer_clean,15,both_entities_in_source_115,115,44,94,23,0.3826086956521739,0.8173913043478261,0.2,35.96521739130435,0.3127410207939509,-12.96521739130435,-0.11274102079395087,-0.5334248028734903,1.7070047633583816,-1.381137592892115
answer_clean,15,not_both_entities_in_source_85,85,35,71,21,0.4117647058823529,0.8352941176470589,0.24705882352941178,29.235294117647058,0.3439446366782007,-8.235294117647058,-0.09688581314878891,-0.7135182111306606,1.831268490190563,-1.400641771730517
answer_clean,15,target_entity_in_source_193,193,77,159,43,0.39896373056994816,0.8238341968911918,0.22279792746113988,63.43523316062176,0.32867996456280707,-20.435233160621763,-0.10588203710166719,-0.5744213370679264,1.7317438510077119,-1.3743466864212721
answer_clean,15,target_entity_not_in_source_7,7,2,6,1,0.2857142857142857,0.8571428571428571,0.14285714285714285,1.7142857142857142,0.24489795918367346,-0.7142857142857142,-0.10204081632653059,-1.5899403174925326,2.53382945827476,-1.805209042911667
answer_clean,20,all_pairs,200,74,167,41,0.37,0.835,0.205,61.79,0.30895,-20.79,-0.10395000000000001,-0.6252292544401213,1.9808031676571076,-1.3884994179569645
answer_clean,20,updated_entity_in_source_119,119,42,99,22,0.35294117647058826,0.8319327731092437,0.18487394957983194,34.94117647058823,0.2936233316856154,-12.941176470588232,-0.1087493821057835,-0.5781617460140541,1.9433112378889408,-1.384270271446269
answer_clean,20,updated_entity_not_in_source_81,81,32,68,19,0.3950617283950617,0.8395061728395061,0.2345679012345679,26.864197530864196,0.3316567596402987,-7.864197530864196,-0.09708885840573078,-0.6943778162018743,2.03588390398318,-1.3947126085097148
answer_clean,20,both_entities_in_source_115,115,41,96,22,0.3565217391304348,0.8347826086956521,0.19130434782608696,34.22608695652174,0.2976181474480151,-12.22608695652174,-0.10631379962192816,-0.5355350903661157,1.9016724750131342,-1.362315743872465
answer_clean,20,not_both_entities_in_source_85,85,33,71,19,0.38823529411764707,0.8352941176470589,0.2235294117647059,27.564705882352943,0.3242906574394464,-8.564705882352943,-0.10076124567474051,-0.7465801823049524,2.087862340057778,-1.4239243887771698
answer_clean,20,target_entity_in_source_193,193,72,161,40,0.37305699481865284,0.8341968911917098,0.20725388601036268,60.06217616580311,0.31120298531504204,-20.06217616580311,-0.1039490993046793,-0.5793488473452976,1.9463479865036255,-1.3636775471628702
answer_clean,20,target_entity_not_in_source_7,7,2,6,1,0.2857142857142857,0.8571428571428571,0.14285714285714285,1.7142857142857142,0.24489795918367346,-0.7142857142857142,-0.10204081632653059,-1.8902176214831168,2.930781733745974,-2.072873855565567
uniform_wwm,0,all_pairs,200,78,128,6,0.39,0.64,0.03,49.92,0.24960000000000002,-43.92,-0.21960000000000002,-0.5935204692939409,0.6779117414331263,-1.6480311468704292
uniform_wwm,0,updated_entity_in_source_119,119,50,74,5,0.42016806722689076,0.6218487394957983,0.04201680672268908,31.092436974789916,0.2612809829814279,-26.092436974789916,-0.21926417625873879,-0.5210784046206877,0.6062274799775613,-1.6361295648697831
uniform_wwm,0,updated_entity_not_in_source_81,81,28,54,1,0.345679012345679,0.6666666666666666,0.012345679012345678,18.666666666666668,0.23045267489711935,-17.666666666666668,-0.21810699588477364,-0.6999477001102017,0.7832256564110549,-1.6655161870936004
uniform_wwm,0,both_entities_in_source_115,115,49,71,5,0.4260869565217391,0.6173913043478261,0.043478260869565216,30.252173913043478,0.263062381852552,-25.252173913043478,-0.21958412098298677,-0.5140561461521269,0.6035798309463543,-1.661822342202433
uniform_wwm,0,not_both_entities_in_source_85,85,29,57,1,0.3411764705882353,0.6705882352941176,0.011764705882352941,19.44705882352941,0.22878892733564013,-18.44705882352941,-0.2170242214532872,-0.7010310241328656,0.7784784438564061,-1.6293724708330122
uniform_wwm,0,target_entity_in_source_193,193,76,123,6,0.39378238341968913,0.6373056994818653,0.031088082901554404,48.43523316062176,0.25095975730892106,-42.43523316062176,-0.21987167440736666,-0.570368084050284,0.6597373238998272,-1.6577839214956087
uniform_wwm,0,target_entity_not_in_source_7,7,2,5,0,0.2857142857142857,0.7142857142857143,0.0,1.4285714285714286,0.20408163265306123,-1.4285714285714286,-0.20408163265306123,-1.2318648052976209,1.1790063962798008,-1.3791332179190465
uniform_wwm,5,all_pairs,200,65,143,8,0.325,0.715,0.04,46.475,0.232375,-38.475,-0.192375,-0.6501658189947139,0.7589318026691978,-1.4449324874609148
uniform_wwm,5,updated_entity_in_source_119,119,40,82,3,0.33613445378151263,0.6890756302521008,0.025210084033613446,27.563025210084035,0.23162206058894147,-24.563025210084035,-0.20641197655532803,-0.5734228544280008,0.6799827164482388,-1.3975781335069235
uniform_wwm,5,updated_entity_not_in_source_81,81,25,61,5,0.30864197530864196,0.7530864197530864,0.06172839506172839,18.82716049382716,0.2324340801707057,-13.827160493827162,-0.1707056851089773,-0.7629116558272926,0.8749187318086313,-1.5145024642575193
uniform_wwm,5,both_entities_in_source_115,115,39,78,2,0.3391304347826087,0.6782608695652174,0.017391304347826087,26.452173913043477,0.23001890359168242,-24.452173913043477,-0.2126275992438563,-0.5608684878418503,0.6671126466274826,-1.412762479230089
uniform_wwm,5,not_both_entities_in_source_85,85,26,65,6,0.3058823529411765,0.7647058823529411,0.07058823529411765,19.88235294117647,0.23391003460207613,-13.882352941176471,-0.16332179930795848,-0.770979855260353,0.8831577196668124,-1.4884566162437969
uniform_wwm,5,target_entity_in_source_193,193,63,137,7,0.32642487046632124,0.7098445595854922,0.03626943005181347,44.72020725388601,0.23171091841391714,-37.72020725388601,-0.19544148836210368,-0.6260502789073006,0.7359446442071724,-1.448887584585857
uniform_wwm,5,target_entity_not_in_source_7,7,2,6,1,0.2857142857142857,0.8571428571428571,0.14285714285714285,1.7142857142857142,0.24489795918367346,-0.7142857142857142,-0.10204081632653059,-1.3150657099762537,1.3927206002650385,-1.335884809587507
uniform_wwm,10,all_pairs,200,61,145,7,0.305,0.725,0.035,44.225,0.22112500000000002,-37.225,-0.18612499999999998,-0.6634917456963559,0.7761607858967132,-1.4255173723131704
uniform_wwm,10,updated_entity_in_source_119,119,37,83,2,0.31092436974789917,0.6974789915966386,0.01680672268907563,25.80672268907563,0.21686321587458512,-23.80672268907563,-0.2000564931855095,-0.5822911820820412,0.6910986610643796,-1.366103622423838
uniform_wwm,10,updated_entity_not_in_source_81,81,24,62,5,0.2962962962962963,0.7654320987654321,0.06172839506172839,18.37037037037037,0.2267946959304984,-13.37037037037037,-0.16506630086876997,-0.7827864008828183,0.9011285989219935,-1.5128042394345351
uniform_wwm,10,both_entities_in_source_115,115,36,79,1,0.3130434782608696,0.6869565217391305,0.008695652173913044,24.730434782608697,0.21504725897920607,-23.730434782608697,-0.20635160680529302,-0.56990503031097,0.6769582796703847,-1.3808905978474997
uniform_wwm,10,not_both_entities_in_source_85,85,25,66,6,0.29411764705882354,0.7764705882352941,0.07058823529411765,19.41176470588235,0.2283737024221453,-13.411764705882351,-0.15778546712802768,-0.7901090665118782,0.910375941379393,-1.485894773060843
uniform_wwm,10,target_entity_in_source_193,193,60,138,6,0.31088082901554404,0.7150259067357513,0.031088082901554404,42.90155440414508,0.22228784665360146,-36.90155440414508,-0.19119976375204703,-0.640591217853399,0.7537818245745583,-1.4302015038087874
uniform_wwm,10,target_entity_not_in_source_7,7,1,7,1,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,0.0,0.0,-1.2948920133664537,1.3931807194932684,-1.2963691753625868
uniform_wwm,15,all_pairs,200,60,148,8,0.3,0.74,0.04,44.4,0.222,-36.4,-0.182,-0.6593354803705876,0.7707364169881851,-1.4106865725396889
uniform_wwm,15,updated_entity_in_source_119,119,36,84,1,0.3025210084033613,0.7058823529411765,0.008403361344537815,25.41176470588235,0.21354424122590213,-24.41176470588235,-0.2051408798813643,-0.5812415943574611,0.6951441687771758,-1.3462945573840948
uniform_wwm,15,updated_entity_not_in_source_81,81,24,64,7,0.2962962962962963,0.7901234567901234,0.08641975308641975,18.962962962962962,0.23411065386374028,-11.962962962962962,-0.1476909007773205,-0.7740660042664155,0.8817916952241124,-1.5052871873979072
uniform_wwm,15,both_entities_in_source_115,115,35,81,1,0.30434782608695654,0.7043478260869566,0.008695652173913044,24.652173913043477,0.21436672967863893,-23.652173913043477,-0.2056710775047259,-0.5706334272560152,0.6837109247297588,-1.3601157084429314
