frame_id,base_id,condition,family,object,alt_a,alt_b,delta1,delta2,signed_c1,signed_c2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias,target_word_free_context
OD_00001,BASE_0001,none,empty_full,glass,empty,full,0.4911222457885742,0.4911222457885742,0.4911222457885742,-0.4911222457885742,0.0,-0.4911222457885742,False,True,False,False
OD_00002,BASE_0001,prior_only_contradict,empty_full,glass,empty,full,-5.965966090559959,6.6897784769535065,-5.965966090559959,-6.6897784769535065,-12.655744567513466,-6.6897784769535065,False,False,False,False
OD_00003,BASE_0001,action_only,empty_full,glass,empty,full,2.2560367584228516,-1.6280739307403564,2.2560367584228516,1.6280739307403564,3.884110689163208,1.6280739307403564,True,False,False,False
OD_00004,BASE_0001,action_distance,empty_full,glass,empty,full,2.061734437942505,0.779576301574707,2.061734437942505,-0.779576301574707,1.2821581363677979,-0.779576301574707,False,True,False,False
OD_00005,BASE_0001,contradict_adjacent,empty_full,glass,empty,full,-4.908147007226944,6.733444511890411,-4.908147007226944,-6.733444511890411,-11.641591519117355,-6.733444511890411,False,False,False,False
OD_00006,BASE_0001,contradict_then,empty_full,glass,empty,full,-4.82882234454155,6.8290203511714935,-4.82882234454155,-6.8290203511714935,-11.657842695713043,-6.8290203511714935,False,False,False,False
OD_00007,BASE_0001,contradict_distance,empty_full,glass,empty,full,-3.758848011493683,5.741492420434952,-3.758848011493683,-5.741492420434952,-9.500340431928635,-5.741492420434952,False,False,False,False
OD_00008,BASE_0001,consistent_adjacent,empty_full,glass,empty,full,7.123575419187546,-5.86196756362915,7.123575419187546,5.86196756362915,12.985542982816696,5.86196756362915,True,False,False,False
OD_00009,BASE_0001,explicit_override_direct,empty_full,glass,empty,full,4.304730623960495,-4.778255492448807,4.304730623960495,4.778255492448807,9.082986116409302,4.304730623960495,True,False,False,False
OD_00010,BASE_0001,tf_prior_only_contradict,empty_full,glass,empty,full,1.0790762901306152,1.31941556930542,1.0790762901306152,-1.31941556930542,-0.2403392791748047,-1.31941556930542,False,True,False,True
