arm,checkpoint,copy_pairs,elapsed_sec,entity_items,rewrite_pairs,scored_records
D182_V_43022,chck_80M,2000,22.85,1221,5892,25552
D182_V_43022,chck_90M,2000,21.11,1221,5892,25552
D182_V_43022,chck_100M,2000,21.25,1221,5892,25552
D182_R_43022,chck_80M,2000,20.9,1221,5892,25552
D182_R_43022,chck_90M,2000,21.33,1221,5892,25552
D182_R_43022,chck_100M,2000,20.92,1221,5892,25552
