family,arch,arm_a,arm_b,checkpoint,seed,group,contrast,n,delta_mean_gain_a_minus_b,mean_gain_a,mean_gain_b
copy,D182,D182_R_43022,D182_V_43022,chck_90M,43022,domain_bnc_spoken,RminusV,180,0.20827332466498039,4.562235653358868,4.353962328693887
copy,D182,D182_V_43022,D182_R_43022,chck_90M,43022,domain_bnc_spoken,VminusR,180,-0.20827332466498039,4.353962328693887,4.562235653358868
copy,D182,D182_R_43022,D182_V_43022,chck_90M,43022,domain_childes,RminusV,642,0.06893721025193944,2.7689624543295968,2.7000252440776573
copy,D182,D182_V_43022,D182_R_43022,chck_90M,43022,domain_childes,VminusR,642,-0.06893721025193944,2.7000252440776573,2.7689624543295968
copy,D182,D182_R_43022,D182_V_43022,chck_90M,43022,domain_gutenberg,RminusV,468,0.2998580614850308,5.000223758023005,4.7003656965379745
copy,D182,D182_V_43022,D182_R_43022,chck_90M,43022,domain_gutenberg,VminusR,468,-0.2998580614850308,4.7003656965379745,5.000223758023005
copy,D182,D182_R_43022,D182_V_43022,chck_90M,43022,domain_open_subtitles,RminusV,434,0.07555492084287252,4.823094739525218,4.747539818682346
copy,D182,D182_V_43022,D182_R_43022,chck_90M,43022,domain_open_subtitles,VminusR,434,-0.07555492084287252,4.747539818682346,4.823094739525218
copy,D182,D182_R_43022,D182_V_43022,chck_90M,43022,domain_simple_wiki,RminusV,272,0.28544194288378577,4.645863888590366,4.36042194570658
copy,D182,D182_V_43022,D182_R_43022,chck_90M,43022,domain_simple_wiki,VminusR,272,-0.28544194288378577,4.36042194570658,4.645863888590366
copy,D182,D182_R_43022,D182_V_43022,chck_90M,43022,domain_switchboard,RminusV,4,0.5733585370471701,2.950586547725834,2.377228010678664
copy,D182,D182_V_43022,D182_R_43022,chck_90M,43022,domain_switchboard,VminusR,4,-0.5733585370471701,2.377228010678664,2.950586547725834
copy,D182,D182_R_43022,D182_V_43022,chck_90M,43022,span_1,RminusV,1000,0.09575839643670658,4.2012345610884205,4.105476164651714
copy,D182,D182_V_43022,D182_R_43022,chck_90M,43022,span_1,VminusR,1000,-0.09575839643670658,4.105476164651714,4.2012345610884205
copy,D182,D182_R_43022,D182_V_43022,chck_90M,43022,span_4,RminusV,1000,0.23904654201811404,4.106446911791971,3.867400369773857
copy,D182,D182_V_43022,D182_R_43022,chck_90M,43022,span_4,VminusR,1000,-0.23904654201811404,3.867400369773857,4.106446911791971
