family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_margin_full_a_minus_b,late_mean_delta_mean_effect_no_initial_qbox_a_minus_b,late_mean_delta_mean_effect_no_last_relevant_update_a_minus_b,late_mean_delta_mean_effect_no_all_relevant_updates_a_minus_b
entity_ablation,D182,43022,ALL,RminusV,1221,3,-0.5992297367453412,0.5476600465359923,0.30693781272964077,-0.8237381349382563
entity_ablation,D182,43022,ALL,VminusR,1221,3,0.5992297367453412,-0.5476600465359923,-0.30693781272964077,0.8237381349382563
entity_ablation,D182,43022,rel_ge2,RminusV,1205,3,-0.5925621786717723,0.5327861135843549,0.2959291818684397,-0.8497598904157947
entity_ablation,D182,43022,rel_ge2,VminusR,1205,3,0.5925621786717723,-0.5327861135843549,-0.2959291818684397,0.8497598904157947
entity_ablation,D182,43022,rel_ge3,RminusV,716,3,-0.5346492105467138,0.3941759580062976,0.396010803582504,-1.0079763835171165
entity_ablation,D182,43022,rel_ge3,VminusR,716,3,0.5346492105467138,-0.3941759580062976,-0.396010803582504,1.0079763835171165
entity_ablation,D182,43022,rel_updates_1,RminusV,16,3,-1.1013802041610081,1.6678531219561894,1.1360253244638443,1.1360253244638443
entity_ablation,D182,43022,rel_updates_1,VminusR,16,3,1.1013802041610081,-1.6678531219561894,-1.1360253244638443,-1.1360253244638443
entity_ablation,D182,43022,rel_updates_2,RminusV,489,3,-0.6773590808753344,0.7357408608111218,0.1493884024261697,-0.6180972951999534
entity_ablation,D182,43022,rel_updates_2,VminusR,489,3,0.6773590808753344,-0.7357408608111218,-0.1493884024261697,0.6180972951999534
entity_ablation,D182,43022,rel_updates_3,RminusV,296,3,-0.38333690824272393,0.336938150260631,0.355083594920936,-0.76170736500943
entity_ablation,D182,43022,rel_updates_3,VminusR,296,3,0.38333690824272393,-0.336938150260631,-0.355083594920936,0.76170736500943
entity_ablation,D182,43022,rel_updates_4,RminusV,326,3,-0.6516439414950724,0.43868728228873266,0.4959802756158365,-1.1760601602563279
entity_ablation,D182,43022,rel_updates_4,VminusR,326,3,0.6516439414950724,-0.43868728228873266,-0.4959802756158365,1.1760601602563279
entity_ablation,D182,43022,rel_updates_5,RminusV,94,3,-0.6053743083426294,0.4200451003110155,0.17818533423099112,-1.2005329607649053
entity_ablation,D182,43022,rel_updates_5,VminusR,94,3,0.6053743083426294,-0.4200451003110155,-0.17818533423099112,1.2005329607649053
entity_ablation,D182,43022,type_ambiref,RminusV,399,3,-0.3303550759652504,0.40819641322818717,0.20972213903465367,-0.3505005039953149
entity_ablation,D182,43022,type_ambiref,VminusR,399,3,0.3303550759652504,-0.40819641322818717,-0.20972213903465367,0.3505005039953149
entity_ablation,D182,43022,type_move_contents,RminusV,381,3,-0.6335508548446841,0.6493232960593565,0.1682305652012662,-1.1012756455191008
entity_ablation,D182,43022,type_move_contents,VminusR,381,3,0.6335508548446841,-0.6493232960593565,-0.1682305652012662,1.1012756455191008
entity_ablation,D182,43022,type_regular,RminusV,441,3,-0.812845708753066,0.586009914158243,0.5147303640054017,-1.0121282102555622
entity_ablation,D182,43022,type_regular,VminusR,441,3,0.812845708753066,-0.586009914158243,-0.5147303640054017,1.0121282102555622
