family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_gain_a_minus_b
copy,D182,43022,ALL,RminusV,2000,3,0.17893320950687652
copy,D182,43022,ALL,VminusR,2000,3,-0.17893320950687652
copy,D182,43022,domain_bnc_spoken,RminusV,180,3,0.21268481415070184
copy,D182,43022,domain_bnc_spoken,VminusR,180,3,-0.21268481415070184
copy,D182,43022,domain_childes,RminusV,642,3,0.06591155134298991
copy,D182,43022,domain_childes,VminusR,642,3,-0.06591155134298991
copy,D182,43022,domain_gutenberg,RminusV,468,3,0.338045775455762
copy,D182,43022,domain_gutenberg,VminusR,468,3,-0.338045775455762
copy,D182,43022,domain_open_subtitles,RminusV,434,3,0.09638683206751193
copy,D182,43022,domain_open_subtitles,VminusR,434,3,-0.09638683206751193
copy,D182,43022,domain_simple_wiki,RminusV,272,3,0.2758561785751388
copy,D182,43022,domain_simple_wiki,VminusR,272,3,-0.2758561785751388
copy,D182,43022,domain_switchboard,RminusV,4,3,0.54943697534812
copy,D182,43022,domain_switchboard,VminusR,4,3,-0.54943697534812
copy,D182,43022,span_1,RminusV,1000,3,0.10963343471076925
copy,D182,43022,span_1,VminusR,1000,3,-0.10963343471076925
copy,D182,43022,span_4,RminusV,1000,3,0.2482329843029832
copy,D182,43022,span_4,VminusR,1000,3,-0.2482329843029832
