family,screen,category,rows,fraction,inherited_aln_pair_text_hit_rows,arm_map
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout6992,absent_from_every_stream,0,0.0,0,"{""ALN"": ""compact_experience_ALN"", ""DUP"": ""compact_experience_DUP"", ""OFF"": ""compact_experience_OFF"", ""SEP"": ""compact_experience_SEP"", ""SHUF"": ""compact_experience_SHUF""}"
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout6992,present_identically_in_every_arm,0,0.0,0,"{""ALN"": ""compact_experience_ALN"", ""DUP"": ""compact_experience_DUP"", ""OFF"": ""compact_experience_OFF"", ""SEP"": ""compact_experience_SEP"", ""SHUF"": ""compact_experience_SHUF""}"
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout6992,differentially_present_some_arms,6992,1.0,2354,"{""ALN"": ""compact_experience_ALN"", ""DUP"": ""compact_experience_DUP"", ""OFF"": ""compact_experience_OFF"", ""SEP"": ""compact_experience_SEP"", ""SHUF"": ""compact_experience_SHUF""}"
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout6992,differential_pattern_top,6139,0.878003,1544,ALN;SHUF
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout6992,differential_pattern_top,804,0.114989,804,ALN
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout6992,differential_pattern_top,38,0.005435,5,OFF;ALN;SHUF
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout6992,differential_pattern_top,5,0.000715,0,ALN;SHUF;DUP
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout6992,differential_pattern_top,5,0.000715,0,ALN;SHUF;SEP
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout6992,differential_pattern_top,1,0.000143,1,ALN;DUP
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout2647,absent_from_every_stream,0,0.0,0,"{""ALN"": ""compact_experience_ALN"", ""DUP"": ""compact_experience_DUP"", ""OFF"": ""compact_experience_OFF"", ""SEP"": ""compact_experience_SEP"", ""SHUF"": ""compact_experience_SHUF""}"
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout2647,present_identically_in_every_arm,0,0.0,0,"{""ALN"": ""compact_experience_ALN"", ""DUP"": ""compact_experience_DUP"", ""OFF"": ""compact_experience_OFF"", ""SEP"": ""compact_experience_SEP"", ""SHUF"": ""compact_experience_SHUF""}"
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout2647,differentially_present_some_arms,2647,1.0,904,"{""ALN"": ""compact_experience_ALN"", ""DUP"": ""compact_experience_DUP"", ""OFF"": ""compact_experience_OFF"", ""SEP"": ""compact_experience_SEP"", ""SHUF"": ""compact_experience_SHUF""}"
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout2647,differential_pattern_top,2317,0.875331,589,ALN;SHUF
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout2647,differential_pattern_top,313,0.118247,313,ALN
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout2647,differential_pattern_top,11,0.004156,2,OFF;ALN;SHUF
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout2647,differential_pattern_top,5,0.001889,0,ALN;SHUF;DUP
compact_experience_OFF_ALN_SHUF_DUP_SEP,heldout2647,differential_pattern_top,1,0.000378,0,ALN;SHUF;SEP
representation_frontier_studies_DeBERTa_CRV_shared_streams,heldout6992,absent_from_every_stream,6992,1.0,2354,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
representation_frontier_studies_DeBERTa_CRV_shared_streams,heldout6992,present_identically_in_every_arm,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
representation_frontier_studies_DeBERTa_CRV_shared_streams,heldout6992,differentially_present_some_arms,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
representation_frontier_studies_DeBERTa_CRV_shared_streams,heldout2647,absent_from_every_stream,2647,1.0,904,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
representation_frontier_studies_DeBERTa_CRV_shared_streams,heldout2647,present_identically_in_every_arm,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
representation_frontier_studies_DeBERTa_CRV_shared_streams,heldout2647,differentially_present_some_arms,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
representation_frontier_studies_DeBERTa_split_locality,heldout6992,absent_from_every_stream,6992,1.0,2354,"{""C"": ""max_C_clean"", ""RS"": ""split_RS_repeat"", ""VS"": ""split_VS_view""}"
representation_frontier_studies_DeBERTa_split_locality,heldout6992,present_identically_in_every_arm,0,0.0,0,"{""C"": ""max_C_clean"", ""RS"": ""split_RS_repeat"", ""VS"": ""split_VS_view""}"
representation_frontier_studies_DeBERTa_split_locality,heldout6992,differentially_present_some_arms,0,0.0,0,"{""C"": ""max_C_clean"", ""RS"": ""split_RS_repeat"", ""VS"": ""split_VS_view""}"
