active_fineweb_words,adult_gut_simple_fraction,arm,checkpoints,child_sub_fraction,contrast,cosine,difference_l2,difference_over_mean_seed_l2,displaced_words,family_set,kind,max,max_abs_spread,mean,mean_abs_spread,median,metric,min,n,n_checkpoints,range_max,range_min,rho,row_index_mean,row_index_sd,seed43022_net,seed43022_rms,seed43122_net,seed43122_rms,sha_100m,signed_mean_spread,window
,,,,,,,,,,,same_data_seed_spread_of_compact_minus_repeat,,0.8599999999999994,,0.4199166666666656,,cheap6_no_GlobalPIQA,,10,,0.7274999999999991,-0.8599999999999994,,,,,,,,,0.11325000000000074,full10_100
,,,,,,,,,,,same_data_seed_spread_of_compact_minus_repeat,,0.33833333333332405,,0.28333333333333144,,cheap6_no_GlobalPIQA,,4,,0.3149999999999977,-0.33833333333332405,,,,,,,,,0.11416666666666941,mature70_100
,,,,,,,,,,,same_data_seed_spread_of_compact_minus_repeat,,0.9059999999999988,,0.5349999999999995,,cheap5_no_GlobalPIQA_Reading,,10,,0.9059999999999988,-0.6799999999999997,,,,,,,,,0.301400000000001,full10_100
,,,,,,,,,,,same_data_seed_spread_of_compact_minus_repeat,,0.5899999999999892,,0.4305000000000003,,cheap5_no_GlobalPIQA_Reading,,4,,0.5899999999999892,-0.1980000000000004,,,,,,,,,0.33150000000000013,mature70_100
,,,,,,,,,,,same_data_seed_spread_of_compact_minus_repeat,,0.6569999999999994,,0.28969999999999885,,exEntity5,,10,,0.6569999999999994,-0.4879999999999988,,,,,,,,,0.07530000000000046,full10_100
,,,,,,,,,,,same_data_seed_spread_of_compact_minus_repeat,,0.38599999999999585,,0.17649999999999857,,exEntity5,,4,,0.38599999999999585,-0.22999999999999704,,,,,,,,,0.05850000000000084,mature70_100
,,,,,,,,,,,same_data_seed_spread_of_compact_minus_repeat,,2.719999999999999,,1.1369999999999991,,Entity,,10,,2.1700000000000017,-2.719999999999999,,,,,,,,,0.30300000000000027,full10_100
,,,,,,,,,,,same_data_seed_spread_of_compact_minus_repeat,,1.9200000000000017,,0.857499999999999,,Entity,,4,,1.9200000000000017,-0.8799999999999955,,,,,,,,,0.39250000000000096,mature70_100
,,,,,,-0.0917522682070417,2.1689179509896195,1.4840903968838932,,stable6,same_data_seed_vector_noise,,,,,,,,,8,,,,,,-0.06250000000000039,0.535581848709109,0.019062500000000315,0.6576838007514202,,,common10_80
,,,,,,-0.4232265953031057,2.146287219391899,1.6886378527834605,,stable5_exEntity,same_data_seed_vector_noise,,,,,,,,,8,,,,,,-0.18675000000000044,0.5308268903324326,-0.15137499999999973,0.6060051696355406,,,common10_80
,,,,,,0.4886541597560099,2.0814978581140404,1.0496887935760657,,stable6,same_data_seed_vector_noise,,,,,,,,,3,,,,,,0.2580555555555543,0.6775449281262675,0.30527777777777715,0.9415405520268959,,,late80_100
,,,,,,0.1901026335707622,2.07822573899522,1.355830525297073,,stable5_exEntity,same_data_seed_vector_noise,,,,,,,,,3,,,,,,0.05566666666666529,0.4778080739748492,0.1356666666666659,0.893175670166725,,,late80_100
,,,,,,0.6016533671649829,2.14408488637927,1.0100565487122948,,stable6,same_data_seed_vector_noise,,,,,,,,,4,,,,,,0.2943749999999991,0.6376856347370541,0.40854166666666664,1.0955222546423542,,,mature70_100
,,,,,,0.2719035858613446,2.107852876744486,1.3445884695410846,,stable5_exEntity,same_data_seed_vector_noise,,,,,,,,,4,,,,,,0.11074999999999902,0.44038654895443813,0.16924999999999985,0.9617680658557969,,,mature70_100
,,,chck_80M;chck_90M;chck_100M,,D1_BminusCmax,,,,,,reference_effect_scale,0.6200000000000045,,0.33499999999999847,,0.2769999999999939,exEntity5,0.10799999999999699,3,,,,,,,,,,,,,late80_100
,,,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,,D1_BminusCold,,,,,,reference_effect_scale,1.2409999999999997,,0.7675000000000018,,0.7545000000000002,exEntity5,0.31700000000000017,8,,,,,,,,,,,,,common10_80
,,,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,,D1_VminusB,,,,,,reference_effect_scale,0.7339999999999947,,-0.1693750000000005,,0.00549999999999784,exEntity5,-1.2590000000000003,8,,,,,,,,,,,,,common10_80
,,,chck_80M;chck_90M;chck_100M,,D1_VminusB,,,,,,reference_effect_scale,0.13000000000000256,,0.05033333333333445,,0.08300000000000551,exEntity5,-0.06200000000000472,3,,,,,,,,,,,,,late80_100
,,,chck_80M;chck_90M;chck_100M,,D1_VminusCmax,,,,,,reference_effect_scale,1.1199999999999974,,0.9011111111111086,,0.8399999999999963,cheap6_no_GlobalPIQA,0.7433333333333323,3,,,,,,,,,,,,,late80_100
,,,chck_80M;chck_90M;chck_100M,,D1_VminusCmax,,,,,,reference_effect_scale,0.5579999999999998,,0.3853333333333329,,0.35999999999999943,exEntity5,0.23799999999999955,3,,,,,,,,,,,,,late80_100
,,,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,,D1_VminusCold,,,,,,reference_effect_scale,1.8866666666666703,,0.9053125000000017,,1.0375000000000014,cheap6_no_GlobalPIQA,0.05083333333333684,8,,,,,,,,,,,,,common10_80
,,,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,,D1_VminusCold,,,,,,reference_effect_scale,1.3590000000000089,,0.5981250000000014,,0.6119999999999983,exEntity5,-0.49499999999999744,8,,,,,,,,,,,,,common10_80
,,,chck_80M;chck_90M;chck_100M,,Rbt_VminusC,,,,,,reference_effect_scale,-0.39833333333334053,,-0.528333333333336,,-0.5858333333333334,cheap6_no_GlobalPIQA,-0.600833333333334,3,,,,,,,,,,,,,late80_100
,,,chck_80M;chck_90M;chck_100M,,Rbt_VminusC,,,,,,reference_effect_scale,-0.6200000000000045,,-0.6873333333333349,,-0.6989999999999981,exEntity5,-0.7430000000000021,3,,,,,,,,,,,,,late80_100
,,,,,view_minus_clean,,,,,,roberta_transfer_scale_legacy_summary,-0.5100000000000016,,-1.1050000000000004,,,Entity,-1.6999999999999993,2,,,,,,,,,,,,,available_all
,,,,,view_minus_clean,,,,,,roberta_transfer_scale_legacy_summary,-0.5100000000000016,,-1.1050000000000004,,,Entity,-1.6999999999999993,2,,,,,,,,,,,,,common_10M_80M
,,,,,view_minus_clean,,,,,,roberta_transfer_scale_legacy_summary,0.5799999999999983,,-0.2850000000000037,,,EWoK,-1.1500000000000057,2,,,,,,,,,,,,,available_all
,,,,,view_minus_clean,,,,,,roberta_transfer_scale_legacy_summary,0.5799999999999983,,-0.2850000000000037,,,EWoK,-1.1500000000000057,2,,,,,,,,,,,,,common_10M_80M
,,,,,view_minus_clean,,,,,,roberta_transfer_scale_legacy_summary,0.21749999999999403,,-0.04541666666666799,,,cheap6_no_GlobalPIQA,-0.30833333333333,2,,,,,,,,,,,,,available_all
,,,,,view_minus_clean,,,,,,roberta_transfer_scale_legacy_summary,0.21749999999999403,,-0.04541666666666799,,,cheap6_no_GlobalPIQA,-0.30833333333333,2,,,,,,,,,,,,,common_10M_80M
,,,,,view_minus_clean,,,,,,roberta_transfer_scale_legacy_summary,0.17199999999999704,,-0.14900000000000446,,,cheap5_no_GlobalPIQA_Reading,-0.47000000000000597,2,,,,,,,,,,,,,available_all
,,,,,view_minus_clean,,,,,,roberta_transfer_scale_legacy_summary,0.17199999999999704,,-0.14900000000000446,,,cheap5_no_GlobalPIQA_Reading,-0.47000000000000597,2,,,,,,,,,,,,,common_10M_80M
105962,0.0351635491968819,childsub_posmatched,,0.9411581510352768,,,,,105962,,incoming_register_arm_design,,,,,,,,,,,,0.0105962,3977.3364116094986,2473.1444186676854,,,,,a99c0adeb5712f05b469a9c3980606c474dbba1189d5cb35b7ab79d02ff50b9e,,
105962,0.7965874558804099,adult_posmatched,,0.12530907306392858,,,,,105962,,incoming_register_arm_design,,,,,,,,,,,,0.0105962,3992.5408970976255,2464.6509213060394,,,,,2b93c7d6c1db1527fe70285576968c2f6dfb30030a7df1c8dfcde779b0ee0f55,,
