contrast,checkpoint,arm_A,arm_B,BLiMP,Supplement,EWoK,COMPS,Entity,exEntity4,cheap5_noReading,complete_families
regmax_adultprose_minus_clean,chck_80M,regmax_adultprose,clean_maxgeom,0.66,1.18,0.37,0.86,2.06,0.7675,1.026,5
regmax_adultprose_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,0.52,1.9,-0.24,0.6,2.14,0.695,0.984,5
