arm,checkpoint,source_root,source_payload,BLiMP,delta_BLiMP_vs_clean,Supplement,delta_Supplement_vs_clean,EWoK,delta_EWoK_vs_clean,COMPS,delta_COMPS_vs_clean,Entity,delta_Entity_vs_clean,exEntity4,cheap5_noReading,delta_exEntity4_vs_clean,delta_cheap5_vs_clean,complete_families
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,67.4,0.52,59.78,1.9,50.12,-0.24,52.18,0.6,26.96,2.14,57.370000000000005,51.288000000000004,0.695,0.984,5
regmax_adultprose,chck_80M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_80M.json,66.99,0.66,59.25,1.18,49.68,0.37,52.28,0.86,26.11,2.06,57.05,50.862,0.7675,1.026,5
