case_id,family,train_group,actor_group,event_pol,affected_query,final_pol,affected_slot,query_slot,mode,alpha,layer,margin_correct_foil,head_correct,state0_minus_state1
F196_00961,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.574630632996559,False,-2.574630632996559
F196_00962,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.876827195286751,True,-2.876827195286751
F196_00963,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.629231497645378,True,-2.629231497645378
F196_00964,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.748654454946518,False,-2.748654454946518
F196_00965,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-2.95156566798687,False,2.95156566798687
F196_00966,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,2.5670490860939026,True,2.5670490860939026
F196_00967,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,2.948255643248558,True,2.948255643248558
F196_00968,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-2.4812289476394653,False,2.4812289476394653
F196_00969,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.4670601189136505,False,-2.4670601189136505
F196_00970,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.7771415561437607,True,-2.7771415561437607
F196_00971,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.5374870151281357,True,-2.5374870151281357
F196_00972,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.6431665867567062,False,-2.6431665867567062
F196_00973,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-3.163915738463402,False,3.163915738463402
F196_00974,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,2.787452757358551,True,2.787452757358551
F196_00975,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,3.1534825563430786,True,3.1534825563430786
F196_00976,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-2.697127267718315,False,2.697127267718315
F196_00977,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.430123284459114,False,-2.430123284459114
F196_00978,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.7272216081619263,True,-2.7272216081619263
F196_00979,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.505434975028038,True,-2.505434975028038
F196_00980,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.599240392446518,False,-2.599240392446518
F196_00981,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-3.037428855895996,False,3.037428855895996
F196_00982,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,2.657074987888336,True,2.657074987888336
F196_00983,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,3.029251143336296,True,3.029251143336296
F196_00984,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-2.5658701956272125,False,2.5658701956272125
F196_00985,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.597959414124489,False,-2.597959414124489
F196_00986,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.8906393349170685,True,-2.8906393349170685
F196_00987,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.664921745657921,True,-2.664921745657921
F196_00988,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.7836333364248276,False,-2.7836333364248276
F196_00989,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-2.9624337255954742,False,2.9624337255954742
F196_00990,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,2.5831127911806107,True,2.5831127911806107
F196_00991,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,2.952617734670639,True,2.952617734670639
F196_00992,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-2.4974699914455414,False,2.4974699914455414
F196_00993,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.4553631991147995,False,-2.4553631991147995
F196_00994,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.7407903224229813,True,-2.7407903224229813
F196_00995,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.5127707570791245,True,-2.5127707570791245
F196_00996,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.6041316092014313,False,-2.6041316092014313
F196_00997,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-3.085941419005394,False,3.085941419005394
F196_00998,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,2.69847971200943,True,2.69847971200943
F196_00999,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,3.0802317410707474,True,3.0802317410707474
F196_01000,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-2.6210669428110123,False,2.6210669428110123
F196_01001,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.5146723687648773,False,-2.5146723687648773
F196_01002,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.8105163872241974,True,-2.8105163872241974
F196_01003,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.5755518972873688,True,-2.5755518972873688
F196_01004,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.6777972131967545,False,-2.6777972131967545
F196_01005,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-3.0956001728773117,False,3.0956001728773117
F196_01006,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,2.70362089574337,True,2.70362089574337
F196_01007,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,3.0859307944774628,True,3.0859307944774628
F196_01008,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-2.6275216042995453,False,2.6275216042995453
F196_01009,clean_dirty,heldout_family,heldout_actor,0,1,0,A,A,none,1.0,4,-2.5981293469667435,False,-2.5981293469667435
F196_01010,clean_dirty,heldout_family,heldout_actor,0,0,1,A,B,none,1.0,4,2.914633795619011,True,-2.914633795619011
F196_01011,clean_dirty,heldout_family,heldout_actor,0,0,1,B,A,none,1.0,4,2.663262262940407,True,-2.663262262940407
F196_01012,clean_dirty,heldout_family,heldout_actor,0,1,0,B,B,none,1.0,4,-2.8011273443698883,False,-2.8011273443698883
F196_01013,clean_dirty,heldout_family,heldout_actor,1,1,1,A,A,none,1.0,4,-2.9414176791906357,False,2.9414176791906357
F196_01014,clean_dirty,heldout_family,heldout_actor,1,0,0,A,B,none,1.0,4,2.539737805724144,True,2.539737805724144
F196_01015,clean_dirty,heldout_family,heldout_actor,1,0,0,B,A,none,1.0,4,2.934435948729515,True,2.934435948729515
F196_01016,clean_dirty,heldout_family,heldout_actor,1,1,1,B,B,none,1.0,4,-2.4586266577243805,False,2.4586266577243805
F196_01017,clean_dirty,heldout_family,heldout_actor,0,1,0,A,A,none,1.0,4,-2.5162686556577682,False,-2.5162686556577682
F196_01018,clean_dirty,heldout_family,heldout_actor,0,0,1,A,B,none,1.0,4,2.8140087574720383,True,-2.8140087574720383
F196_01019,clean_dirty,heldout_family,heldout_actor,0,0,1,B,A,none,1.0,4,2.576790764927864,True,-2.576790764927864
F196_01020,clean_dirty,heldout_family,heldout_actor,0,1,0,B,B,none,1.0,4,-2.693781793117523,False,-2.693781793117523
F196_01021,clean_dirty,heldout_family,heldout_actor,1,1,1,A,A,none,1.0,4,-3.1410874873399734,False,3.1410874873399734
F196_01022,clean_dirty,heldout_family,heldout_actor,1,0,0,A,B,none,1.0,4,2.7458420395851135,True,2.7458420395851135
F196_01023,clean_dirty,heldout_family,heldout_actor,1,0,0,B,A,none,1.0,4,3.1249199211597443,True,3.1249199211597443
F196_01024,clean_dirty,heldout_family,heldout_actor,1,1,1,B,B,none,1.0,4,-2.6515884399414062,False,2.6515884399414062
F196_01025,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.461105450987816,False,-2.461105450987816
F196_01026,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.8295764923095703,True,-2.8295764923095703
F196_01027,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.4721480309963226,True,-2.4721480309963226
F196_01028,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.7462140172719955,False,-2.7462140172719955
F196_01029,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-2.679864853620529,False,2.679864853620529
F196_01030,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,2.535133421421051,True,2.535133421421051
