group_field,group_value,n,true_nll_advantage_vs_decoy_mean,true_nll_advantage_vs_decoy_p05,true_nll_advantage_vs_decoy_p95,true_reduction_vs_base_mean,true_reduction_vs_base_p05,true_reduction_vs_base_p95
target_kind,content,2651,-0.44335169914297645,-4.510124206542969,3.262861490249634,-0.39175745346121454,-4.518270015716553,3.339937210083008
target_kind,function,227,-0.08420804418656269,-3.7809563159942625,3.328160953521725,-1.240916220627167,-4.393641090393066,2.284855365753173
target_kind,pronoun,117,1.6171706863957593,-3.8465181350708004,6.478439903259277,0.1866979762020274,-5.205228805541992,4.805880355834958
target_kind,connective,77,0.5999554937536066,-2.7472818374633787,3.598561477661134,-0.41615980940979796,-3.8952428817749025,2.4883110046386747
overlap_bin,0p4_0p6,1871,-0.3548430704060227,-4.453089952468872,3.465064287185669,-0.4423316046834502,-4.509186744689941,3.355849027633667
overlap_bin,0p6_0p8,809,-0.25987086126210146,-4.428810119628906,3.8379598617553694,-0.44146721480858636,-4.485873031616211,3.3430654525756816
overlap_bin,lt0p4,282,-0.49139758002950895,-4.328799557685852,3.3283483028411855,-0.49922481778982686,-4.685583090782165,2.9239205360412597
overlap_bin,ge0p8,110,0.488054472072558,-3.8968620777130125,4.599630784988403,-0.04460750506682829,-4.262614440917969,4.37496223449707
changed_frac_bin,0p2_0p4,1724,-0.37923709574758385,-4.507102298736572,3.18372800350189,-0.4978612690597876,-4.685515761375427,3.0411227226257314
changed_frac_bin,0p4_0p6,899,-0.17052827362443534,-4.270619869232178,3.9951159715652462,-0.2951874585202724,-4.140206050872803,3.8923231601715047
changed_frac_bin,ge0p6,232,0.17481794901962938,-3.879821467399597,5.718529272079467,-0.021793006052230966,-3.838933444023132,3.83424048423767
changed_frac_bin,lt0p2,217,-0.8870190333935523,-4.717724227905274,2.503948211669921,-0.9294714416776385,-5.066510009765625,2.2791515350341793
